sample_idx,sample_name,pair_id,pair_type,birth_vid,death_vid,birth_y,birth_x,death_y,death_x,birth_val,death_val,persistence
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,107,0,1393,917,8,113,5,117,1.004058837890625,2.4231719970703125,1.4191131591796875
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,873,0,23520,22564,147,0,141,4,6.05487060546875,7.4495697021484375,1.3946990966796875
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,837,0,21620,20188,135,20,126,28,5.89617919921875,7.284767150878906,1.3885879516601562
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,463,0,16978,16822,106,18,105,22,4.4007720947265625,5.783256530761719,1.3824844360351562
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,1161,1,24994,24999,156,34,156,39,7.770011901855469,9.149452209472656,1.3794403076171875
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,226,0,16422,16423,102,102,102,103,2.105773687362671,3.4821624755859375,1.3763887882232666
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,3,0,25558,23290,159,118,145,90,0.1068115159869194,1.4526824951171875,1.3458709716796875
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,826,1,18693,19014,116,133,118,134,5.841239929199219,7.184059143066406,1.3428192138671875
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,1192,1,24161,21932,151,1,137,12,8.151496887207031,9.491256713867188,1.3397598266601562
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,146,0,5487,6120,34,47,38,40,1.3794403076171875,2.7069931030273438,1.3275527954101562
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,929,0,22740,22428,142,20,140,28,6.344795227050781,7.654045104980469,1.3092498779296875
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,1122,1,13068,13225,81,108,82,105,7.5319671630859375,8.841209411621094,1.3092422485351562
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,522,1,14330,13529,89,90,84,89,4.696800231933594,5.99688720703125,1.3000869750976562
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,848,0,24350,24505,152,30,153,25,5.95111083984375,7.232887268066406,1.2817764282226562
0,gan_GT_s0_speed_p160_x0_y0_pd.vtu_port_0,351,0,6023,5056,37,103,31,96,3.5340423583984375,4.797508239746094,1.2634658813476562
