sample,poster_score,d_B_CNN,d_B_Ablation,d_B_Topology-inspired,gain_dB_vs_Ablation_pct,W2_CNN,W2_Ablation,W2_Topology-inspired,gain_W2_vs_Ablation_pct,PSNR_CNN,PSNR_Ablation,PSNR_Topology-inspired,PSNR_drop_vs_Ablation,SSIM_CNN,SSIM_Ablation,SSIM_Topology-inspired,SSIM_drop_vs_Ablation
75,37.913754401119945,3.3432693481445312,3.5832347869873047,1.7858009338378906,50.1623242684762,21.20729120425753,22.88587708152661,15.52142191597486,32.17903836203117,29.430160323912798,31.32411602769629,31.04326879492467,0.28084723277162027,0.7213967815525415,0.7902128808780002,0.790962641035433,-0.0007497601574327772
124,36.240194057471044,3.111124038696289,3.1427621841430664,1.745805740356445,44.44995713754676,20.52409883269369,21.50736075617811,14.732673133150248,31.499390835678405,30.321227856363244,33.05908438409095,32.69453209884982,0.3645522852411318,0.7156125680285719,0.8049490299865736,0.8045015331020177,0.0004474968845559202
104,35.11482525768457,2.508885383605957,2.82661771774292,1.5505485534667969,45.14473804738888,19.26011704484514,21.972432764099757,14.952881801214206,31.947081318890785,28.244665117236966,30.412711155743615,30.039947952571143,0.3727632031724717,0.6888778869443543,0.7714971809472474,0.7711848529526613,0.0003123279945861368
121,34.19628730854321,2.621033638715744,2.530722379684448,1.5425562858581543,39.046799513011244,20.887215657722223,22.86092502662638,15.569599440682204,31.8942718960492,29.255150816114046,32.00075899533504,31.619088778241547,0.38167021709349314,0.7223842000246548,0.8047283982108343,0.8037962880411745,0.0009321101696597722
101,33.86757177594667,3.4411582946777344,3.388246536254883,1.9365544319152832,42.84493730920161,20.52754281250668,23.36490985078176,16.216341940473885,30.59531560772828,27.993038961045272,30.131966015137323,29.771029834552063,0.36093618058525934,0.6864682077342578,0.7701656435099546,0.7708155467229622,-0.0006499032130075078
118,33.76537521395677,2.594247817993164,3.1344985961914062,1.8253154754638672,41.76690722778663,19.276700265893687,23.23111728540396,15.470879474456732,33.40449671709489,30.425345206995495,33.20549504944287,32.8574085867271,0.34808646271577004,0.7297502589222499,0.8032266941296534,0.8025334109457904,0.0006932831838629694
100,33.709771759245704,3.3197250366210938,3.923093795776367,2.221870422363281,43.364330856545834,21.64705717444376,24.102755557145983,16.705537264809717,30.690342748562372,28.590513384063794,30.65096978977118,30.27418405018617,0.37678573958501005,0.6828487663338302,0.7661235238743271,0.7664320601353489,-0.00030853626102178566
126,33.29089199921307,2.854498147964477,2.7113819122314453,1.654341220855713,38.98531175587125,20.813703107955607,20.731866410379165,14.8072903095037,28.577147776282203,30.6097903547661,33.338355805971055,32.948282869927084,0.3900729360439712,0.7236205869404461,0.8122721087361409,0.8112261715087129,0.0010459372274279621
98,33.07878768497811,3.0918846130371094,3.2686939239501958,2.007369041442871,38.58803888811411,22.50208860271998,25.35813034290817,17.3108855195533,31.73437755282072,28.544514144829375,30.714038468168393,30.34683162307108,0.36720684509731427,0.6573197440807647,0.7511074060548714,0.7521459796715443,-0.001038573616672922
123,32.9648410273724,2.7824935913085938,2.2948532104492188,1.5951671600341797,30.48935972153422,21.300525472046637,21.963479338557303,14.617552108447311,33.446099850009084,29.902756672682617,32.54765808820827,32.172156374282885,0.375501713925388,0.7221485630207403,0.8077631984353029,0.80708482972395,0.0006783687113528503
76,32.903649604916296,3.344919204711914,2.8839988708496094,1.766223967075348,38.75781350236699,22.1533018658425,23.65804510115421,16.788167157003382,29.038231666130635,29.256090612424952,31.136949735012163,30.866814842951552,0.2701348920606108,0.7131637399899946,0.7851289143856793,0.7859043253486584,-0.0007754109629790618
106,32.87064488501399,3.24409294128418,3.1155481338500977,1.9694125652313232,36.78760588437501,19.735550418442276,21.44739564117979,14.800897434196058,30.989768259891704,29.215031902459533,31.357036786708633,30.991184637359282,0.36585214934935095,0.7177652127855297,0.7902104626673632,0.7894793761135499,0.0007310865538132649
