method_id,sample_idx,recomputed_speed_mae,long_table_speed_mae,abs_diff,within_tolerance
bicubic,120,0.5748884039489283,0.5748884039489283,0.0,True
bicubic,34,0.7471490695243925,0.7471490695243925,0.0,True
bicubic,119,0.5710770215084379,0.5710770215084379,0.0,True
bicubic,25,0.7786270901665931,0.7786270901665931,0.0,True
bicubic,30,0.8048455248008879,0.8048455248008879,0.0,True
bicubic,19,0.4823679756330234,0.4823679756330234,0.0,True
cnn,120,0.6818681630517663,0.6818681630517663,0.0,True
cnn,34,0.8552781637068935,0.8552781637068935,0.0,True
cnn,119,0.6686771107712965,0.6686771107712965,0.0,True
cnn,25,0.9165769541423457,0.9165769541423457,0.0,True
cnn,30,0.944358201296967,0.944358201296967,0.0,True
cnn,19,0.5952304247308453,0.5952304247308453,0.0,True
gan,120,0.8565562594199194,0.8565562594199194,0.0,True
gan,34,1.0702193109602118,1.0702193109602118,0.0,True
gan,119,0.8492398962174323,0.8492398962174323,0.0,True
gan,25,1.1333774469516664,1.1333774469516664,0.0,True
gan,30,1.1904316900537542,1.1904316900537542,0.0,True
gan,19,0.8068422269710688,0.8068422269710688,0.0,True
candidate_c,120,0.5023918091246221,0.5023918091246221,0.0,True
candidate_c,34,0.6369726038392907,0.6369726038392907,0.0,True
candidate_c,119,0.500581929382462,0.500581929382462,0.0,True
candidate_c,25,0.6759993991130374,0.6759993991130374,0.0,True
candidate_c,30,0.6847348188724437,0.6847348188724437,0.0,True
candidate_c,19,0.4208730909773489,0.4208730909773489,0.0,True
f3_grad_crit,120,0.5254029543668792,0.5254029543668792,0.0,True
f3_grad_crit,34,0.6491427581261972,0.6491427581261972,0.0,True
f3_grad_crit,119,0.522990253001559,0.522990253001559,0.0,True
f3_grad_crit,25,0.6971865190378166,0.6971865190378166,0.0,True
f3_grad_crit,30,0.702433472849583,0.702433472849583,0.0,True
f3_grad_crit,19,0.4420112850516867,0.4420112850516867,0.0,True
f2_grad_levelset_e2,120,0.5622469240534236,0.5622469240534236,0.0,True
f2_grad_levelset_e2,34,0.69960670776327,0.69960670776327,0.0,True
f2_grad_levelset_e2,119,0.5605108610206192,0.5605108610206192,0.0,True
f2_grad_levelset_e2,25,0.746644956132977,0.746644956132977,0.0,True
f2_grad_levelset_e2,30,0.7703354872901901,0.7703354872901901,0.0,True
f2_grad_levelset_e2,19,0.4685883412372864,0.4685883412372864,0.0,True
uv_e2,120,0.5625681467692717,0.5625681467692717,0.0,True
uv_e2,34,0.7003560000491998,0.7003560000491998,0.0,True
uv_e2,119,0.5608716441641992,0.5608716441641992,0.0,True
uv_e2,25,0.7502252885156984,0.7502252885156984,0.0,True
uv_e2,30,0.7728877341142641,0.7728877341142641,0.0,True
uv_e2,19,0.4719832896103252,0.4719832896103252,0.0,True
