method_id,sample_idx,gt_speed_min,gt_speed_max,gt_speed_mean,sr_speed_min,sr_speed_max,sr_speed_mean
bicubic,120,0.021362304457814008,22.602005382108388,10.955551877612375,0.017008265480399132,19.541303634643555,10.943178176879883
bicubic,34,0.1190185557425057,31.351661491441806,11.808299033847634,0.17603549361228943,23.972623825073242,11.79694652557373
bicubic,119,0.03967285177222844,24.774924928978656,10.891100514490306,0.04667479172348976,21.608272552490234,10.877080917358398
bicubic,25,0.09765625034942499,33.988465063447876,12.720295928240244,0.052832890301942825,26.87595558166504,12.689204216003418
bicubic,30,0.14954376177816905,33.2346571510991,12.044912582445262,0.06347811967134476,26.240943908691406,11.99452018737793
bicubic,19,0.027465820686859776,24.954984934171883,11.25679579410102,0.03598234802484512,24.775053024291992,11.222153663635254
cnn,120,0.021362304457814008,22.602005382108388,10.955551877612375,0.01114822818700767,20.207137322304806,10.875497411782478
cnn,34,0.1190185557425057,31.351661491441806,11.808299033847634,0.06558088325298059,32.941792120838656,11.82625442197748
cnn,119,0.03967285177222844,24.774924928978656,10.891100514490306,0.006777895954105657,20.334890928624667,10.8100750139924
cnn,25,0.09765625034942499,33.988465063447876,12.720295928240244,0.1224405217974028,43.4055829443469,12.722936638915904
cnn,30,0.14954376177816905,33.2346571510991,12.044912582445262,0.056994429750154556,37.62227177383977,12.049929955136383
cnn,19,0.027465820686859776,24.954984934171883,11.25679579410102,0.01746799071689915,24.155295717458692,11.169377849877305
gan,120,0.021362304457814008,22.602005382108388,10.955551877612375,0.011333471901603411,23.696232135200372,11.03665025517391
gan,34,0.1190185557425057,31.351661491441806,11.808299033847634,0.0015429837994549844,49.69148981604192,12.289455557625725
gan,119,0.03967285177222844,24.774924928978656,10.891100514490306,0.04828701863512645,21.45428820977219,10.97153929773281
gan,25,0.09765625034942499,33.988465063447876,12.720295928240244,0.05279113736396439,42.35449953964289,13.106849059965157
gan,30,0.14954376177816905,33.2346571510991,12.044912582445262,0.04728838885831134,46.2584580138486,12.539360233704675
gan,19,0.027465820686859776,24.954984934171883,11.25679579410102,0.008205028461998118,34.25810757350472,11.35490087220509
candidate_c,120,0.021362304457814008,22.602005382108388,10.955551877612375,0.023862880540430124,21.4286174521934,11.008744189780675
candidate_c,34,0.1190185557425057,31.351661491441806,11.808299033847634,0.042399586918365775,30.242762288780803,11.84921977330932
candidate_c,119,0.03967285177222844,24.774924928978656,10.891100514490306,0.016600630887045397,22.478923280816556,10.94343183552359
candidate_c,25,0.09765625034942499,33.988465063447876,12.720295928240244,0.023442783578320775,35.997375440815844,12.776348584854283
candidate_c,30,0.14954376177816905,33.2346571510991,12.044912582445262,0.19794154618236232,33.20743048659658,12.08568877360307
candidate_c,19,0.027465820686859776,24.954984934171883,11.25679579410102,0.011732674517116388,27.89115786879951,11.29215317811825
f3_grad_crit,120,0.021362304457814008,22.602005382108388,10.955551877612375,0.018667793641871357,21.77224940689896,11.09356967983493
f3_grad_crit,34,0.1190185557425057,31.351661491441806,11.808299033847634,0.07489120723043058,30.909656405727954,11.858062770359307
f3_grad_crit,119,0.03967285177222844,24.774924928978656,10.891100514490306,0.008743369283836826,22.549371614390733,11.025313044458196
f3_grad_crit,25,0.09765625034942499,33.988465063447876,12.720295928240244,0.03264556652482678,36.64172833892093,12.825797816273667
f3_grad_crit,30,0.14954376177816905,33.2346571510991,12.044912582445262,0.021458192169549858,33.215046306032896,12.107727354200525
f3_grad_crit,19,0.027465820686859776,24.954984934171883,11.25679579410102,0.008929851045659926,27.828064637996338,11.350414061741608
f2_grad_levelset_e2,120,0.021362304457814008,22.602005382108388,10.955551877612375,0.004631552681959958,22.34967090186395,10.91788426318468
f2_grad_levelset_e2,34,0.1190185557425057,31.351661491441806,11.808299033847634,0.13555848865437994,31.791428254992816,11.81393970714851
f2_grad_levelset_e2,119,0.03967285177222844,24.774924928978656,10.891100514490306,0.02028202507750604,21.0072359240607,10.85733604535174
f2_grad_levelset_e2,25,0.09765625034942499,33.988465063447876,12.720295928240244,0.021595455109487658,36.35210585626166,12.67811710995947
f2_grad_levelset_e2,30,0.14954376177816905,33.2346571510991,12.044912582445262,0.06507732607403123,35.965020567793836,12.01115752225748
f2_grad_levelset_e2,19,0.027465820686859776,24.954984934171883,11.25679579410102,0.016927662234555923,27.32425693985953,11.229814810043216
uv_e2,120,0.021362304457814008,22.602005382108388,10.955551877612375,0.028755229061538403,21.86413293370652,10.933513394357599
uv_e2,34,0.1190185557425057,31.351661491441806,11.808299033847634,0.053371831147274104,31.83778697846872,11.812710424153462
uv_e2,119,0.03967285177222844,24.774924928978656,10.891100514490306,0.004337943606259474,20.496085179272168,10.872060684273507
uv_e2,25,0.09765625034942499,33.988465063447876,12.720295928240244,0.05658250360268524,37.3246045026913,12.682091672094076
uv_e2,30,0.14954376177816905,33.2346571510991,12.044912582445262,0.04872145894750947,36.7002243268269,12.00886367820706
uv_e2,19,0.027465820686859776,24.954984934171883,11.25679579410102,0.019011809658192956,26.580323237430775,11.240301615710273
