sample_idx,pos_idx,pd_distance_candidateB,mt_distance_candidateB
0,0,26.179818446286276,4.814377307891846
1,1,26.545503792681192,5.406003952026367
2,2,26.998948699418342,5.586921691894531
3,3,26.56029805826851,5.0153703689575195
4,4,26.075138648777013,4.812601566314697
5,5,26.789535253872774,5.276339530944824
6,6,27.56175551662498,6.20045280456543
7,7,27.842845947549883,6.273870944976807
8,8,27.904150030588582,7.154460906982422
9,9,27.445186666539154,5.927921295166016
10,10,27.747333195313132,6.343712329864502
11,11,27.188848991772392,6.732172966003418
12,12,27.90319191566299,6.093352317810059
13,13,27.492573670494778,6.851194381713867
14,14,26.566413957521203,5.679977893829346
15,15,24.448364119334414,5.762754917144775
16,16,21.858542434973543,5.8596978187561035
17,17,19.53919402930008,5.67388916015625
18,18,18.809978920943095,5.525791168212891
19,19,18.933701049559676,6.204903602600098
20,20,20.404952115166246,5.795567989349365
21,21,25.632531705312466,8.28647518157959
22,22,32.254335768007785,7.853335857391357
23,23,34.32120803851313,7.671535491943359
24,24,35.230691852602035,6.5991363525390625
25,25,35.72484669773823,6.541964530944824
26,26,35.387234911980464,7.266367435455322
27,27,36.64622679887355,5.955105781555176
28,28,38.287692496800254,7.752302169799805
29,29,39.57148690933244,6.6971025466918945
30,30,39.26126521286899,7.192418575286865
31,31,39.08119352982135,7.2004265785217285
32,32,38.216295898711955,6.682404041290283
33,33,38.43190961940415,6.836663246154785
34,34,37.63439735126468,6.446723461151123
35,35,37.053454843756064,7.286063194274902
36,36,36.686725251931406,6.268772125244141
37,37,35.07945918203191,6.122122287750244
38,38,31.167255360522613,6.997416973114014
39,39,27.345706715055076,6.677011966705322
40,40,25.6686056961352,7.469856262207031
41,41,23.79084793555318,5.518406391143799
42,42,21.433706421480657,6.213630676269531
43,43,19.667238707375667,5.728870391845703
44,44,17.66065728906309,6.366054534912109
45,45,17.492552603173337,6.497767448425293
46,46,16.85507844570684,6.5070624351501465
47,47,17.833909746060982,7.009560585021973
48,48,19.038933991608967,7.853213787078857
49,49,18.890085239867048,6.6724019050598145
50,50,18.269515624268276,6.468810081481934
51,51,18.672469583396108,6.07138204574585
52,52,19.22318665955835,7.423309326171875
53,53,19.48866446162005,5.720904350280762
54,54,20.216552799237462,6.659416675567627
55,55,21.00458487590461,6.152523994445801
56,56,21.82327868263679,6.484290599822998
57,57,21.933839839394924,5.958709239959717
58,58,22.65418609055253,5.642223358154297
59,59,22.82190511224851,6.043035507202148
60,60,22.99976655979447,6.622503280639648
61,61,23.510504181477028,5.848782539367676
62,62,25.019690546977742,7.012545585632324
63,63,25.971443947769725,6.981632232666016
64,64,21.668197581241074,5.809456825256348
65,65,19.67387401607169,5.921051502227783
66,66,18.206180914483472,5.4590864181518555
67,67,17.827821425146183,5.197405815124512
68,68,18.782473110734436,5.881233215332031
69,69,21.08734380137066,5.122801303863525
70,70,21.707619138572433,5.60344123840332
71,71,22.89635343879965,5.853949069976807
72,72,24.01269439041925,5.262018203735352
73,73,25.478247995550884,6.067322254180908
74,74,26.710496207926628,5.944952964782715
75,75,27.213296931617283,5.948726654052734
76,76,27.3537003117032,5.582655906677246
77,77,27.51689329594369,6.501245021820068
78,78,27.603003967803627,6.561863422393799
79,79,28.020403916472272,7.059109687805176
80,80,27.669913369012992,5.710461139678955
81,81,27.41997511662329,6.109954357147217
82,82,26.69108163076698,6.796092987060547
83,83,26.265477910297605,6.456936836242676
84,84,26.922889360392833,6.418631553649902
85,85,26.832746460602706,5.780384063720703
86,86,27.171948626462974,5.915912628173828
87,87,27.275424071310013,7.450545310974121
