sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB,pd_winner_before,pd_winner_after_candidateB,mt_winner_before,mt_winner_after_candidateB,was_mt_gan_win_before
143,143,31.729557469133276,25.608920781987035,30.88828342744645,5.864097595214844,9.649337768554688,6.099551677703857,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,30.484888689880737,5.560759544372559,9.771649360656738,5.387120723724365,gan,gan,cnn,candidateB,0
145,145,30.39245353837724,25.26410594488553,29.51504366391196,5.902344226837158,8.558032035827637,6.4037251472473145,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,28.88913632527415,5.959416389465332,7.056334018707275,6.310131549835205,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,27.426988671955492,5.6108717918396,6.8347039222717285,6.163582801818848,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,26.623222405559364,5.0148024559021,8.882506370544434,5.429915428161621,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,25.90548371838436,5.752551078796387,8.038224220275879,6.2730865478515625,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,24.549314950312503,5.291886329650879,7.924254417419434,4.883148193359375,gan,gan,cnn,candidateB,0
151,151,24.240085612250784,19.596870056685123,24.62664574945758,5.580901145935059,7.460690975189209,6.757730484008789,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,24.41093570392128,5.931854248046875,8.478921890258789,6.1192307472229,gan,gan,cnn,cnn,0
153,153,25.168802860244767,16.23765159094386,23.979086342798613,6.290019989013672,6.548172950744629,6.373366355895996,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,23.873429735529296,5.889771461486816,5.736759185791016,6.1548638343811035,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,23.892957170144978,6.413660526275635,6.612644195556641,7.553193092346191,gan,gan,cnn,cnn,0
156,156,25.16401321091786,17.879759557761357,24.560044230416075,5.162914276123047,9.264598846435547,5.5010457038879395,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,26.032942582466724,4.567626476287842,8.282842636108398,5.3271260261535645,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,28.280783304030432,5.708489894866943,8.312358856201172,5.821193695068359,gan,gan,cnn,cnn,0
159,159,24.310343375521082,19.84507792462866,25.806747176561206,5.012121677398682,10.700226783752441,5.745386600494385,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,23.15264749261034,5.1832075119018555,13.9108247756958,7.389615535736084,gan,gan,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,21.79648275407282,5.7158894538879395,11.7100830078125,5.9293389320373535,gan,gan,cnn,cnn,0
162,162,18.27105324592802,19.457879947992573,21.277157080669028,4.5405659675598145,9.695740699768066,6.351251602172852,cnn,cnn,cnn,cnn,0
163,163,19.37037318892002,20.44637029980189,22.063358162841645,5.698920726776123,6.788956165313721,5.184317111968994,cnn,cnn,cnn,candidateB,0
164,164,21.46365087746109,18.82963529736202,24.076058151801067,5.2430009841918945,10.968896865844727,5.604142665863037,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,25.598577875410967,5.059387683868408,11.26945972442627,6.105845928192139,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,26.88572268857073,6.106489181518555,10.583955764770508,5.933559894561768,gan,gan,cnn,candidateB,0
167,167,23.479887971191566,21.661112948338108,26.59706477873812,5.800627708435059,7.244186878204346,5.570361614227295,gan,gan,cnn,candidateB,0
