row,index,mr_shape,hr_shape,mae_total,rmse_total,max_abs_diff,mae_ua,mae_va,rmse_ua,rmse_va,paired_rank_rmse,paired_rank_mae,paired_rmse,paired_mae,best_wrong_rmse,best_wrong_mae,paired_beats_wrong_rmse_gap,paired_beats_wrong_mae_gap,candidate_count
87,87,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.8425158484376979,0.6473290760478742,0.8425158484376979,0.6473290760478742,168
88,88,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.7289305828354082,0.5460290342160975,0.7289305828354082,0.5460290342160975,168
89,89,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.7139761462906842,0.5312988342247041,0.7139761462906842,0.5312988342247041,168
90,90,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.7139761462906842,0.5312988342247041,0.7139761462906842,0.5312988342247041,168
91,91,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.7440918304294718,0.548726569851766,0.7440918304294718,0.548726569851766,168
92,92,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.8355829620461311,0.6362852211241273,0.8355829620461311,0.6362852211241273,168
93,93,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0139674922397477,0.7823885109032266,1.0139674922397477,0.7823885109032266,168
94,94,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.9293971723528961,0.7124603817645698,0.9293971723528961,0.7124603817645698,168
95,95,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.870176468212454,0.6660531966592618,0.870176468212454,0.6660531966592618,168
96,96,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.8291704130544137,0.6259363747618405,0.8291704130544137,0.6259363747618405,168
97,97,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.7843812742582881,0.5902330998117485,0.7843812742582881,0.5902330998117485,168
98,98,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.7843812742582881,0.5902330998117485,0.7843812742582881,0.5902330998117485,168
99,99,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.8181864592741286,0.6166776429872874,0.8181864592741286,0.6166776429872874,168
100,100,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.8492461304692419,0.6319702577166713,0.8492461304692419,0.6319702577166713,168
101,101,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.870090656132787,0.6496955846627438,0.870090656132787,0.6496955846627438,168
102,102,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.870090656132787,0.6583350260111118,0.870090656132787,0.6583350260111118,168
103,103,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.9074966139811642,0.6805488117666916,0.9074966139811642,0.6805488117666916,168
104,104,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.9550005435787787,0.7140852789555323,0.9550005435787787,0.7140852789555323,168
105,105,"(100, 100, 2)","(500, 500, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.9556781126744608,0.7147870598143441,0.9556781126744608,0.7147870598143441,168
