sample_idx,pos_idx,pd_distance_candidateUV,mt_distance_candidateUV
0,0,29.314733346371504,5.313716411590576
1,1,29.907272250942395,5.486093997955322
2,2,30.394723365135718,5.977111339569092
3,3,30.402459997546536,5.112213134765625
4,4,30.404694130184005,5.5756707191467285
5,5,31.6080978219621,5.306467533111572
6,6,32.05365393414251,6.66613245010376
7,7,32.267085559234836,6.424245357513428
8,8,32.67862806284251,7.412765026092529
9,9,31.910357460220094,6.384274005889893
10,10,32.107570264307505,6.400320529937744
11,11,31.8787636831727,5.831116199493408
12,12,32.56744422897307,6.65676736831665
13,13,31.60907416695279,6.758913516998291
14,14,30.47029307118716,5.906912803649902
15,15,28.371964462894603,5.4597320556640625
16,16,25.564803616010533,6.289414882659912
17,17,23.362589285077437,5.815354347229004
18,18,22.90245147040704,6.358486175537109
19,19,22.566073011402334,6.545926094055176
20,20,23.955095087538044,6.489160537719727
21,21,29.372630925190176,7.887007713317871
22,22,36.422443226887296,9.23336124420166
23,23,37.94344820885295,9.100253105163574
24,24,39.25532196837606,8.076194763183594
25,25,40.01370668901158,8.085034370422363
26,26,40.42720558397048,6.534064292907715
27,27,41.755515660279315,7.342321872711182
28,28,43.26367441740801,7.817526817321777
29,29,44.19179411722438,6.66226863861084
30,30,43.75349400210983,7.308907985687256
31,31,43.299784954802924,7.340607166290283
32,32,42.14560350350244,7.084038257598877
33,33,42.11755009408488,7.7195353507995605
34,34,41.13814225277977,7.094841003417969
35,35,40.80032771128998,7.976233005523682
36,36,40.342363874042455,7.147391319274902
37,37,38.69003194379996,7.160405158996582
38,38,35.001056615905725,7.388654708862305
39,39,30.436733979231093,6.805639743804932
40,40,28.06946032645828,8.414691925048828
41,41,26.10696968811826,6.536718845367432
42,42,23.774776901300545,6.541330337524414
43,43,22.679097115302937,6.230128765106201
44,44,21.375659593621286,6.8416056632995605
45,45,21.748422329846072,6.6761603355407715
46,46,21.335889521448753,6.626213073730469
47,47,22.24146791340577,7.075029373168945
48,48,23.27566848752472,7.463681697845459
49,49,23.04646981430519,6.994887351989746
50,50,22.551556202590763,6.4353556632995605
51,51,22.974377938094566,6.304480075836182
52,52,23.734854812517444,6.0394463539123535
53,53,23.885319013322217,5.547740936279297
54,54,25.029155448027385,5.872155666351318
55,55,25.946721228473635,6.083271503448486
56,56,26.584251951178036,5.9331841468811035
57,57,26.778683846959684,6.103095531463623
58,58,27.576885963908556,6.317678928375244
59,59,27.845762332533756,6.070505619049072
60,60,28.16025951079104,6.441847324371338
61,61,28.401086720115323,6.118131637573242
62,62,29.7573130886656,7.253958225250244
63,63,30.536828298725162,7.668883800506592
64,64,26.17744328169136,6.295754909515381
65,65,23.800110764808487,5.744134902954102
66,66,22.516672871979434,5.621123313903809
67,67,21.96843456060147,5.028878688812256
68,68,23.15307712524755,6.143295764923096
69,69,26.027390931993775,5.697033405303955
70,70,26.812114355835583,5.676339149475098
71,71,27.981485436071914,6.129687786102295
72,72,29.130269813233703,6.268777847290039
73,73,30.34839830455392,6.585680961608887
74,74,31.744198257889785,6.883890628814697
75,75,32.47500416317513,6.915792942047119
76,76,32.9195389381617,6.442824363708496
77,77,33.054625289161244,6.44441556930542
78,78,32.823309159665136,7.467264175415039
79,79,32.72519873286182,7.82273006439209
80,80,32.516353897835764,6.708945274353027
81,81,32.563605591184924,6.620564937591553
82,82,32.13411046876492,7.583894729614258
83,83,31.848832307227834,6.8852314949035645
84,84,32.1027314505205,6.304929733276367
85,85,31.77158586594919,6.038876533508301
86,86,32.24975431980056,6.476925373077393
87,87,32.65427501167667,7.728309631347656
88,88,29.05665655879983,6.957172870635986
89,89,26.331558647742042,6.383296489715576
90,90,24.542267374141353,5.7430548667907715
91,91,24.69136017763905,6.230916500091553
92,92,25.34497735471007,5.705961227416992
93,93,28.81608519212723,6.492199897766113
94,94,29.992838020447362,5.981175422668457
95,95,31.388695402997786,5.959494590759277
96,96,33.248353461822525,5.759376049041748
97,97,33.89104224982813,5.689801216125488
98,98,34.76998081313519,5.611465930938721
99,99,34.88281330473354,6.600381851196289
100,100,34.43448331661251,6.192474365234375
101,101,33.59583063271974,6.394382953643799
102,102,32.59640512448334,6.69896125793457
103,103,33.165192857048964,6.168907642364502
104,104,32.49023648753931,5.971243381500244
105,105,32.340477903935174,5.743284702301025
106,106,32.50755392451792,6.634140968322754
107,107,32.23536729960301,6.060892581939697
108,108,31.918955449356336,6.429090976715088
109,109,31.51448529542381,5.764332294464111
110,110,31.96735178284402,6.376753807067871
111,111,30.887678748900733,6.114636421203613
112,112,30.492973376270214,6.734987258911133
113,113,29.087098903351997,6.201700210571289
114,114,27.748484292958768,6.208505630493164
