sample,original_cnn_near_tie_rank,pd_display_threshold,cnn_db,ablation_db,candidateF_db,cnn_w2inf,ablation_w2inf,candidateF_w2inf,cnn_w22,ablation_w22,candidateF_w22,candidateF_vs_ablation_all3,F_vs_CNN_abs_delta_psnruv,F_vs_CNN_relative_gap_speed_mae,F_vs_CNN_relative_gap_speed_rmse,F_vs_ablation_abs_delta_psnruv,F_vs_ablation_relative_gap_speed_mae,F_vs_ablation_relative_gap_speed_rmse,overview_png,overview_pdf,matching_png,matching_pdf,cnn_w22_recomputed,ablation_w22_recomputed,candidateF_w22_recomputed
71,8,3.0,2.6956905126571655,3.175124168395996,1.5803375244140625,17.1397252457267,18.568872884983094,11.67028863111536,21.906450941949227,23.999858628948438,14.468533615549923,1,0.606424786226075,0.08644729383483615,0.032933909971959226,1.373102246539215,0.18319410119413632,0.17365820236897653,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_071_uv_control_overview.png,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_071_uv_control_overview.pdf,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_071_uv_control_w22_matching.png,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_071_uv_control_w22_matching.pdf,21.906450941949227,23.999858628948438,14.468533615549923
80,2,3.0,4.296468734741211,3.599658966064453,1.8075637817382812,22.770100170251283,23.271880858296083,15.906636464207402,29.627014373234736,30.483549324906637,19.9776481071072,1,0.5443187472592079,0.08127381086890986,0.031678110522817444,1.3141154813951523,0.1875095073422654,0.16612335169742462,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_080_uv_control_overview.png,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_080_uv_control_overview.pdf,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_080_uv_control_w22_matching.png,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_080_uv_control_w22_matching.pdf,29.627014373234736,30.483549324906637,19.9776481071072
63,1,3.0,3.9995288848876953,4.0284423828125,2.0391921997070312,18.12396085475111,19.18062193190653,13.145497008805618,23.74507614243998,25.35909244461996,16.740882660028802,1,0.4627638558911471,0.08433611548931941,0.032582448027002095,1.2378392838667587,0.16254640661803507,0.14817729426636916,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_063_uv_control_overview.png,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_063_uv_control_overview.pdf,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_063_uv_control_w22_matching.png,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_063_uv_control_w22_matching.pdf,23.745076142439984,25.359092444619964,16.740882660028802
69,27,3.0,3.0670461654663086,2.4362078309059143,1.233332633972168,14.572267291060031,15.256231217222494,9.98731279438054,18.72241897805938,19.912581254173233,12.322962497969836,1,0.7746067542576434,0.09498791839583735,0.047139856551233754,1.2770752720498955,0.17157282734967577,0.16328491587021993,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_069_uv_control_overview.png,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_069_uv_control_overview.pdf,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_069_uv_control_w22_matching.png,/home/adadhwal/PhIRE/figures/candidateF_uv_control_real/sample_069_uv_control_w22_matching.pdf,18.72241897805938,19.912581254173233,12.322962497969836
