method,key,sample_idx,psnr,pd_distance,mt_distance
cnn,cnn_s64_speed_p160_x0_y0,64,14.38548204730558,26.602280148754833,7.603146076202393
cnn,cnn_s65_speed_p160_x0_y0,65,13.67642532534002,24.905253958212505,7.4953508377075195
cnn,cnn_s66_speed_p160_x0_y0,66,12.950710866444279,24.407374379184542,6.743908405303955
cnn,cnn_s67_speed_p160_x0_y0,67,12.788992833641831,23.455656114807084,6.241796493530273
cnn,cnn_s68_speed_p160_x0_y0,68,13.102342776612135,24.83628846171297,7.5182013511657715
cnn,cnn_s69_speed_p160_x0_y0,69,12.22151314990995,28.41339537037206,7.662077903747559
cnn,cnn_s70_speed_p160_x0_y0,70,12.43817988173694,30.236287093311407,9.682647705078125
cnn,cnn_s71_speed_p160_x0_y0,71,12.67987863070093,31.766486645798278,11.536225318908691
cnn,cnn_s72_speed_p160_x0_y0,72,12.746072851564353,33.704107648480225,10.406431198120117
cnn,cnn_s73_speed_p160_x0_y0,73,12.826483149649853,34.19308472083419,13.883359909057617
cnn,cnn_s74_speed_p160_x0_y0,74,13.03099286798265,35.40343144945609,11.496743202209473
cnn,cnn_s75_speed_p160_x0_y0,75,12.844682190835812,35.8108977884351,12.707706451416016
cnn,cnn_s76_speed_p160_x0_y0,76,12.747974850881906,36.63566158969938,13.013518333435059
cnn,cnn_s77_speed_p160_x0_y0,77,12.351432980540629,37.423350774735695,10.72024154663086
cnn,cnn_s78_speed_p160_x0_y0,78,12.290714283829693,37.74785216658497,11.020406723022461
cnn,cnn_s79_speed_p160_x0_y0,79,12.459310755343147,37.97455030862073,11.775860786437988
cnn,cnn_s80_speed_p160_x0_y0,80,12.42707152624142,37.91510700069518,11.60774040222168
cnn,cnn_s81_speed_p160_x0_y0,81,12.614682857377005,38.36409269486838,9.47352123260498
cnn,cnn_s82_speed_p160_x0_y0,82,12.537615439058545,37.73072930950799,9.221940994262695
cnn,cnn_s83_speed_p160_x0_y0,83,12.593967680778071,37.454525524470526,11.2464017868042
cnn,cnn_s84_speed_p160_x0_y0,84,12.721898946751992,37.37238360383675,13.639805793762207
cnn,cnn_s85_speed_p160_x0_y0,85,12.739797807584381,36.58051276742986,13.024733543395996
cnn,cnn_s86_speed_p160_x0_y0,86,12.601175395753465,36.555783673107385,13.544218063354492
cnn,cnn_s87_speed_p160_x0_y0,87,13.197392508790056,34.89086600239789,8.46773624420166
cnn,cnn_s88_speed_p160_x0_y0,88,12.65575697460866,30.677053553722207,7.651012897491455
cnn,cnn_s89_speed_p160_x0_y0,89,11.728587740987084,28.32623122213673,8.429685592651367
cnn,cnn_s90_speed_p160_x0_y0,90,11.833567640745471,26.93908349026711,8.072452545166016
cnn,cnn_s91_speed_p160_x0_y0,91,12.581957829171676,27.235585582142722,7.781002044677734
cnn,cnn_s92_speed_p160_x0_y0,92,13.1651870754413,26.643613866440504,7.774722576141357
cnn,cnn_s93_speed_p160_x0_y0,93,12.81472321459406,30.176553021236728,8.861827850341797
cnn,cnn_s94_speed_p160_x0_y0,94,12.471430324769667,31.350337789884023,8.629904747009277
cnn,cnn_s95_speed_p160_x0_y0,95,11.871562450304769,33.445163461051685,6.951667308807373
cnn,cnn_s96_speed_p160_x0_y0,96,11.742377077940727,34.77351918291079,10.570521354675293
cnn,cnn_s97_speed_p160_x0_y0,97,11.608577438955667,34.95993418299238,9.191466331481934
cnn,cnn_s98_speed_p160_x0_y0,98,11.561811229490996,35.690585104844466,11.993157386779785
cnn,cnn_s99_speed_p160_x0_y0,99,11.720832128460145,36.53020154438857,11.022207260131836
cnn,cnn_s100_speed_p160_x0_y0,100,11.528618735282041,36.718313311494306,12.226722717285156
cnn,cnn_s101_speed_p160_x0_y0,101,10.887108911275124,35.951245738898734,12.674586296081543
cnn,cnn_s102_speed_p160_x0_y0,102,11.020736272522996,34.15580103494121,10.271135330200195
cnn,cnn_s103_speed_p160_x0_y0,103,10.769612650000479,35.159461063196254,11.071194648742676
cnn,cnn_s104_speed_p160_x0_y0,104,10.553205903580096,35.18632119915297,13.296687126159668
cnn,cnn_s105_speed_p160_x0_y0,105,10.774993538833353,36.37858293690307,13.770055770874023
cnn,cnn_s106_speed_p160_x0_y0,106,11.112867947604038,37.02202114129641,13.011298179626465
cnn,cnn_s107_speed_p160_x0_y0,107,10.716842600713342,37.492103735944546,13.247636795043945
cnn,cnn_s108_speed_p160_x0_y0,108,11.521874417727368,35.91648141314297,14.35383415222168
cnn,cnn_s109_speed_p160_x0_y0,109,10.636782462351725,35.275557246291065,15.214360237121582
cnn,cnn_s110_speed_p160_x0_y0,110,11.168454389804708,35.625101862189204,13.815155982971191
cnn,cnn_s111_speed_p160_x0_y0,111,11.793179089710577,33.74244687650233,14.776040077209473
cnn,cnn_s112_speed_p160_x0_y0,112,10.994373378320162,33.07792657827439,10.652641296386719
cnn,cnn_s113_speed_p160_x0_y0,113,10.398844558460784,30.403231393855748,10.468160629272461
cnn,cnn_s114_speed_p160_x0_y0,114,10.444246682672539,30.146223916651287,9.326315879821777
cnn,cnn_s115_speed_p160_x0_y0,115,11.101047260224298,29.840914946550186,8.4431791305542
cnn,cnn_s116_speed_p160_x0_y0,116,10.916506272927556,30.739825234031546,10.808460235595703
cnn,cnn_s117_speed_p160_x0_y0,117,11.040031487668507,34.297013327703105,11.412581443786621
cnn,cnn_s118_speed_p160_x0_y0,118,11.058782518608236,39.57073903887771,10.767620086669922
cnn,cnn_s119_speed_p160_x0_y0,119,10.880572075303768,40.588904196518314,12.658984184265137
cnn,cnn_s120_speed_p160_x0_y0,120,10.332382078413588,40.8737060920996,13.103515625
cnn,cnn_s121_speed_p160_x0_y0,121,9.567788569551308,42.707387104237576,13.544977188110352
cnn,cnn_s122_speed_p160_x0_y0,122,9.6514927244571,43.89000299694416,12.73664379119873
cnn,cnn_s123_speed_p160_x0_y0,123,9.897737145324609,44.53211515599249,12.742769241333008
cnn,cnn_s124_speed_p160_x0_y0,124,10.28481965155348,44.57438839751205,12.947576522827148
cnn,cnn_s125_speed_p160_x0_y0,125,9.89487501714095,42.76952978383624,14.168416023254395
cnn,cnn_s126_speed_p160_x0_y0,126,10.365239372421506,42.32249394536492,13.411787033081055
cnn,cnn_s127_speed_p160_x0_y0,127,10.39614943369331,43.63067560309489,13.094024658203125
cnn,cnn_s128_speed_p160_x0_y0,128,10.75067589395978,42.5672385706163,10.688158988952637
cnn,cnn_s129_speed_p160_x0_y0,129,11.4386363301784,41.27747190721476,8.484464645385742
cnn,cnn_s130_speed_p160_x0_y0,130,11.95719559202054,40.47014842622414,7.681793689727783
cnn,cnn_s131_speed_p160_x0_y0,131,12.339359685152644,41.417161891370576,7.694051742553711
cnn,cnn_s132_speed_p160_x0_y0,132,12.624152521980847,41.98480648510864,6.974740028381348
cnn,cnn_s133_speed_p160_x0_y0,133,12.524182546600656,41.675055721459756,6.249068260192871
cnn,cnn_s134_speed_p160_x0_y0,134,12.466333537645674,38.14020405715272,5.851230621337891
cnn,cnn_s135_speed_p160_x0_y0,135,12.315668186963851,34.0500103389288,4.850003242492676
cnn,cnn_s136_speed_p160_x0_y0,136,11.576544471907209,32.705642910761,5.322648525238037
cnn,cnn_s137_speed_p160_x0_y0,137,11.253368988825425,31.450244531919147,6.202611923217773
cnn,cnn_s138_speed_p160_x0_y0,138,10.744060690377022,31.542281133999335,6.55118465423584
cnn,cnn_s139_speed_p160_x0_y0,139,10.717372664385532,30.103016225177374,7.796177864074707
cnn,cnn_s140_speed_p160_x0_y0,140,11.21726290699533,31.194285837084532,8.54101276397705
cnn,cnn_s141_speed_p160_x0_y0,141,11.482327872674013,35.64582804781322,6.2118239402771
cnn,cnn_s142_speed_p160_x0_y0,142,11.81811490085694,39.40201570520756,7.050217151641846
cnn,cnn_s143_speed_p160_x0_y0,143,12.124277339575723,35.405181134671736,6.156033039093018
cnn,cnn_s144_speed_p160_x0_y0,144,12.259171115800367,33.276548889443305,5.705910682678223
cnn,cnn_s145_speed_p160_x0_y0,145,12.251122073778507,32.435718487070446,6.1010212898254395
cnn,cnn_s146_speed_p160_x0_y0,146,12.676969492112804,34.375638021404306,6.629636287689209
cnn,cnn_s147_speed_p160_x0_y0,147,13.204071879272387,34.62247541443747,6.244802951812744
cnn,cnn_s148_speed_p160_x0_y0,148,13.793153517999315,33.483799630764125,5.778331279754639
cnn,cnn_s149_speed_p160_x0_y0,149,13.992932493067382,32.64329194740052,7.873934268951416
cnn,cnn_s150_speed_p160_x0_y0,150,13.91965553689116,30.70249950977709,5.6295599937438965
cnn,cnn_s151_speed_p160_x0_y0,151,14.262565690527737,29.776702604996938,6.56955623626709
cnn,cnn_s152_speed_p160_x0_y0,152,14.42539216097384,28.55705310545637,7.303607940673828
cnn,cnn_s153_speed_p160_x0_y0,153,15.020680667811416,27.272026101955646,9.722848892211914
cnn,cnn_s154_speed_p160_x0_y0,154,14.989972746394626,25.6476226030454,11.71461296081543
cnn,cnn_s155_speed_p160_x0_y0,155,15.33743177569906,25.591091598786083,11.29028034210205
cnn,cnn_s156_speed_p160_x0_y0,156,15.654129685768599,27.64469011932638,8.228219032287598
cnn,cnn_s157_speed_p160_x0_y0,157,15.602557379924036,30.330327532167043,7.096986293792725
cnn,cnn_s158_speed_p160_x0_y0,158,16.54179830921338,32.5077510897309,6.292686939239502
cnn,cnn_s159_speed_p160_x0_y0,159,18.291036615536868,30.417815633556412,8.4534273147583
cnn,cnn_s160_speed_p160_x0_y0,160,19.139918901643085,28.548307407906815,8.535894393920898
cnn,cnn_s161_speed_p160_x0_y0,161,18.815777174377235,27.0836083489381,9.79428482055664
cnn,cnn_s162_speed_p160_x0_y0,162,18.95367952643998,26.716682661824084,5.3899617195129395
cnn,cnn_s163_speed_p160_x0_y0,163,18.877781299189046,27.85110760233586,6.036508560180664
cnn,cnn_s164_speed_p160_x0_y0,164,19.078997239644963,29.936231594018913,5.357566833496094
cnn,cnn_s165_speed_p160_x0_y0,165,18.829824383784267,31.75828742588738,6.0691375732421875
cnn,cnn_s166_speed_p160_x0_y0,166,17.513411684673617,32.033350354858115,8.542560577392578
cnn,cnn_s167_speed_p160_x0_y0,167,17.155481513049963,30.990816539487366,6.6002302169799805
gan,gan_s0_speed_p160_x0_y0,0,16.63540492660454,27.0071009905408,14.280324935913086
gan,gan_s1_speed_p160_x0_y0,1,16.600196718881783,27.76007731208354,12.978429794311523
gan,gan_s2_speed_p160_x0_y0,2,16.142385696970333,29.521783271831712,20.582368850708008
gan,gan_s3_speed_p160_x0_y0,3,15.982246880614397,30.333096698210074,15.906573295593262
gan,gan_s4_speed_p160_x0_y0,4,15.279473870823566,34.495908083416204,25.423465728759766
gan,gan_s5_speed_p160_x0_y0,5,15.154309368932566,37.788089419181674,15.969419479370117
gan,gan_s6_speed_p160_x0_y0,6,15.006218692366598,40.513298415414795,14.44342041015625
gan,gan_s7_speed_p160_x0_y0,7,14.341465553459663,42.88535204111022,23.979467391967773
gan,gan_s8_speed_p160_x0_y0,8,14.267807548448868,45.06864118880168,18.99154281616211
gan,gan_s9_speed_p160_x0_y0,9,13.919395095865099,41.72518685031415,16.328258514404297
gan,gan_s10_speed_p160_x0_y0,10,13.900042044030602,43.03561146689716,12.987634658813477
gan,gan_s11_speed_p160_x0_y0,11,13.557201576556633,41.61476887859988,21.606603622436523
gan,gan_s12_speed_p160_x0_y0,12,12.943740018227576,39.06903700148138,16.96802520751953
gan,gan_s13_speed_p160_x0_y0,13,11.573620178628637,38.61251382393233,18.11391258239746
gan,gan_s14_speed_p160_x0_y0,14,11.604368623985046,38.458271611625854,15.844478607177734
gan,gan_s15_speed_p160_x0_y0,15,11.746308158587926,36.75140799454055,15.863845825195312
gan,gan_s16_speed_p160_x0_y0,16,11.911568472328977,37.43079384587334,13.078662872314453
