method,mean_afc_l1_a1,mean_afc_l1_a5,mean_afc_l1_a10,mean_afc_l1_a25,mean_afc_l1_a50,mean_afc_l1_a100,mean_exceedance_l1,mean_branch_count_ae,mean_branch_count_gt_0p5_ae,mean_branch_count_gt_1_ae,mean_branch_count_gt_2_ae,mean_branch_count_gt_5_ae,mean_mean_persistence_ae,mean_median_persistence_ae,mean_max_persistence_ae,mean_total_persistence_ae,mean_top5_persistence_sum_ae,mean_persistence_entropy_ae
bicubic,8718.32142857143,4070.315476190476,2232.154761904762,779.5416666666666,316.26785714285717,132.75595238095238,0.3816783095238095,2807.4166666666665,1900.982142857143,976.9761904761905,396.26785714285717,63.285714285714285,0.11630278303482043,0.0821380468625778,3.763810173970428,3251.3816096292103,20.30226002763028,1.6907816254739079
cnn,6027.458333333333,2861.559523809524,1487.6785714285713,492.8154761904762,234.64285714285714,123.92857142857143,0.29712964285714283,1683.9166666666667,1371.3392857142858,720.4047619047619,277.0892857142857,40.625,0.1882379206090911,0.1765760087620317,2.023083158398159,2201.309788305336,7.674233759098099,0.7458225879605275
gan,4227.059523809524,1078.3869047619048,674.9702380952381,332.8452380952381,202.8095238095238,126.85714285714286,0.6852345714285715,2986.910714285714,1819.3988095238096,210.19642857142858,45.70238095238095,19.5,0.20842937627797747,0.11104626627647579,6.458929234615338,1949.8524186325787,19.57263182244255,0.6276804333153708
