case_group,n,mean_gan_ratio,median_gan_ratio,std_gan_ratio,mean_cnn_ratio,median_cnn_ratio
MT-CNN,148,1.8609118866902974,1.7783054169479455,0.4013177142640119,0.5235815570307049,0.5103108001703014
MT-GAN,20,1.9086112971946179,1.7145465260416508,0.4986306033679592,0.4714135306967825,0.46161527626461274
