sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_gan_cnn_metric_wins,cnn_gan_gan_metric_wins,cnn_gan_ties,baseline_bicubic_metric_wins,baseline_cnn_metric_wins,baseline_gan_metric_wins,baseline_metric_ties,crop_mae_bicubic,crop_mae_cnn,crop_mae_gan,crop_rmse_bicubic,crop_rmse_cnn,crop_rmse_gan,question,groups,crop_panel,full_panel,forced_reason,gt_branch_count,cnn_branch_count,gan_branch_count,bicubic_branch_count,cnn_branch_ratio,gan_branch_ratio,bicubic_branch_ratio,case_group,curated_group
10,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,4,2,9,0,1.1030041095067282,1.177795399388997,1.4473135197054945,1.5700035521269753,1.6088349491719454,2.011208439825494,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_010_crop.png,panels_full/sample_010_full.png,adjacent control before sample 12,3400.0,1688.0,7789.0,680.0,0.4964705882352941,2.2908823529411766,0.2,MT-CNN,cluster_10_13
11,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,5,10,0,3,2,10,0,1.1723113674065098,1.2071667232693288,1.5326959712352255,1.6493703383770717,1.6512969789818894,2.1573252496630926,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_011_crop.png,panels_full/sample_011_full.png,adjacent control before sample 12,3344.0,1851.0,8343.0,719.0,0.5535287081339713,2.4949162679425836,0.21501196172248804,MT-CNN,cluster_10_13
12,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,6,9,0,3,3,9,0,1.1900836851552594,1.248762923067552,1.5089403869432862,1.6635039597989114,1.6801355922147636,2.0883121564523663,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;gan_three_method_metric_majority;mt_gan_all;mt_gan_diagnostic;neartie_topology_validator_disagreement;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_012_crop.png,panels_full/sample_012_full.png,strong MT-GAN anchor,3426.0,1833.0,8749.0,703.0,0.5350262697022767,2.553706946876824,0.20519556333917105,MT-GAN,cluster_10_13
13,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,4,4,7,0,1.1648077590756294,1.223735226382705,1.573785601856507,1.635846882889627,1.653529185913471,2.1356538847284026,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;gan_three_method_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_013_crop.png,panels_full/sample_013_full.png,adjacent control after sample 12,3459.0,1795.0,9321.0,712.0,0.518936108701937,2.694709453599306,0.20583983810349812,MT-CNN,cluster_10_13
14,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,0,8,3,4,0,1.0858610390516696,1.1185239486195495,1.4266682481027966,1.5361926968542985,1.5214390698814044,1.9297611627533375,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_014_crop.png,panels_full/sample_014_full.png,,3503.0,1805.0,9440.0,695.0,0.5152726234656009,2.6948330002854695,0.19840137025406795,MT-CNN,
15,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,0,7,2,6,0,0.901278942701756,0.93538275164261,1.2401123883853142,1.315620749449918,1.2785869828362018,1.6983710898160236,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,bicubic_metric_majority;candidate_structural_hallucination_signature;cnn_consensus_core;direct_cnn;distributional_gan;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_gan,panels_crop/sample_015_crop.png,panels_full/sample_015_full.png,,3563.0,1648.0,10380.0,624.0,0.4625315745158574,2.9132753297782767,0.1751333146225091,MT-CNN,
16,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,0,8,4,3,0,0.7305345900187967,0.7618619297788246,1.0449013917805132,1.067705123425046,1.0496712137526245,1.4250977861087282,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_016_crop.png,panels_full/sample_016_full.png,moderate MT-GAN ridge-rich motif,3462.0,1616.0,10174.0,643.0,0.4667822068168689,2.9387637203928367,0.18573079145002888,MT-GAN,
17,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,0,6,4,5,0,0.6571704696514644,0.7053517705085688,0.9989972889321508,0.9383076052737742,0.94996176511745,1.350514240881158,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_017_crop.png,panels_full/sample_017_full.png,strong MT-GAN anchor,3465.0,1569.0,9919.0,608.0,0.45281385281385284,2.8626262626262626,0.17546897546897547,MT-GAN,
18,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,10,5,0,8,3,4,0,0.6040279599302448,0.6565235962043516,0.976349452350114,0.8703294624243257,0.880322635588449,1.3256472529123364,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_018_crop.png,panels_full/sample_018_full.png,moderate/lower MT-GAN ridge-rich motif,3544.0,1496.0,8712.0,594.0,0.4221218961625282,2.4582392776523703,0.16760722347629797,MT-GAN,
19,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,0,8,1,6,0,0.5986269973125309,0.6491521769249812,0.9981939713808242,0.8892237768298414,0.8932899715542589,1.361749355434966,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,bicubic_metric_majority;direct_cnn;distributional_gan;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_all;mt_gan_diagnostic;pd_gan_all;physics_cnn;psnr_cnn;ssim_cnn;tail_gan;topology_consensus_gan;topology_consensus_gan_all,panels_crop/sample_019_crop.png,panels_full/sample_019_full.png,strong MT-GAN anchor,3643.0,1644.0,7923.0,604.0,0.45127642053252814,2.174855888004392,0.16579741970903103,MT-GAN,
