sample_idx,pos_idx,pd_distance_candidateB_factorial_grad_levelset_expanded2688,mt_distance_candidateB_factorial_grad_levelset_expanded2688
0,0,22.844612993553156,5.447721481323242
1,1,22.963623296558538,5.0634565353393555
2,2,24.149508939070724,5.808832168579102
3,3,24.97583625466317,5.113016605377197
4,4,24.097061946226194,5.481220245361328
5,5,23.3608103657412,5.631610870361328
6,6,23.16175901786994,5.933834552764893
7,7,23.382269802294456,5.96998929977417
8,8,23.421078067970985,6.154544830322266
9,9,23.60727043082755,6.227619171142578
10,10,24.471454961915445,6.041162014007568
11,11,25.32484765107303,6.794475078582764
12,12,25.512395558449484,6.299301624298096
13,13,24.767431292314377,6.882763862609863
14,14,23.16072569053881,5.746088027954102
15,15,21.188138253144558,5.863873481750488
16,16,19.303689593184163,5.669372081756592
17,17,17.822601510827198,5.385493278503418
18,18,17.527493182866127,5.5411458015441895
19,19,18.18368453683515,5.671173572540283
20,20,20.464915668749942,6.437204360961914
21,21,25.46424130526114,8.922538757324219
22,22,30.72087376926842,7.168732166290283
23,23,30.842357357034857,8.08032512664795
24,24,31.36549528968762,7.760510444641113
25,25,32.45791317847149,7.294753551483154
26,26,33.33050605233134,7.201005935668945
27,27,33.43937415292748,6.718914031982422
28,28,33.175979332148266,8.386425971984863
29,29,33.052147820975044,7.157012462615967
30,30,31.55668984219554,7.7170939445495605
31,31,31.662109443757025,7.631629943847656
32,32,31.257350588895044,7.589086532592773
33,33,30.858715332501408,7.3272881507873535
34,34,30.298070114904164,7.107634544372559
35,35,29.4026207696997,6.889281749725342
36,36,29.345740211942342,6.686577320098877
37,37,27.986335388776006,6.3658928871154785
38,38,24.762762990877473,7.349580764770508
39,39,22.66290315611466,6.269974708557129
40,40,20.95773266209798,6.918882846832275
41,41,19.052107831561404,6.3424882888793945
42,42,16.908314916035806,5.96277379989624
43,43,16.016840234373877,6.378430366516113
44,44,15.43690631925832,6.179868698120117
45,45,15.806111346556849,6.152648448944092
46,46,15.21835291118115,5.631546974182129
47,47,15.55133365374602,7.395363807678223
48,48,16.236601684531482,6.95115327835083
49,49,16.331081344565415,6.455963134765625
50,50,15.867944492094857,6.4404449462890625
51,51,16.059684792736054,5.991276264190674
52,52,16.366102847135625,6.178934574127197
53,53,16.858891264759556,5.841076374053955
54,54,17.460193291507764,6.266629219055176
55,55,18.32436765720675,6.679429531097412
56,56,18.66527528351289,6.290558815002441
57,57,18.589928241702957,6.347087860107422
58,58,19.215033049339194,6.5932464599609375
59,59,19.79331557815286,6.137856960296631
60,60,20.093281322097397,5.750117778778076
61,61,20.583182519320868,5.967264652252197
62,62,21.081137452670443,7.049925327301025
63,63,21.94251354713909,7.139679908752441
64,64,19.319193106716572,5.932183265686035
65,65,17.193900848077185,5.913327693939209
66,66,16.00687977339858,5.558345317840576
67,67,15.076303766103422,5.471014022827148
68,68,15.92119029271141,5.464351654052734
69,69,17.98154176520059,5.3835625648498535
70,70,18.634215551276437,5.689796447753906
71,71,19.015860439029026,7.004916191101074
72,72,20.32223640489221,6.152359485626221
73,73,21.149578137825245,5.841282367706299
74,74,22.00164988705296,6.233644485473633
75,75,21.9745688660638,5.854305744171143
76,76,22.7378594162093,6.047101020812988
77,77,23.320181855654376,6.672428607940674
78,78,22.564878892549057,6.761198997497559
79,79,23.193252923238617,5.971253871917725
80,80,22.947895329159344,6.457751274108887
81,81,22.83983389633188,5.862247467041016
82,82,22.31009175643418,6.135095596313477
83,83,21.679837867143814,5.776301860809326
84,84,22.61049054213906,6.090165615081787
85,85,22.14898579140455,5.913051128387451
86,86,22.384864269628302,6.0324273109436035
87,87,23.535677257550635,7.058825969696045
88,88,21.899261752602317,6.782655239105225
89,89,19.52507074667463,6.404329776763916
90,90,17.63693841695551,5.659523010253906
91,91,17.22434023589004,5.920627117156982
92,92,18.015872226874993,5.944617748260498
93,93,21.638223679899095,7.4990057945251465
94,94,23.621087325310064,6.261029243469238
95,95,24.07884037574577,7.150087356567383
96,96,24.20512823154027,6.350131988525391
97,97,24.94793892010966,5.7139997482299805
98,98,24.881188273579575,5.399528503417969
99,99,24.69527674187326,5.869194984436035
100,100,24.02662718935566,6.060978889465332
101,101,23.874259760823282,5.816180229187012
102,102,22.901139556806505,5.818483829498291
