sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_tf_lowlambda_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_tf_lowlambda_expanded2688,pd_winner_before,pd_winner_after_candidateE2_tf_lowlambda_expanded2688,mt_winner_before,mt_winner_after_candidateE2_tf_lowlambda_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,23.429263497256304,5.051645278930664,9.748218536376953,5.047391891479492,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
1,1,24.612518312283534,22.38874396250744,22.765231175098496,4.678010940551758,11.978342056274414,5.4965128898620605,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,23.752693420620172,4.894824504852295,8.343221664428711,5.159364700317383,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,23.736075738498933,4.794641017913818,9.753995895385742,4.64536190032959,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
4,4,24.810879874900778,22.91065989660919,23.41747092278872,4.892229080200195,8.064751625061035,5.091242790222168,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,24.73048356072962,5.628478050231934,6.406379699707031,5.507656097412109,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
6,6,28.068979766562435,24.045087776300683,26.043414208071557,6.144000053405762,6.0106329917907715,5.502525806427002,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
7,7,29.26973016135952,22.553824952557566,26.447290047217802,5.672351837158203,7.113770008087158,5.932281970977783,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,26.60246423499183,7.50956392288208,6.055016040802002,5.9761810302734375,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
9,9,28.65602837253281,23.481609150211327,25.497483823665583,5.768454551696777,6.291722297668457,5.089967727661133,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
10,10,29.696969860459554,24.710016041893063,25.733571378179022,6.634506702423096,7.423793315887451,5.694908142089844,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
11,11,28.68732565326105,24.969867761946066,24.602616862540337,5.910721302032471,7.831723690032959,6.225632667541504,gan,candidateE2_tf_lowlambda_expanded2688,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,25.94714899239226,6.61636209487915,5.913707256317139,6.1600446701049805,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,25.879452548821497,6.0738348960876465,7.402252674102783,6.463814735412598,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,24.67509217257692,5.448930263519287,5.877835750579834,5.52125358581543,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,22.869885706461957,5.097294807434082,5.86716890335083,5.237496852874756,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,20.72213987443465,5.464188098907471,5.255205154418945,4.531741619110107,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
17,17,20.900376556174706,17.11808749868573,18.70972381193442,5.2896833419799805,4.8487091064453125,4.150252819061279,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
18,18,20.394905033940507,18.610240875886223,18.083484148877275,6.258571624755859,5.554356575012207,4.822113037109375,gan,candidateE2_tf_lowlambda_expanded2688,gan,candidateE2_tf_lowlambda_expanded2688,1
19,19,21.064082150885508,19.086676411603058,17.716884339887297,6.927988529205322,5.44291353225708,4.915174961090088,gan,candidateE2_tf_lowlambda_expanded2688,gan,candidateE2_tf_lowlambda_expanded2688,1
20,20,21.97923655969375,18.266315468004898,19.27120800646695,6.254051208496094,5.689126491546631,5.307161331176758,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
21,21,27.30086406645334,21.732522780594586,23.34281319127231,8.127616882324219,10.817054748535156,7.500369071960449,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
22,22,32.693467082501115,26.801086541907566,28.924158069623225,8.081520080566406,8.346701622009277,6.2480950355529785,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
23,23,34.476953302920876,29.144574221491347,30.588817945285133,6.907674789428711,8.497876167297363,6.362009048461914,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
24,24,35.75728371567695,29.65320138308241,31.531908800646946,7.21915864944458,12.067601203918457,5.875275135040283,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
25,25,36.58411526021696,30.123491475362258,32.31919444357942,11.371563911437988,10.501462936401367,7.102560997009277,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
26,26,35.02599363200026,30.779316467464,30.902893172387046,7.043282985687256,11.28821849822998,7.542874336242676,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,32.57350210882947,6.4783101081848145,19.968429565429688,6.423555374145508,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
28,28,38.33189346230645,30.74946233279523,33.49053397942675,7.210402011871338,14.947399139404297,7.67952823638916,gan,gan,cnn,cnn,0
