sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateD,mt_distance_cnn,mt_distance_gan,mt_distance_candidateD,pd_winner_before,pd_winner_after_candidateD,mt_winner_before,mt_winner_after_candidateD,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,24.683676119567686,5.051645278930664,9.748218536376953,4.993719100952148,gan,gan,cnn,candidateD,0
1,1,24.612518312283534,22.38874396250744,25.013869556598475,4.678010940551758,11.978342056274414,4.859660625457764,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,25.625421846009573,4.894824504852295,8.343221664428711,5.102643013000488,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,25.40025443992772,4.794641017913818,9.753995895385742,4.9215803146362305,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,25.214231739231714,4.892229080200195,8.064751625061035,4.6995158195495605,gan,gan,cnn,candidateD,0
5,5,27.01852197077857,22.503507148952195,27.604608463896533,5.628478050231934,6.406379699707031,5.201260089874268,gan,gan,cnn,candidateD,0
6,6,28.068979766562435,24.045087776300683,28.59001940466483,6.144000053405762,6.0106329917907715,6.272060871124268,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,29.788104806108887,5.672351837158203,7.113770008087158,5.618860721588135,gan,gan,cnn,candidateD,0
8,8,29.63505050414828,23.282081530392528,30.130598646339482,7.50956392288208,6.055016040802002,7.558262825012207,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,29.402522311124386,5.768454551696777,6.291722297668457,5.75026798248291,gan,gan,cnn,candidateD,0
10,10,29.696969860459554,24.710016041893063,30.47240511186248,6.634506702423096,7.423793315887451,6.824599266052246,gan,gan,cnn,cnn,0
11,11,28.68732565326105,24.969867761946066,29.645172112987904,5.910721302032471,7.831723690032959,5.8404622077941895,gan,gan,cnn,candidateD,0
12,12,30.104522332856273,24.220613253945245,31.126058913726784,6.61636209487915,5.913707256317139,6.9601335525512695,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.018923304864412,6.0738348960876465,7.402252674102783,6.43726110458374,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.054080433402845,5.448930263519287,5.877835750579834,5.833683013916016,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,27.15264144617979,5.097294807434082,5.86716890335083,5.410351276397705,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.336207554963806,5.464188098907471,5.255205154418945,6.249549388885498,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,21.561953888748825,5.2896833419799805,4.8487091064453125,5.410549163818359,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,21.194063610024017,6.258571624755859,5.554356575012207,6.2932610511779785,gan,gan,gan,gan,1
19,19,21.064082150885508,19.086676411603058,21.66998695928854,6.927988529205322,5.44291353225708,7.106877326965332,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,22.79511012798918,6.254051208496094,5.689126491546631,6.733123779296875,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,28.033612888543633,8.127616882324219,10.817054748535156,8.598785400390625,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,33.8995923102004,8.081520080566406,8.346701622009277,9.05135726928711,gan,gan,cnn,cnn,0
23,23,34.476953302920876,29.144574221491347,36.128303269345096,6.907674789428711,8.497876167297363,7.048437595367432,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,37.017541996581315,7.21915864944458,12.067601203918457,5.711915016174316,gan,gan,cnn,candidateD,0
25,25,36.58411526021696,30.123491475362258,38.06496219681081,11.371563911437988,10.501462936401367,8.364904403686523,gan,gan,gan,candidateD,1
26,26,35.02599363200026,30.779316467464,37.28768970968761,7.043282985687256,11.28821849822998,6.16387939453125,gan,gan,cnn,candidateD,0
27,27,36.89696946573002,30.945378681968467,38.546975988071054,6.4783101081848145,19.968429565429688,6.288473606109619,gan,gan,cnn,candidateD,0
28,28,38.33189346230645,30.74946233279523,40.42102214958224,7.210402011871338,14.947399139404297,7.248331546783447,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,40.67705102469784,6.963974952697754,12.864243507385254,6.749011039733887,gan,gan,cnn,candidateD,0
30,30,39.94080457344863,30.82310921065586,41.34801210659558,8.127463340759277,14.847400665283203,6.999675750732422,gan,gan,cnn,candidateD,0
31,31,39.104318483733294,31.3053599336416,40.324656644795546,6.818642616271973,16.23410415649414,6.699580669403076,gan,gan,cnn,candidateD,0
32,32,38.55925876668554,30.547158977309156,39.65670968523376,7.461033821105957,19.229158401489258,6.555086612701416,gan,gan,cnn,candidateD,0
33,33,38.39305861348763,30.400139282712473,39.38337448592664,6.76971960067749,20.00556755065918,6.450032711029053,gan,gan,cnn,candidateD,0
34,34,37.356416104450325,28.907547601520903,38.44178378018248,6.323113918304443,19.445999145507812,6.348249435424805,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,37.234453359989395,6.2719197273254395,14.435929298400879,7.251054286956787,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,36.66071229653341,6.097905158996582,9.26945686340332,5.955441474914551,gan,gan,cnn,candidateD,0
37,37,33.456602216246914,27.16364872656993,34.62518733350163,6.489102840423584,9.59257698059082,6.363098621368408,gan,gan,cnn,candidateD,0
38,38,29.159912858159764,23.780350003542182,30.235757269393044,6.054014682769775,7.416414260864258,6.728809356689453,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,26.386583639782916,5.873856067657471,8.546488761901855,6.2263689041137695,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,25.112026689129653,5.6310811042785645,8.988521575927734,6.19581937789917,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,23.93500323002125,5.389686584472656,8.901470184326172,5.452854633331299,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,22.183505553875854,5.757840156555176,7.383090972900391,5.902088642120361,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,21.205165574503813,5.7682366371154785,7.053122520446777,6.193686008453369,gan,gan,cnn,cnn,0
