sample_idx,pos_idx,pd_distance_candidateD,mt_distance_candidateD
0,0,24.683676119567686,4.993719100952148
1,1,25.013869556598475,4.859660625457764
2,2,25.625421846009573,5.102643013000488
3,3,25.40025443992772,4.9215803146362305
4,4,25.214231739231714,4.6995158195495605
5,5,27.604608463896533,5.201260089874268
6,6,28.59001940466483,6.272060871124268
7,7,29.788104806108887,5.618860721588135
8,8,30.130598646339482,7.558262825012207
9,9,29.402522311124386,5.75026798248291
10,10,30.47240511186248,6.824599266052246
11,11,29.645172112987904,5.8404622077941895
12,12,31.126058913726784,6.9601335525512695
13,13,30.018923304864412,6.43726110458374
14,14,29.054080433402845,5.833683013916016
15,15,27.15264144617979,5.410351276397705
16,16,24.336207554963806,6.249549388885498
17,17,21.561953888748825,5.410549163818359
18,18,21.194063610024017,6.2932610511779785
19,19,21.66998695928854,7.106877326965332
20,20,22.79511012798918,6.733123779296875
21,21,28.033612888543633,8.598785400390625
22,22,33.8995923102004,9.05135726928711
23,23,36.128303269345096,7.048437595367432
24,24,37.017541996581315,5.711915016174316
25,25,38.06496219681081,8.364904403686523
26,26,37.28768970968761,6.16387939453125
27,27,38.546975988071054,6.288473606109619
28,28,40.42102214958224,7.248331546783447
29,29,40.67705102469784,6.749011039733887
30,30,41.34801210659558,6.999675750732422
31,31,40.324656644795546,6.699580669403076
32,32,39.65670968523376,6.555086612701416
33,33,39.38337448592664,6.450032711029053
34,34,38.44178378018248,6.348249435424805
35,35,37.234453359989395,7.251054286956787
36,36,36.66071229653341,5.955441474914551
37,37,34.62518733350163,6.363098621368408
38,38,30.235757269393044,6.728809356689453
39,39,26.386583639782916,6.2263689041137695
40,40,25.112026689129653,6.19581937789917
41,41,23.93500323002125,5.452854633331299
42,42,22.183505553875854,5.902088642120361
43,43,21.205165574503813,6.193686008453369
44,44,20.1778209420181,6.259528636932373
45,45,20.886143218772414,6.63770866394043
46,46,20.92952646154847,6.354715824127197
47,47,22.264081823831223,6.7205119132995605
48,48,23.023896833129324,6.867316246032715
49,49,22.2313671896807,6.401855945587158
50,50,21.376209885298543,6.229093074798584
51,51,21.878813538697017,5.926638126373291
52,52,21.985877501299314,6.003242015838623
53,53,22.075242463537744,5.408286094665527
54,54,23.07085917475216,5.410667896270752
55,55,23.66741810432513,5.299576282501221
56,56,24.35818973390092,5.478139877319336
57,57,25.099936859376182,5.600074291229248
58,58,25.700090167127655,6.102797985076904
59,59,25.973667063784593,5.574570655822754
60,60,26.09936489513099,5.7505364418029785
61,61,25.943515544157137,5.5679030418396
62,62,27.783816024237822,7.207589149475098
63,63,28.74116924528474,7.917211532592773
64,64,24.897492320722808,6.3195672035217285
65,65,22.31861482502216,6.001008987426758
66,66,21.145305306970084,6.030040264129639
67,67,20.850432938509055,5.216370582580566
68,68,21.87574408829209,6.29573917388916
69,69,24.364962913774,5.315564155578613
70,70,24.825053543428385,5.4847211837768555
71,71,25.686927827726468,5.100529193878174
72,72,26.683792839948396,4.79793119430542
73,73,27.256452095489852,5.158023357391357
74,74,28.534208909446978,4.760918617248535
75,75,29.617540775795643,5.349309921264648
76,76,30.26557998896734,5.128310680389404
77,77,30.104775163417578,6.2968244552612305
78,78,30.51692982320402,6.185905933380127
79,79,30.467377652541575,7.180534839630127
80,80,30.34637302570851,6.804316997528076
81,81,30.067551852894734,6.612782955169678
82,82,29.35525766516915,7.470659255981445
83,83,28.605550459552628,6.569584846496582
84,84,29.38266509009162,5.966691493988037
85,85,29.070393192810574,5.652921199798584
86,86,29.456815347936203,5.405740737915039
87,87,29.934729390631052,6.527225017547607
88,88,26.632802366589686,6.431753635406494
89,89,24.469791010283846,5.891345977783203
90,90,22.372955304857392,5.365381240844727
91,91,22.492391248669193,5.499297618865967
92,92,22.236227198503776,5.705080032348633
93,93,24.63742053413656,6.546806335449219
94,94,24.820733424554636,5.085129737854004
95,95,27.068025478264715,5.005398273468018
96,96,29.18252357081537,5.165383338928223
97,97,30.451393814651475,4.97208833694458
98,98,31.532428678196847,4.9733147621154785
99,99,31.142603558258635,5.44252872467041
100,100,31.388199852379863,5.829706192016602
101,101,30.624288989654467,5.4021315574646
102,102,29.461217508148987,5.250206470489502
103,103,29.77834363494502,5.222558975219727
104,104,29.40886784406181,4.97959041595459
105,105,29.58547305093652,5.304689884185791
106,106,30.250234638587145,5.87253475189209
107,107,29.7817944925173,5.6337761878967285
108,108,29.127502658225698,5.772404193878174
109,109,29.102238176616535,5.133578777313232
110,110,29.626208356245282,5.855480670928955
111,111,28.302984026496482,5.561340808868408
112,112,27.702485233834498,5.669870853424072
113,113,26.22320476083456,5.491698265075684
114,114,24.756100413311902,4.992011547088623
115,115,25.482488206747124,4.662165641784668
116,116,25.34002999372419,5.2964887619018555
117,117,27.3961422319389,5.356403827667236
118,118,28.287528153366956,6.324983596801758
119,119,27.493727287927513,5.211075305938721
120,120,28.38366964413251,4.913846969604492
121,121,29.33316583946583,5.412436485290527
122,122,28.205828282390396,5.51861572265625
123,123,29.356296664259194,6.227258205413818
124,124,28.554149912386013,6.097352027893066
125,125,28.88561766864233,5.831838607788086
126,126,28.49348550064688,5.118622779846191
127,127,30.528324249738446,5.359185695648193
128,128,29.203626115390442,5.795632362365723
129,129,30.571620255134047,5.665956020355225
130,130,31.168854641061355,6.481670379638672
131,131,33.93648499484935,7.060608386993408
132,132,35.037342165795934,7.726917743682861
133,133,35.50707705098488,8.077369689941406
134,134,33.43201174243943,7.449225425720215
135,135,31.04845450512067,7.415248870849609
