sample_idx,method,npy_file,vmin,vmax
10,gt,gt_speed.npy,0.02384880557656288,29.153581619262695
10,cnn,cnn_speed.npy,0.02384880557656288,29.153581619262695
10,gan,gan_speed.npy,0.02384880557656288,29.153581619262695
11,gt,gt_speed.npy,0.04427998885512352,28.116806030273438
11,cnn,cnn_speed.npy,0.04427998885512352,28.116806030273438
11,gan,gan_speed.npy,0.04427998885512352,28.116806030273438
12,gt,gt_speed.npy,0.021782048046588898,26.680160522460938
12,cnn,cnn_speed.npy,0.021782048046588898,26.680160522460938
12,gan,gan_speed.npy,0.021782048046588898,26.680160522460938
13,gt,gt_speed.npy,0.012232118286192417,26.523290634155273
13,cnn,cnn_speed.npy,0.012232118286192417,26.523290634155273
13,gan,gan_speed.npy,0.012232118286192417,26.523290634155273
76,gt,gt_speed.npy,0.01214530784636736,28.618927001953125
76,cnn,cnn_speed.npy,0.01214530784636736,28.618927001953125
76,gan,gan_speed.npy,0.01214530784636736,28.618927001953125
77,gt,gt_speed.npy,0.013902927748858929,26.56633949279785
77,cnn,cnn_speed.npy,0.013902927748858929,26.56633949279785
77,gan,gan_speed.npy,0.013902927748858929,26.56633949279785
78,gt,gt_speed.npy,0.010403027758002281,29.540952682495117
78,cnn,cnn_speed.npy,0.010403027758002281,29.540952682495117
78,gan,gan_speed.npy,0.010403027758002281,29.540952682495117
90,gt,gt_speed.npy,0.044612932950258255,26.805768966674805
90,cnn,cnn_speed.npy,0.044612932950258255,26.805768966674805
90,gan,gan_speed.npy,0.044612932950258255,26.805768966674805
91,gt,gt_speed.npy,0.02877900004386902,22.243242263793945
91,cnn,cnn_speed.npy,0.02877900004386902,22.243242263793945
91,gan,gan_speed.npy,0.02877900004386902,22.243242263793945
92,gt,gt_speed.npy,0.038534510880708694,23.276514053344727
92,cnn,cnn_speed.npy,0.038534510880708694,23.276514053344727
92,gan,gan_speed.npy,0.038534510880708694,23.276514053344727
93,gt,gt_speed.npy,0.06226319074630737,25.631303787231445
93,cnn,cnn_speed.npy,0.06226319074630737,25.631303787231445
93,gan,gan_speed.npy,0.06226319074630737,25.631303787231445
162,gt,gt_speed.npy,0.010153238661587238,28.50785255432129
162,cnn,cnn_speed.npy,0.010153238661587238,28.50785255432129
162,gan,gan_speed.npy,0.010153238661587238,28.50785255432129
163,gt,gt_speed.npy,0.009923640638589859,25.295272827148438
163,cnn,cnn_speed.npy,0.009923640638589859,25.295272827148438
163,gan,gan_speed.npy,0.009923640638589859,25.295272827148438
