sample_idx,archetype_id,agreement_rate,disagreement_rate,tie_or_undefined_count,method_pair_count,pd_mt_cross_method_pearson,pd_mt_cross_method_spearman
19,global_descriptor_agreement,0.7647058823529411,0.23529411764705882,0,153,0.5855462563591763,0.7440660474716202
25,f2_balanced_vs_cnn,0.39869281045751637,0.6013071895424836,0,153,-0.08517120982443477,-0.2590299277605779
30,candidate_c_continuity,0.3006535947712418,0.6993464052287581,0,153,-0.42459518292499476,-0.6388028895768834
34,gan_pd_vs_cnn_mt_conflict,0.5163398692810458,0.48366013071895425,0,153,-0.29899557359858214,0.07327141382868937
119,f3_pd_vs_uv_e2_mt_tradeoff,0.3790849673202614,0.6209150326797386,0,153,-0.05351002468077969,-0.3828689370485036
120,global_descriptor_disagreement,0.16339869281045752,0.8366013071895425,0,153,-0.6744368813934177,-0.8183694530443757
