sample_idx,archetype_id,method_a,method_b,pd_value_a,pd_value_b,mt_value_a,mt_value_b,pd_preferred,mt_preferred,descriptors_agree
34,gan_pd_vs_cnn_mt_conflict,f2_grad_levelset_e2,uv_e2,32.727374592552216,33.99219963700051,6.281839847564697,6.365128517150879,f2_grad_levelset_e2,f2_grad_levelset_e2,True
119,f3_pd_vs_uv_e2_mt_tradeoff,cnn,gan,27.187847892928154,20.557132674744736,5.218785285949707,6.129123687744141,gan,cnn,False
119,f3_pd_vs_uv_e2_mt_tradeoff,cnn,candidate_c,27.187847892928154,23.101579193576615,5.218785285949707,6.261286735534668,candidate_c,cnn,False
119,f3_pd_vs_uv_e2_mt_tradeoff,cnn,f3_grad_crit,27.187847892928154,23.0242340267416,5.218785285949707,6.517436504364014,f3_grad_crit,cnn,False
119,f3_pd_vs_uv_e2_mt_tradeoff,cnn,f2_grad_levelset_e2,27.187847892928154,24.8848986709167,5.218785285949707,4.998507022857666,f2_grad_levelset_e2,f2_grad_levelset_e2,True
119,f3_pd_vs_uv_e2_mt_tradeoff,cnn,uv_e2,27.187847892928154,27.082477586130135,5.218785285949707,4.846616268157959,uv_e2,uv_e2,True
119,f3_pd_vs_uv_e2_mt_tradeoff,gan,candidate_c,20.557132674744736,23.101579193576615,6.129123687744141,6.261286735534668,gan,gan,True
119,f3_pd_vs_uv_e2_mt_tradeoff,gan,f3_grad_crit,20.557132674744736,23.0242340267416,6.129123687744141,6.517436504364014,gan,gan,True
119,f3_pd_vs_uv_e2_mt_tradeoff,gan,f2_grad_levelset_e2,20.557132674744736,24.8848986709167,6.129123687744141,4.998507022857666,gan,f2_grad_levelset_e2,False
119,f3_pd_vs_uv_e2_mt_tradeoff,gan,uv_e2,20.557132674744736,27.082477586130135,6.129123687744141,4.846616268157959,gan,uv_e2,False
119,f3_pd_vs_uv_e2_mt_tradeoff,candidate_c,f3_grad_crit,23.101579193576615,23.0242340267416,6.261286735534668,6.517436504364014,f3_grad_crit,candidate_c,False
119,f3_pd_vs_uv_e2_mt_tradeoff,candidate_c,f2_grad_levelset_e2,23.101579193576615,24.8848986709167,6.261286735534668,4.998507022857666,candidate_c,f2_grad_levelset_e2,False
119,f3_pd_vs_uv_e2_mt_tradeoff,candidate_c,uv_e2,23.101579193576615,27.082477586130135,6.261286735534668,4.846616268157959,candidate_c,uv_e2,False
119,f3_pd_vs_uv_e2_mt_tradeoff,f3_grad_crit,f2_grad_levelset_e2,23.0242340267416,24.8848986709167,6.517436504364014,4.998507022857666,f3_grad_crit,f2_grad_levelset_e2,False
119,f3_pd_vs_uv_e2_mt_tradeoff,f3_grad_crit,uv_e2,23.0242340267416,27.082477586130135,6.517436504364014,4.846616268157959,f3_grad_crit,uv_e2,False
119,f3_pd_vs_uv_e2_mt_tradeoff,f2_grad_levelset_e2,uv_e2,24.8848986709167,27.082477586130135,4.998507022857666,4.846616268157959,f2_grad_levelset_e2,uv_e2,False
25,f2_balanced_vs_cnn,cnn,gan,36.58411526021696,30.123491475362258,11.371563911437988,10.501462936401367,gan,gan,True
25,f2_balanced_vs_cnn,cnn,candidate_c,36.58411526021696,30.79463043390562,11.371563911437988,7.462067127227783,candidate_c,candidate_c,True
25,f2_balanced_vs_cnn,cnn,f3_grad_crit,36.58411526021696,29.50728131352373,11.371563911437988,7.237429618835449,f3_grad_crit,f3_grad_crit,True
25,f2_balanced_vs_cnn,cnn,f2_grad_levelset_e2,36.58411526021696,31.47802758743707,11.371563911437988,6.638813018798828,f2_grad_levelset_e2,f2_grad_levelset_e2,True
25,f2_balanced_vs_cnn,cnn,uv_e2,36.58411526021696,33.40366081902407,11.371563911437988,7.113855361938477,uv_e2,uv_e2,True
25,f2_balanced_vs_cnn,gan,candidate_c,30.123491475362258,30.79463043390562,10.501462936401367,7.462067127227783,gan,candidate_c,False
25,f2_balanced_vs_cnn,gan,f3_grad_crit,30.123491475362258,29.50728131352373,10.501462936401367,7.237429618835449,f3_grad_crit,f3_grad_crit,True
25,f2_balanced_vs_cnn,gan,f2_grad_levelset_e2,30.123491475362258,31.47802758743707,10.501462936401367,6.638813018798828,gan,f2_grad_levelset_e2,False
25,f2_balanced_vs_cnn,gan,uv_e2,30.123491475362258,33.40366081902407,10.501462936401367,7.113855361938477,gan,uv_e2,False
25,f2_balanced_vs_cnn,candidate_c,f3_grad_crit,30.79463043390562,29.50728131352373,7.462067127227783,7.237429618835449,f3_grad_crit,f3_grad_crit,True
25,f2_balanced_vs_cnn,candidate_c,f2_grad_levelset_e2,30.79463043390562,31.47802758743707,7.462067127227783,6.638813018798828,candidate_c,f2_grad_levelset_e2,False
25,f2_balanced_vs_cnn,candidate_c,uv_e2,30.79463043390562,33.40366081902407,7.462067127227783,7.113855361938477,candidate_c,uv_e2,False
25,f2_balanced_vs_cnn,f3_grad_crit,f2_grad_levelset_e2,29.50728131352373,31.47802758743707,7.237429618835449,6.638813018798828,f3_grad_crit,f2_grad_levelset_e2,False
25,f2_balanced_vs_cnn,f3_grad_crit,uv_e2,29.50728131352373,33.40366081902407,7.237429618835449,7.113855361938477,f3_grad_crit,uv_e2,False
25,f2_balanced_vs_cnn,f2_grad_levelset_e2,uv_e2,31.47802758743707,33.40366081902407,6.638813018798828,7.113855361938477,f2_grad_levelset_e2,f2_grad_levelset_e2,True
30,candidate_c_continuity,cnn,gan,39.94080457344863,30.82310921065586,8.127463340759277,14.847400665283203,gan,cnn,False
30,candidate_c_continuity,cnn,candidate_c,39.94080457344863,33.01752214907643,8.127463340759277,7.606713771820068,candidate_c,candidate_c,True
30,candidate_c_continuity,cnn,f3_grad_crit,39.94080457344863,31.121675049918974,8.127463340759277,7.461552143096924,f3_grad_crit,f3_grad_crit,True
30,candidate_c_continuity,cnn,f2_grad_levelset_e2,39.94080457344863,34.99560999047232,8.127463340759277,7.499512672424316,f2_grad_levelset_e2,f2_grad_levelset_e2,True
30,candidate_c_continuity,cnn,uv_e2,39.94080457344863,36.219899946871266,8.127463340759277,7.603498935699463,uv_e2,uv_e2,True
30,candidate_c_continuity,gan,candidate_c,30.82310921065586,33.01752214907643,14.847400665283203,7.606713771820068,gan,candidate_c,False
30,candidate_c_continuity,gan,f3_grad_crit,30.82310921065586,31.121675049918974,14.847400665283203,7.461552143096924,gan,f3_grad_crit,False
30,candidate_c_continuity,gan,f2_grad_levelset_e2,30.82310921065586,34.99560999047232,14.847400665283203,7.499512672424316,gan,f2_grad_levelset_e2,False
30,candidate_c_continuity,gan,uv_e2,30.82310921065586,36.219899946871266,14.847400665283203,7.603498935699463,gan,uv_e2,False
30,candidate_c_continuity,candidate_c,f3_grad_crit,33.01752214907643,31.121675049918974,7.606713771820068,7.461552143096924,f3_grad_crit,f3_grad_crit,True
30,candidate_c_continuity,candidate_c,f2_grad_levelset_e2,33.01752214907643,34.99560999047232,7.606713771820068,7.499512672424316,candidate_c,f2_grad_levelset_e2,False
30,candidate_c_continuity,candidate_c,uv_e2,33.01752214907643,36.219899946871266,7.606713771820068,7.603498935699463,candidate_c,uv_e2,False
30,candidate_c_continuity,f3_grad_crit,f2_grad_levelset_e2,31.121675049918974,34.99560999047232,7.461552143096924,7.499512672424316,f3_grad_crit,f3_grad_crit,True
30,candidate_c_continuity,f3_grad_crit,uv_e2,31.121675049918974,36.219899946871266,7.461552143096924,7.603498935699463,f3_grad_crit,f3_grad_crit,True
30,candidate_c_continuity,f2_grad_levelset_e2,uv_e2,34.99560999047232,36.219899946871266,7.499512672424316,7.603498935699463,f2_grad_levelset_e2,f2_grad_levelset_e2,True
19,global_descriptor_agreement,cnn,gan,21.064082150885508,19.086676411603058,6.927988529205322,5.44291353225708,gan,gan,True
19,global_descriptor_agreement,cnn,candidate_c,21.064082150885508,16.016108124696995,6.927988529205322,5.499355316162109,candidate_c,candidate_c,True
19,global_descriptor_agreement,cnn,f3_grad_crit,21.064082150885508,15.602691113736803,6.927988529205322,5.240671634674072,f3_grad_crit,f3_grad_crit,True
19,global_descriptor_agreement,cnn,f2_grad_levelset_e2,21.064082150885508,17.514434581248214,6.927988529205322,5.312305450439453,f2_grad_levelset_e2,f2_grad_levelset_e2,True
19,global_descriptor_agreement,cnn,uv_e2,21.064082150885508,19.061113364976354,6.927988529205322,4.987339973449707,uv_e2,uv_e2,True
19,global_descriptor_agreement,gan,candidate_c,19.086676411603058,16.016108124696995,5.44291353225708,5.499355316162109,candidate_c,gan,False
19,global_descriptor_agreement,gan,f3_grad_crit,19.086676411603058,15.602691113736803,5.44291353225708,5.240671634674072,f3_grad_crit,f3_grad_crit,True
19,global_descriptor_agreement,gan,f2_grad_levelset_e2,19.086676411603058,17.514434581248214,5.44291353225708,5.312305450439453,f2_grad_levelset_e2,f2_grad_levelset_e2,True
19,global_descriptor_agreement,gan,uv_e2,19.086676411603058,19.061113364976354,5.44291353225708,4.987339973449707,uv_e2,uv_e2,True
19,global_descriptor_agreement,candidate_c,f3_grad_crit,16.016108124696995,15.602691113736803,5.499355316162109,5.240671634674072,f3_grad_crit,f3_grad_crit,True
19,global_descriptor_agreement,candidate_c,f2_grad_levelset_e2,16.016108124696995,17.514434581248214,5.499355316162109,5.312305450439453,candidate_c,f2_grad_levelset_e2,False
19,global_descriptor_agreement,candidate_c,uv_e2,16.016108124696995,19.061113364976354,5.499355316162109,4.987339973449707,candidate_c,uv_e2,False
19,global_descriptor_agreement,f3_grad_crit,f2_grad_levelset_e2,15.602691113736803,17.514434581248214,5.240671634674072,5.312305450439453,f3_grad_crit,f3_grad_crit,True
19,global_descriptor_agreement,f3_grad_crit,uv_e2,15.602691113736803,19.061113364976354,5.240671634674072,4.987339973449707,f3_grad_crit,uv_e2,False
19,global_descriptor_agreement,f2_grad_levelset_e2,uv_e2,17.514434581248214,19.061113364976354,5.312305450439453,4.987339973449707,f2_grad_levelset_e2,uv_e2,False
