sample_idx,archetype_id,method_a,method_b,pd_value_a,pd_value_b,mt_value_a,mt_value_b,pd_preferred,mt_preferred,descriptors_agree
120,global_descriptor_disagreement,cnn,gan,28.146732976702577,21.528863701574615,4.889072418212891,7.93386173248291,gan,cnn,False
120,global_descriptor_disagreement,cnn,candidate_c,28.146732976702577,23.321928109050795,4.889072418212891,6.271120071411133,candidate_c,cnn,False
120,global_descriptor_disagreement,cnn,f3_grad_crit,28.146732976702577,23.301101241214702,4.889072418212891,6.621406078338623,f3_grad_crit,cnn,False
120,global_descriptor_disagreement,cnn,f2_grad_levelset_e2,28.146732976702577,24.377418829895184,4.889072418212891,5.618589878082275,f2_grad_levelset_e2,cnn,False
120,global_descriptor_disagreement,cnn,uv_e2,28.146732976702577,26.42369467502354,4.889072418212891,5.123105049133301,uv_e2,cnn,False
120,global_descriptor_disagreement,gan,candidate_c,21.528863701574615,23.321928109050795,7.93386173248291,6.271120071411133,gan,candidate_c,False
120,global_descriptor_disagreement,gan,f3_grad_crit,21.528863701574615,23.301101241214702,7.93386173248291,6.621406078338623,gan,f3_grad_crit,False
120,global_descriptor_disagreement,gan,f2_grad_levelset_e2,21.528863701574615,24.377418829895184,7.93386173248291,5.618589878082275,gan,f2_grad_levelset_e2,False
120,global_descriptor_disagreement,gan,uv_e2,21.528863701574615,26.42369467502354,7.93386173248291,5.123105049133301,gan,uv_e2,False
120,global_descriptor_disagreement,candidate_c,f3_grad_crit,23.321928109050795,23.301101241214702,6.271120071411133,6.621406078338623,f3_grad_crit,candidate_c,False
120,global_descriptor_disagreement,candidate_c,f2_grad_levelset_e2,23.321928109050795,24.377418829895184,6.271120071411133,5.618589878082275,candidate_c,f2_grad_levelset_e2,False
120,global_descriptor_disagreement,candidate_c,uv_e2,23.321928109050795,26.42369467502354,6.271120071411133,5.123105049133301,candidate_c,uv_e2,False
120,global_descriptor_disagreement,f3_grad_crit,f2_grad_levelset_e2,23.301101241214702,24.377418829895184,6.621406078338623,5.618589878082275,f3_grad_crit,f2_grad_levelset_e2,False
120,global_descriptor_disagreement,f3_grad_crit,uv_e2,23.301101241214702,26.42369467502354,6.621406078338623,5.123105049133301,f3_grad_crit,uv_e2,False
120,global_descriptor_disagreement,f2_grad_levelset_e2,uv_e2,24.377418829895184,26.42369467502354,5.618589878082275,5.123105049133301,f2_grad_levelset_e2,uv_e2,False
34,gan_pd_vs_cnn_mt_conflict,cnn,gan,37.356416104450325,28.907547601520903,6.323113918304443,19.445999145507812,gan,cnn,False
34,gan_pd_vs_cnn_mt_conflict,cnn,candidate_c,37.356416104450325,31.363921211652595,6.323113918304443,6.932266712188721,candidate_c,cnn,False
34,gan_pd_vs_cnn_mt_conflict,cnn,f3_grad_crit,37.356416104450325,30.079331173146116,6.323113918304443,6.655734062194824,f3_grad_crit,cnn,False
34,gan_pd_vs_cnn_mt_conflict,cnn,f2_grad_levelset_e2,37.356416104450325,32.727374592552216,6.323113918304443,6.281839847564697,f2_grad_levelset_e2,f2_grad_levelset_e2,True
34,gan_pd_vs_cnn_mt_conflict,cnn,uv_e2,37.356416104450325,33.99219963700051,6.323113918304443,6.365128517150879,uv_e2,cnn,False
34,gan_pd_vs_cnn_mt_conflict,gan,candidate_c,28.907547601520903,31.363921211652595,19.445999145507812,6.932266712188721,gan,candidate_c,False
34,gan_pd_vs_cnn_mt_conflict,gan,f3_grad_crit,28.907547601520903,30.079331173146116,19.445999145507812,6.655734062194824,gan,f3_grad_crit,False
34,gan_pd_vs_cnn_mt_conflict,gan,f2_grad_levelset_e2,28.907547601520903,32.727374592552216,19.445999145507812,6.281839847564697,gan,f2_grad_levelset_e2,False
34,gan_pd_vs_cnn_mt_conflict,gan,uv_e2,28.907547601520903,33.99219963700051,19.445999145507812,6.365128517150879,gan,uv_e2,False
34,gan_pd_vs_cnn_mt_conflict,candidate_c,f3_grad_crit,31.363921211652595,30.079331173146116,6.932266712188721,6.655734062194824,f3_grad_crit,f3_grad_crit,True
34,gan_pd_vs_cnn_mt_conflict,candidate_c,f2_grad_levelset_e2,31.363921211652595,32.727374592552216,6.932266712188721,6.281839847564697,candidate_c,f2_grad_levelset_e2,False
34,gan_pd_vs_cnn_mt_conflict,candidate_c,uv_e2,31.363921211652595,33.99219963700051,6.932266712188721,6.365128517150879,candidate_c,uv_e2,False
34,gan_pd_vs_cnn_mt_conflict,f3_grad_crit,f2_grad_levelset_e2,30.079331173146116,32.727374592552216,6.655734062194824,6.281839847564697,f3_grad_crit,f2_grad_levelset_e2,False
34,gan_pd_vs_cnn_mt_conflict,f3_grad_crit,uv_e2,30.079331173146116,33.99219963700051,6.655734062194824,6.365128517150879,f3_grad_crit,uv_e2,False
