archetype_id,selected_sample_idx,selection_rank,primary_or_alternate,score,eligibility_status,selection_reason,methods_required,metrics_used,tie_break_fields
global_descriptor_disagreement,41,2,alternate,1.8377838837251599,eligible,"Non-selected eligible alternate (rank 2 before de-duplication, rank 2 after) retained for review.","bicubic,cnn,gan,candidate_c,f3_grad_crit,f2_grad_levelset_e2,uv_e2","pd_distance, mt_distance (via Phase-2C topology_sample_preference_agreement.csv and samplewise_cross_method_correlations.csv)","score desc, then sample_idx asc"
global_descriptor_disagreement,143,3,alternate,1.8272581921607773,eligible,"Non-selected eligible alternate (rank 3 before de-duplication, rank 3 after) retained for review.","bicubic,cnn,gan,candidate_c,f3_grad_crit,f2_grad_levelset_e2,uv_e2","pd_distance, mt_distance (via Phase-2C topology_sample_preference_agreement.csv and samplewise_cross_method_correlations.csv)","score desc, then sample_idx asc"
global_descriptor_disagreement,26,4,alternate,1.802204350943254,eligible,"Non-selected eligible alternate (rank 4 before de-duplication, rank 4 after) retained for review.","bicubic,cnn,gan,candidate_c,f3_grad_crit,f2_grad_levelset_e2,uv_e2","pd_distance, mt_distance (via Phase-2C topology_sample_preference_agreement.csv and samplewise_cross_method_correlations.csv)","score desc, then sample_idx asc"
gan_pd_vs_cnn_mt_conflict,33,2,alternate,3.3428610213190777,eligible,"Non-selected eligible alternate (rank 2 before de-duplication, rank 2 after) retained for review.","gan,cnn","pd_distance, mt_distance","score desc, then sample_idx asc"
gan_pd_vs_cnn_mt_conflict,32,3,alternate,2.9393227927612218,eligible,"Non-selected eligible alternate (rank 3 before de-duplication, rank 3 after) retained for review.","gan,cnn","pd_distance, mt_distance","score desc, then sample_idx asc"
gan_pd_vs_cnn_mt_conflict,27,4,alternate,2.892180639790731,eligible,"Non-selected eligible alternate (rank 4 before de-duplication, rank 4 after) retained for review.","gan,cnn","pd_distance, mt_distance","score desc, then sample_idx asc"
f3_pd_vs_uv_e2_mt_tradeoff,71,2,alternate,1.7285995265313132,eligible,"Non-selected eligible alternate (rank 2 before de-duplication, rank 2 after) retained for review.","f3_grad_crit,uv_e2","pd_distance, mt_distance","score desc, then sample_idx asc"
f3_pd_vs_uv_e2_mt_tradeoff,114,3,alternate,1.6786833497094136,eligible,"Non-selected eligible alternate (rank 3 before de-duplication, rank 3 after) retained for review.","f3_grad_crit,uv_e2","pd_distance, mt_distance","score desc, then sample_idx asc"
f3_pd_vs_uv_e2_mt_tradeoff,115,4,alternate,1.4117125028354394,eligible,"Non-selected eligible alternate (rank 5 before de-duplication, rank 4 after) retained for review.","f3_grad_crit,uv_e2","pd_distance, mt_distance","score desc, then sample_idx asc"
f2_balanced_vs_cnn,135,2,alternate,1.5959038841472055,eligible,"Non-selected eligible alternate (rank 2 before de-duplication, rank 2 after) retained for review.","f2_grad_levelset_e2,cnn","pd_distance, mt_distance, psnruv, speed_mae","score desc, then sample_idx asc"
f2_balanced_vs_cnn,24,3,alternate,1.49441607992988,eligible,"Non-selected eligible alternate (rank 3 before de-duplication, rank 3 after) retained for review.","f2_grad_levelset_e2,cnn","pd_distance, mt_distance, psnruv, speed_mae","score desc, then sample_idx asc"
f2_balanced_vs_cnn,22,4,alternate,1.1224372096544188,eligible,"Non-selected eligible alternate (rank 4 before de-duplication, rank 4 after) retained for review.","f2_grad_levelset_e2,cnn","pd_distance, mt_distance, psnruv, speed_mae","score desc, then sample_idx asc"
candidate_c_continuity,134,2,alternate,1.291591331548355,eligible,"Non-selected eligible alternate (rank 3 before de-duplication, rank 2 after) retained for review.","candidate_c,cnn","pd_distance, mt_distance, psnruv, speed_mae","score desc, then sample_idx asc"
candidate_c_continuity,107,3,alternate,1.087773828553794,eligible,"Non-selected eligible alternate (rank 4 before de-duplication, rank 3 after) retained for review.","candidate_c,cnn","pd_distance, mt_distance, psnruv, speed_mae","score desc, then sample_idx asc"
candidate_c_continuity,155,4,alternate,1.0314840352720827,eligible,"Non-selected eligible alternate (rank 5 before de-duplication, rank 4 after) retained for review.","candidate_c,cnn","pd_distance, mt_distance, psnruv, speed_mae","score desc, then sample_idx asc"
global_descriptor_agreement,20,2,alternate,2.4124421338471183,eligible,"Non-selected eligible alternate (rank 2 before de-duplication, rank 2 after) retained for review.","bicubic,cnn,gan,candidate_c,f3_grad_crit,f2_grad_levelset_e2,uv_e2","pd_distance, mt_distance (via Phase-2C topology_sample_preference_agreement.csv and samplewise_cross_method_correlations.csv)","score desc, then sample_idx asc"
global_descriptor_agreement,45,3,alternate,2.2208348441752115,eligible,"Non-selected eligible alternate (rank 3 before de-duplication, rank 3 after) retained for review.","bicubic,cnn,gan,candidate_c,f3_grad_crit,f2_grad_levelset_e2,uv_e2","pd_distance, mt_distance (via Phase-2C topology_sample_preference_agreement.csv and samplewise_cross_method_correlations.csv)","score desc, then sample_idx asc"
global_descriptor_agreement,79,4,alternate,2.1532380552454957,eligible,"Non-selected eligible alternate (rank 4 before de-duplication, rank 4 after) retained for review.","bicubic,cnn,gan,candidate_c,f3_grad_crit,f2_grad_levelset_e2,uv_e2","pd_distance, mt_distance (via Phase-2C topology_sample_preference_agreement.csv and samplewise_cross_method_correlations.csv)","score desc, then sample_idx asc"
