archetype_id,priority,rank,sample_idx,score,eligibility_count,c1_name,c1_raw,c1_z,c1_z_method,c2_name,c2_raw,c2_z,c2_z_method,c3_name,c3_raw,c3_z,c3_z_method,c4_name,c4_raw,c4_z,c4_z_method,score_formula
gan_pd_vs_cnn_mt_conflict,2,5,31,2.2301792812545735,146,gan_pd_improvement_vs_cnn,7.798958550091694,0.4576256990045306,mad,cnn_mt_improvement_vs_gan,9.415461540222168,4.002732863504616,mad,,,,,,,,,"mean(robust_z(gan_pd_improvement_vs_cnn), robust_z(cnn_mt_improvement_vs_gan))"
gan_pd_vs_cnn_mt_conflict,2,6,30,1.816928898520388,146,gan_pd_improvement_vs_cnn,9.11769536279277,1.1313445859626747,mad,cnn_mt_improvement_vs_gan,6.719937324523926,2.502513211078101,mad,,,,,,,,,"mean(robust_z(gan_pd_improvement_vs_cnn), robust_z(cnn_mt_improvement_vs_gan))"
gan_pd_vs_cnn_mt_conflict,2,7,134,1.746335436329137,146,gan_pd_improvement_vs_cnn,9.478339292481586,1.3155910743885926,mad,cnn_mt_improvement_vs_gan,6.135213851928711,2.1770797982696815,mad,,,,,,,,,"mean(robust_z(gan_pd_improvement_vs_cnn), robust_z(cnn_mt_improvement_vs_gan))"
gan_pd_vs_cnn_mt_conflict,2,8,35,1.7304076088875018,146,gan_pd_improvement_vs_cnn,7.205796432989075,0.1545898563168681,mad,cnn_mt_improvement_vs_gan,8.16400957107544,3.3062253614581354,mad,,,,,,,,,"mean(robust_z(gan_pd_improvement_vs_cnn), robust_z(cnn_mt_improvement_vs_gan))"
gan_pd_vs_cnn_mt_conflict,2,9,28,1.7077866310719332,146,gan_pd_improvement_vs_cnn,7.5824311295112174,0.3470057395217862,mad,cnn_mt_improvement_vs_gan,7.736997127532959,3.06856752262208,mad,,,,,,,,,"mean(robust_z(gan_pd_improvement_vs_cnn), robust_z(cnn_mt_improvement_vs_gan))"
gan_pd_vs_cnn_mt_conflict,2,10,135,1.6141772803883754,146,gan_pd_improvement_vs_cnn,9.44148604242849,1.296763412669112,mad,cnn_mt_improvement_vs_gan,5.694131374359131,1.9315911481076384,mad,,,,,,,,,"mean(robust_z(gan_pd_improvement_vs_cnn), robust_z(cnn_mt_improvement_vs_gan))"
f3_pd_vs_uv_e2_mt_tradeoff,3,1,119,2.2605459443164224,141,f3_pd_improvement_vs_uv_e2,4.058243559388536,0.9930185158656321,mad,uv_e2_mt_improvement_vs_f3,1.6708202362060547,3.5280733727672127,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f3_pd_vs_uv_e2_mt_tradeoff,3,2,71,1.7285995265313132,141,f3_pd_improvement_vs_uv_e2,3.588626435743013,0.518042219783341,mad,uv_e2_mt_improvement_vs_f3,1.4671630859375,2.9391568332792857,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f3_pd_vs_uv_e2_mt_tradeoff,3,3,114,1.6786833497094136,141,f3_pd_improvement_vs_uv_e2,4.253179133318742,1.1901786538122487,mad,uv_e2_mt_improvement_vs_f3,1.2002034187316895,2.1671880456065784,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f3_pd_vs_uv_e2_mt_tradeoff,3,4,120,1.5379447737733556,141,f3_pd_improvement_vs_uv_e2,3.122593433808838,0.04669094666007086,mad,uv_e2_mt_improvement_vs_f3,1.4983010292053223,3.0291986008866405,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f3_pd_vs_uv_e2_mt_tradeoff,3,5,115,1.4117125028354394,141,f3_pd_improvement_vs_uv_e2,3.989715009899939,0.9237079328968667,mad,uv_e2_mt_improvement_vs_f3,1.1077075004577637,1.899717072774012,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f3_pd_vs_uv_e2_mt_tradeoff,3,6,118,1.3703370335814486,141,f3_pd_improvement_vs_uv_e2,3.4719519241008,0.4000362430062703,mad,uv_e2_mt_improvement_vs_f3,1.2601852416992188,2.340637824156627,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f3_pd_vs_uv_e2_mt_tradeoff,3,7,122,1.3374688348787451,141,f3_pd_improvement_vs_uv_e2,3.6123760620229888,0.542062871833321,mad,uv_e2_mt_improvement_vs_f3,1.1883373260498047,2.132874797924169,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f3_pd_vs_uv_e2_mt_tradeoff,3,8,105,1.3354560434261584,141,f3_pd_improvement_vs_uv_e2,4.73692748935715,1.6794474449572128,mad,uv_e2_mt_improvement_vs_f3,0.7936186790466309,0.9914646418951042,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f3_pd_vs_uv_e2_mt_tradeoff,3,9,91,1.328406029597336,141,f3_pd_improvement_vs_uv_e2,2.9853858707364473,-0.09208240043745386,mad,uv_e2_mt_improvement_vs_f3,1.4013671875,2.7488944596321256,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f3_pd_vs_uv_e2_mt_tradeoff,3,10,129,1.2066874228425866,141,f3_pd_improvement_vs_uv_e2,3.6659690151605417,0.5962674165479234,mad,uv_e2_mt_improvement_vs_f3,1.0791397094726562,1.8171074291372498,mad,,,,,,,,,"mean(robust_z(f3_pd_improvement_vs_uv_e2), robust_z(uv_e2_mt_improvement_vs_f3))"
f2_balanced_vs_cnn,4,1,25,1.9197679532756142,100,f2_pd_improvement_vs_cnn,5.106087672779893,1.673528363711092,mad,f2_mt_improvement_vs_cnn,4.73275089263916,8.831722507823464,mad,f2_psnruv_improvement_vs_cnn,1.8915367728302641,0.6955705099295508,mad,f2_speed_mae_improvement_vs_cnn,0.16993199800936876,1.2743462065866262,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
f2_balanced_vs_cnn,4,2,135,1.5959038841472055,100,f2_pd_improvement_vs_cnn,4.9018286474420805,1.3739621643792568,mad,f2_mt_improvement_vs_cnn,2.0320792198181152,3.241593983346209,mad,f2_psnruv_improvement_vs_cnn,1.95162956789801,0.7941265052207849,mad,f2_speed_mae_improvement_vs_cnn,0.15724931196216962,0.9814072529228056,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
f2_balanced_vs_cnn,4,3,24,1.49441607992988,100,f2_pd_improvement_vs_cnn,4.8372206608232275,1.2792081187948192,mad,f2_mt_improvement_vs_cnn,1.460008144378662,2.0574623212023324,mad,f2_psnruv_improvement_vs_cnn,1.9633863940111311,0.8134084457219439,mad,f2_speed_mae_improvement_vs_cnn,0.15408222216608203,0.908255243358542,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
f2_balanced_vs_cnn,4,4,22,1.1224372096544188,100,f2_pd_improvement_vs_cnn,4.581753540334628,0.9045401489832017,mad,f2_mt_improvement_vs_cnn,1.7930221557617188,2.746769038052683,mad,f2_psnruv_improvement_vs_cnn,2.0902976339583077,1.0215509285693103,mad,f2_speed_mae_improvement_vs_cnn,0.1460021573877388,0.721625556800427,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
f2_balanced_vs_cnn,4,5,123,0.96965146077109,100,f2_pd_improvement_vs_cnn,5.114739325497407,1.6862168738919192,mad,f2_mt_improvement_vs_cnn,0.9502744674682617,1.002363030214835,mad,f2_psnruv_improvement_vs_cnn,1.3284320373241982,-0.22795697116767868,mad,f2_speed_mae_improvement_vs_cnn,0.11329906998315808,-0.03373558438228117,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
f2_balanced_vs_cnn,4,6,125,0.841117680544056,100,f2_pd_improvement_vs_cnn,4.5454708688032035,0.8513279984096914,mad,f2_mt_improvement_vs_cnn,1.064910888671875,1.2396493077596031,mad,f2_psnruv_improvement_vs_cnn,1.403241469518246,-0.10526475758792145,mad,f2_speed_mae_improvement_vs_cnn,0.11578062336181849,0.023582214662838115,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
f2_balanced_vs_cnn,4,7,136,0.7157388301659381,100,f2_pd_improvement_vs_cnn,4.283229128097378,0.46672437348058576,mad,f2_mt_improvement_vs_cnn,1.5111393928527832,2.1632990482150416,mad,f2_psnruv_improvement_vs_cnn,2.046571411833394,0.9498371509527406,mad,f2_speed_mae_improvement_vs_cnn,0.15988471069768806,1.0422785025300778,mad,"min(robust_z(pd_improvement), robust_z(mt_improvement)) + 0.25*mean(robust_z(psnr_improvement), robust_z(speed_mae_improvement))"
