sample_idx,pos_idx,pd_distance_candidateB_factorial_levelset_expanded2688,mt_distance_candidateB_factorial_levelset_expanded2688
0,0,28.54444366508445,4.810891151428223
1,1,29.146910089243164,4.86183500289917
2,2,29.988900040182564,5.087730407714844
3,3,30.039450121346494,4.961330413818359
4,4,30.439293233438505,5.411264419555664
5,5,30.92535322810079,5.263988494873047
6,6,31.483760592619777,6.001251697540283
7,7,31.268698716828865,5.9148993492126465
8,8,31.27664328073426,6.516339302062988
9,9,30.33953869029735,5.672661781311035
10,10,30.922339224961675,5.90313196182251
11,11,30.85348209210499,5.992321491241455
12,12,31.200402920600826,6.46039342880249
13,13,30.222223065155184,6.568339824676514
14,14,29.434601191333986,5.417568683624268
15,15,27.241510692623354,5.258922100067139
16,16,24.568084886423392,6.163432598114014
17,17,22.277645427933226,5.332919597625732
18,18,21.71738889632207,5.533876419067383
19,19,21.566983715657145,5.8554558753967285
20,20,22.952652065245356,6.337292194366455
21,21,28.209594955067914,7.975379467010498
22,22,35.400619390813645,7.307079315185547
23,23,36.76872366401591,7.076008319854736
24,24,37.71527664799306,7.094384670257568
25,25,38.599018218741186,7.104494094848633
26,26,39.218963561793785,6.695052623748779
27,27,40.53545230534243,6.118068695068359
28,28,41.65903257625337,7.125787734985352
29,29,42.5728673349102,6.573764801025391
30,30,42.153342338921675,6.966699600219727
31,31,42.318828818786976,7.266213893890381
32,32,41.11352777508939,7.162572860717773
33,33,40.447560401431495,7.289603233337402
34,34,39.94803346664142,7.314294815063477
35,35,39.39972422707965,7.0534892082214355
36,36,38.94337467636812,6.6734113693237305
37,37,37.01169689475595,6.366199970245361
38,38,33.568330067351134,7.224221706390381
39,39,28.60494874267433,6.135211944580078
40,40,26.306478388994094,7.403200149536133
41,41,24.69216640247305,5.626088619232178
42,42,22.506541666916185,6.156897068023682
43,43,20.94291198094211,6.373549461364746
44,44,19.754963986997232,6.77686882019043
45,45,20.52497939351589,6.457805156707764
46,46,19.803814697313065,5.814042568206787
47,47,20.81312502973896,6.841406345367432
48,48,21.869121345727518,6.934776306152344
49,49,21.855434993958294,6.755949020385742
50,50,21.37719360129694,6.300141334533691
51,51,21.7573491960327,6.162675380706787
52,52,22.65007000025968,5.7928924560546875
53,53,23.090554612355646,5.449917793273926
54,54,24.16297398199418,5.469233512878418
55,55,25.017349700333313,5.554673671722412
56,56,25.732919675942796,5.693389415740967
57,57,25.887022266071217,6.029544353485107
58,58,26.724323398265422,6.205535888671875
59,59,27.073544824941532,5.769568920135498
60,60,27.511486232265433,6.334661960601807
61,61,27.56568480958159,6.098180294036865
62,62,29.062845763943137,7.212418556213379
63,63,29.86586719352763,7.539831638336182
64,64,25.278969632208003,6.194582939147949
65,65,23.233714777658236,5.796908855438232
66,66,21.905665241685668,5.417863368988037
67,67,21.35776937129282,5.097934246063232
68,68,22.23856325437504,5.591442108154297
69,69,25.494939639475344,5.471314430236816
70,70,26.278964619142684,5.586308002471924
71,71,27.192170668024538,5.9979681968688965
72,72,28.561658161011373,6.033245086669922
73,73,29.839434672834976,5.8773579597473145
74,74,30.861432161258765,6.533560752868652
75,75,31.454454090475767,6.222550392150879
76,76,32.08312112202002,6.020083904266357
77,77,31.90481619653678,5.980539798736572
78,78,31.605668896724996,6.29051399230957
79,79,31.558205069141955,6.6807050704956055
80,80,31.52553736218835,6.5561957359313965
81,81,31.576491931484792,5.939527988433838
82,82,31.2110413337135,6.274606704711914
83,83,30.758822801787723,5.654945373535156
84,84,31.10704685036283,5.993279933929443
85,85,30.74171952535103,5.880330562591553
86,86,31.07490484680309,5.68798303604126
87,87,31.73185948011468,6.633154392242432
88,88,28.152719237259184,5.886613368988037
89,89,25.648939148975714,5.980191707611084
90,90,24.132862945149867,5.480734825134277
91,91,24.459520291410666,5.777145862579346
92,92,25.113395644657583,5.3820414543151855
93,93,28.64270485411544,6.076131820678711
94,94,30.196469774914945,5.802415370941162
95,95,31.646609235293074,6.185759544372559
96,96,33.312362713227614,5.745713233947754
97,97,33.86323021686441,5.379242420196533
98,98,34.26995993315724,5.503920078277588
99,99,34.354611306355714,6.252090930938721
100,100,33.82446595940571,5.9399027824401855
101,101,33.086271091956924,6.492466449737549
102,102,32.02810081674146,6.5347442626953125
103,103,32.62598281688639,5.9045867919921875
104,104,31.929587574702175,5.282066345214844
105,105,31.905245221198587,6.077259063720703
106,106,31.843277083756444,6.499023914337158
107,107,31.509454899808972,5.883902549743652
108,108,31.498598059675786,6.321033954620361
109,109,31.330565272234946,5.867907524108887
110,110,31.819221441502176,6.243412494659424
111,111,30.55558541538004,6.161003112792969
112,112,30.02030965888811,6.3080058097839355
113,113,28.69385101955351,6.035949230194092
114,114,27.530306953203056,5.713350772857666
115,115,27.873514384816552,5.540945529937744
116,116,28.91424837522724,5.5820183753967285
117,117,30.288659739035904,5.848360538482666
118,118,32.023413072292435,6.620452404022217
119,119,31.888371167031387,5.939402103424072
120,120,31.3020060809515,5.225539684295654
121,121,31.95497850153143,5.588972568511963
122,122,31.35064412178396,5.784968852996826
123,123,31.057932101464683,5.689051151275635
124,124,30.901541026995282,5.745230197906494
125,125,30.325607642340675,5.343515872955322
126,126,29.829802165940123,5.068729877471924
127,127,31.56705983979746,5.467094421386719
128,128,30.72392102565496,5.222374439239502
129,129,31.680074804447447,6.01741361618042
130,130,31.769888632489206,5.141744136810303
131,131,33.99325680408951,7.037116050720215
132,132,35.677040766287156,6.817027568817139
133,133,35.9448622188405,6.131783485412598
134,134,33.13890366930947,5.7441020011901855
135,135,30.676883160232318,5.589317798614502
136,136,28.64941008808095,5.9607415199279785
137,137,27.53812908662033,4.756855487823486
138,138,26.579604761965847,4.64019775390625
139,139,25.711538241470915,4.823592662811279
140,140,27.447217262984072,5.2134809494018555
141,141,31.777938913836564,6.548429489135742
142,142,35.54978103030346,6.246004104614258
143,143,33.962747628629714,5.6334757804870605
144,144,33.82229698659932,5.684876441955566
145,145,33.2592278629592,5.691728591918945
146,146,32.46035257915526,6.678574085235596
147,147,30.523291901669573,6.694103717803955
148,148,29.39688505172778,5.515734672546387
149,149,28.517372221760606,6.246971607208252
150,150,26.98014358153752,6.387879848480225
151,151,26.12699975426323,6.19771671295166
152,152,25.93862075489516,6.223615646362305
153,153,25.34760779569593,6.533936500549316
154,154,24.663018794443186,6.390933513641357
155,155,25.094602290789727,6.434845447540283
156,156,26.1685715555286,5.476315975189209
157,157,27.430215127699565,5.485899925231934
158,158,29.77762927475053,5.934726238250732
159,159,26.85472399940054,5.5392231941223145
160,160,24.648154217461727,5.027988433837891
161,161,23.49106126899185,4.71148681640625
162,162,23.3081992890425,4.531731128692627
163,163,24.454785217113404,5.133460521697998
164,164,26.1826535258841,5.091033458709717
165,165,27.78587164585548,5.176191806793213
166,166,29.0311692176642,5.4651594161987305
167,167,28.923516641031224,5.3252105712890625
