sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_levelset_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,28.54444366508445,5.051645278930664,9.748218536376953,4.810891151428223,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
1,1,24.612518312283534,22.38874396250744,29.146910089243164,4.678010940551758,11.978342056274414,4.86183500289917,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,29.988900040182564,4.894824504852295,8.343221664428711,5.087730407714844,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,30.039450121346494,4.794641017913818,9.753995895385742,4.961330413818359,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,30.439293233438505,4.892229080200195,8.064751625061035,5.411264419555664,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,30.92535322810079,5.628478050231934,6.406379699707031,5.263988494873047,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
6,6,28.068979766562435,24.045087776300683,31.483760592619777,6.144000053405762,6.0106329917907715,6.001251697540283,gan,gan,gan,candidateB_factorial_levelset_expanded2688,1
7,7,29.26973016135952,22.553824952557566,31.268698716828865,5.672351837158203,7.113770008087158,5.9148993492126465,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,31.27664328073426,7.50956392288208,6.055016040802002,6.516339302062988,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,30.33953869029735,5.768454551696777,6.291722297668457,5.672661781311035,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
10,10,29.696969860459554,24.710016041893063,30.922339224961675,6.634506702423096,7.423793315887451,5.90313196182251,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
11,11,28.68732565326105,24.969867761946066,30.85348209210499,5.910721302032471,7.831723690032959,5.992321491241455,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,31.200402920600826,6.61636209487915,5.913707256317139,6.46039342880249,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.222223065155184,6.0738348960876465,7.402252674102783,6.568339824676514,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.434601191333986,5.448930263519287,5.877835750579834,5.417568683624268,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
15,15,26.322356943691645,19.148010639364745,27.241510692623354,5.097294807434082,5.86716890335083,5.258922100067139,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.568084886423392,5.464188098907471,5.255205154418945,6.163432598114014,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,22.277645427933226,5.2896833419799805,4.8487091064453125,5.332919597625732,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,21.71738889632207,6.258571624755859,5.554356575012207,5.533876419067383,gan,gan,gan,candidateB_factorial_levelset_expanded2688,1
19,19,21.064082150885508,19.086676411603058,21.566983715657145,6.927988529205322,5.44291353225708,5.8554558753967285,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,22.952652065245356,6.254051208496094,5.689126491546631,6.337292194366455,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,28.209594955067914,8.127616882324219,10.817054748535156,7.975379467010498,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
22,22,32.693467082501115,26.801086541907566,35.400619390813645,8.081520080566406,8.346701622009277,7.307079315185547,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
23,23,34.476953302920876,29.144574221491347,36.76872366401591,6.907674789428711,8.497876167297363,7.076008319854736,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,37.71527664799306,7.21915864944458,12.067601203918457,7.094384670257568,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
25,25,36.58411526021696,30.123491475362258,38.599018218741186,11.371563911437988,10.501462936401367,7.104494094848633,gan,gan,gan,candidateB_factorial_levelset_expanded2688,1
26,26,35.02599363200026,30.779316467464,39.218963561793785,7.043282985687256,11.28821849822998,6.695052623748779,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
27,27,36.89696946573002,30.945378681968467,40.53545230534243,6.4783101081848145,19.968429565429688,6.118068695068359,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
28,28,38.33189346230645,30.74946233279523,41.65903257625337,7.210402011871338,14.947399139404297,7.125787734985352,gan,gan,cnn,candidateB_factorial_levelset_expanded2688,0
