sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_expanded2688,pd_winner_before,pd_winner_after_candidateUV_expanded2688,mt_winner_before,mt_winner_after_candidateUV_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,28.605871522132013,5.051645278930664,9.748218536376953,4.8496832847595215,gan,gan,cnn,candidateUV_expanded2688,0
1,1,24.612518312283534,22.38874396250744,29.135293120572076,4.678010940551758,11.978342056274414,4.843921184539795,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,29.961517561992117,4.894824504852295,8.343221664428711,5.173593044281006,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,29.976092068590685,4.794641017913818,9.753995895385742,5.01625394821167,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,30.408719326671225,4.892229080200195,8.064751625061035,5.493655681610107,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,31.030052149773176,5.628478050231934,6.406379699707031,5.325961112976074,gan,gan,cnn,candidateUV_expanded2688,0
6,6,28.068979766562435,24.045087776300683,31.532042083951143,6.144000053405762,6.0106329917907715,6.12349271774292,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,31.32838987344039,5.672351837158203,7.113770008087158,5.7831902503967285,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,31.22991148272067,7.50956392288208,6.055016040802002,6.575445175170898,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,30.363307097652395,5.768454551696777,6.291722297668457,5.671511650085449,gan,gan,cnn,candidateUV_expanded2688,0
10,10,29.696969860459554,24.710016041893063,30.82815722069021,6.634506702423096,7.423793315887451,5.8183674812316895,gan,gan,cnn,candidateUV_expanded2688,0
11,11,28.68732565326105,24.969867761946066,30.785993431138824,5.910721302032471,7.831723690032959,6.047443866729736,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,31.096791176401393,6.61636209487915,5.913707256317139,6.436175346374512,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.1384956978792,6.0738348960876465,7.402252674102783,6.590187072753906,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.328656213329214,5.448930263519287,5.877835750579834,5.357327461242676,gan,gan,cnn,candidateUV_expanded2688,0
15,15,26.322356943691645,19.148010639364745,27.301431708330217,5.097294807434082,5.86716890335083,5.248688697814941,gan,gan,cnn,cnn,0
