sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateE2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateE2_tf_lowlambda_expanded672,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,24.054103267643598,5.051645278930664,9.748218536376953,5.438521862030029,gan,gan,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,23.56584173280366,4.678010940551758,11.978342056274414,4.855930328369141,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,24.590260674262446,4.894824504852295,8.343221664428711,5.349585056304932,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,24.20894321710582,4.794641017913818,9.753995895385742,4.807435035705566,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,23.717387375706455,4.892229080200195,8.064751625061035,5.972362995147705,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,24.779239458037207,5.628478050231934,6.406379699707031,5.527188777923584,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
6,6,28.068979766562435,24.045087776300683,25.82088800012652,6.144000053405762,6.0106329917907715,6.1556196212768555,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,26.982742057281737,5.672351837158203,7.113770008087158,5.9069647789001465,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,27.338156973887724,7.50956392288208,6.055016040802002,6.644448280334473,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,26.813331867591188,5.768454551696777,6.291722297668457,5.37840461730957,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
10,10,29.696969860459554,24.710016041893063,26.88892330401907,6.634506702423096,7.423793315887451,5.876777648925781,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
11,11,28.68732565326105,24.969867761946066,25.63339966207931,5.910721302032471,7.831723690032959,5.913032531738281,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,26.92586780325652,6.61636209487915,5.913707256317139,6.144091606140137,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,26.65051362209082,6.0738348960876465,7.402252674102783,6.17996072769165,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,25.592702931636584,5.448930263519287,5.877835750579834,5.920727729797363,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,23.612041207425534,5.097294807434082,5.86716890335083,5.094869136810303,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
16,16,23.755960973590362,17.324485324726012,21.482446374539954,5.464188098907471,5.255205154418945,4.8142781257629395,gan,gan,gan,candidateE2_tf_lowlambda_expanded672,1
17,17,20.900376556174706,17.11808749868573,19.232872157909075,5.2896833419799805,4.8487091064453125,4.308744430541992,gan,gan,gan,candidateE2_tf_lowlambda_expanded672,1
18,18,20.394905033940507,18.610240875886223,18.507790874952185,6.258571624755859,5.554356575012207,4.676996231079102,gan,candidateE2_tf_lowlambda_expanded672,gan,candidateE2_tf_lowlambda_expanded672,1
19,19,21.064082150885508,19.086676411603058,18.493713627559906,6.927988529205322,5.44291353225708,5.4430060386657715,gan,candidateE2_tf_lowlambda_expanded672,gan,gan,1
20,20,21.97923655969375,18.266315468004898,19.509799012655687,6.254051208496094,5.689126491546631,5.7873311042785645,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,24.49980356011518,8.127616882324219,10.817054748535156,7.474977493286133,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
22,22,32.693467082501115,26.801086541907566,30.255712207121263,8.081520080566406,8.346701622009277,6.897210121154785,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
23,23,34.476953302920876,29.144574221491347,31.95715486956616,6.907674789428711,8.497876167297363,6.532685279846191,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
24,24,35.75728371567695,29.65320138308241,32.790206642950054,7.21915864944458,12.067601203918457,6.475168228149414,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
25,25,36.58411526021696,30.123491475362258,33.34593062181169,11.371563911437988,10.501462936401367,7.787625312805176,gan,gan,gan,candidateE2_tf_lowlambda_expanded672,1
26,26,35.02599363200026,30.779316467464,32.32361154338552,7.043282985687256,11.28821849822998,9.643260955810547,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,33.95677771688319,6.4783101081848145,19.968429565429688,6.691373825073242,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,35.555740015546945,7.210402011871338,14.947399139404297,7.693724155426025,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,36.74678125832535,6.963974952697754,12.864243507385254,7.888426780700684,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,36.92243456537933,8.127463340759277,14.847400665283203,7.320069789886475,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
31,31,39.104318483733294,31.3053599336416,36.49479150946241,6.818642616271973,16.23410415649414,6.801255702972412,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
32,32,38.55925876668554,30.547158977309156,35.6527056622494,7.461033821105957,19.229158401489258,7.198922634124756,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
33,33,38.39305861348763,30.400139282712473,35.86905354232034,6.76971960067749,20.00556755065918,6.690587520599365,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
34,34,37.356416104450325,28.907547601520903,34.9945676680935,6.323113918304443,19.445999145507812,6.549649238586426,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,34.18640412224966,6.2719197273254395,14.435929298400879,6.140259265899658,gan,gan,cnn,candidateE2_tf_lowlambda_expanded672,0
