sample_idx,pos_idx,pd_distance_candidateE2_tf_lowlambda_expanded672,mt_distance_candidateE2_tf_lowlambda_expanded672
0,0,24.054103267643598,5.438521862030029
1,1,23.56584173280366,4.855930328369141
2,2,24.590260674262446,5.349585056304932
3,3,24.20894321710582,4.807435035705566
4,4,23.717387375706455,5.972362995147705
5,5,24.779239458037207,5.527188777923584
6,6,25.82088800012652,6.1556196212768555
7,7,26.982742057281737,5.9069647789001465
8,8,27.338156973887724,6.644448280334473
9,9,26.813331867591188,5.37840461730957
10,10,26.88892330401907,5.876777648925781
11,11,25.63339966207931,5.913032531738281
12,12,26.92586780325652,6.144091606140137
13,13,26.65051362209082,6.17996072769165
14,14,25.592702931636584,5.920727729797363
15,15,23.612041207425534,5.094869136810303
16,16,21.482446374539954,4.8142781257629395
17,17,19.232872157909075,4.308744430541992
18,18,18.507790874952185,4.676996231079102
19,19,18.493713627559906,5.4430060386657715
20,20,19.509799012655687,5.7873311042785645
21,21,24.49980356011518,7.474977493286133
22,22,30.255712207121263,6.897210121154785
23,23,31.95715486956616,6.532685279846191
24,24,32.790206642950054,6.475168228149414
25,25,33.34593062181169,7.787625312805176
26,26,32.32361154338552,9.643260955810547
27,27,33.95677771688319,6.691373825073242
28,28,35.555740015546945,7.693724155426025
29,29,36.74678125832535,7.888426780700684
30,30,36.92243456537933,7.320069789886475
31,31,36.49479150946241,6.801255702972412
32,32,35.6527056622494,7.198922634124756
33,33,35.86905354232034,6.690587520599365
34,34,34.9945676680935,6.549649238586426
35,35,34.18640412224966,6.140259265899658
36,36,34.280537299277846,6.245140552520752
37,37,32.222878157483066,6.95116662979126
38,38,28.18585878649954,6.672774314880371
39,39,23.81573230106344,6.218216419219971
40,40,23.23649465382832,5.687273979187012
41,41,21.72326350637848,5.645405292510986
42,42,19.870836541643076,5.843043804168701
43,43,18.169024223152046,5.766308784484863
44,44,16.834403937524154,6.457335472106934
45,45,17.31448493450736,6.688892364501953
46,46,16.687865549192825,6.41486930847168
