sample_idx,pos_idx,pd_winner_superlevel,mt_winner_superlevel,was_mt_gan_win_superlevel_baseline
88,88,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,1
89,89,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
90,90,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
91,91,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
92,92,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
93,93,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
94,94,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
95,95,gan,cnn,0
96,96,gan,cnn,0
97,97,gan,candidateUV_plus_crit_expanded2688,0
98,98,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
99,99,gan,candidateUV_plus_crit_expanded2688,0
100,100,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
101,101,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
102,102,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
103,103,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
104,104,gan,cnn,0
105,105,gan,cnn,0
106,106,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
107,107,gan,candidateUV_plus_crit_expanded2688,0
108,108,gan,cnn,0
109,109,gan,cnn,0
110,110,gan,candidateUV_plus_crit_expanded2688,0
111,111,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
112,112,gan,candidateE2_tf_lowlambda_expanded2688,0
113,113,gan,cnn,0
114,114,gan,cnn,0
115,115,gan,cnn,0
116,116,gan,candidateUV_plus_crit_expanded2688,0
117,117,gan,cnn,0
118,118,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
119,119,gan,cnn,0
120,120,gan,candidateUV_plus_crit_expanded2688,0
121,121,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
122,122,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,1
123,123,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
124,124,gan,candidateE2_tf_lowlambda_expanded2688,0
125,125,gan,candidateUV_plus_crit_expanded2688,0
126,126,candidateC_expanded2688,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
127,127,candidateC_expanded2688,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
128,128,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
129,129,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
130,130,gan,candidateUV_plus_crit_expanded2688,0
131,131,gan,cnn,0
132,132,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
133,133,gan,candidateUV_plus_crit_expanded2688,0
134,134,gan,candidateE2_tf_lowlambda_expanded2688,0
135,135,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
136,136,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
137,137,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
138,138,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
139,139,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
140,140,gan,candidateE2_tf_lowlambda_expanded2688,0
141,141,gan,candidateE2_tf_lowlambda_expanded2688,0
142,142,gan,candidateE2_tf_lowlambda_expanded2688,0
143,143,gan,candidateUV_plus_crit_expanded2688,0
144,144,gan,cnn,0
145,145,gan,candidateUV_plus_crit_expanded2688,0
146,146,gan,cnn,0
147,147,gan,candidateE2_tf_lowlambda_expanded2688,0
148,148,gan,cnn,0
149,149,gan,candidateUV_plus_crit_expanded2688,0
150,150,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
151,151,gan,cnn,0
152,152,gan,candidateE2_tf_lowlambda_expanded2688,0
153,153,gan,candidateUV_plus_crit_expanded2688,0
154,154,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
155,155,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
156,156,gan,candidateE2_tf_lowlambda_expanded2688,0
157,157,gan,candidateC_expanded2688,0
158,158,gan,candidateC_expanded2688,0
159,159,gan,cnn,0
160,160,candidateC_expanded2688,candidateUV_plus_crit_expanded2688,0
161,161,candidateC_expanded2688,cnn,0
162,162,candidateC_expanded2688,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
163,163,candidateC_expanded2688,candidateE2_tf_lowlambda_expanded2688,0
164,164,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
165,165,gan,candidateUV_plus_crit_expanded2688,0
166,166,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,0
167,167,gan,candidateUV_plus_E2_tf_lowlambda_expanded2688,0
