method,n_samples,pd_mean_superlevel,pd_std_superlevel,mt_mean_superlevel,mt_std_superlevel,pd_lt_cnn,mt_lt_cnn,pd_beats_gan,mt_beats_gan,mt_gan_recovered,mt_gan_total,pd_mean_sublevel_known,mt_mean_sublevel_known
cnn,168,27.376157583582557,4.435251685948967,5.323065313554945,0.8255391855464285,,,,,,23,27.4063,5.8678
gan,168,20.716849249556226,3.891499841131894,7.839662429832277,2.844465791527228,166,23,,,,23,20.8641,8.3481
candidateC_expanded2688,168,22.441695497200314,4.0131075375082474,5.357800465254557,0.611072834029821,168,72,19,151,14,23,22.4944,6.0803
candidateB_plus_E2_tf_lowlambda_expanded2688,168,24.104176458956545,4.201715080194121,4.999794815267835,0.6629759446066862,165,110,6,165,23,23,23.9876,5.6774
candidateE2_tf_lowlambda_expanded2688,168,24.3811490752221,4.167126720269558,4.979581256707509,0.6523659049996032,164,112,5,166,23,23,24.2686,5.6628
candidateUV_plus_E2_tf_lowlambda_expanded2688,168,25.192277688443163,4.189914745201943,4.952202385380154,0.6498330073719739,160,120,0,168,23,23,25.0721,5.594
candidateUV_plus_crit_expanded2688,168,29.07522303089035,4.767824138140132,5.087484864961533,0.49444085768253293,13,104,0,157,13,23,29.1143,5.6899
candidateUV_expanded2688,168,29.662107388936555,4.912920508291802,5.423032642829986,0.6112579820561345,8,68,0,144,7,23,29.6121,6.0119
candidateB_expanded2688,168,22.69088675162447,4.166367436384722,5.861446357908703,0.8289068689586271,164,42,15,137,8,23,22.707,6.1612
