sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,28.532433575472528,5.051645278930664,9.748218536376953,4.760420322418213,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
1,1,24.612518312283534,22.38874396250744,29.14285766600948,4.678010940551758,11.978342056274414,5.155200481414795,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,29.87247251519299,4.894824504852295,8.343221664428711,5.122945785522461,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,29.937831083718905,4.794641017913818,9.753995895385742,4.9445905685424805,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,30.389008791673632,4.892229080200195,8.064751625061035,5.407039165496826,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,30.91751246800948,5.628478050231934,6.406379699707031,5.152927398681641,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
6,6,28.068979766562435,24.045087776300683,31.461765458069756,6.144000053405762,6.0106329917907715,6.152015686035156,gan,gan,gan,gan,1
7,7,29.26973016135952,22.553824952557566,31.227812406417346,5.672351837158203,7.113770008087158,5.741585731506348,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,31.25860262226385,7.50956392288208,6.055016040802002,6.4501447677612305,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,30.2792506352415,5.768454551696777,6.291722297668457,5.618812561035156,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
10,10,29.696969860459554,24.710016041893063,30.939134048498993,6.634506702423096,7.423793315887451,5.967529296875,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
11,11,28.68732565326105,24.969867761946066,30.82699660656158,5.910721302032471,7.831723690032959,5.992443084716797,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,31.136123162893025,6.61636209487915,5.913707256317139,6.480989933013916,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,30.1699720292687,6.0738348960876465,7.402252674102783,6.526394367218018,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,29.447925186534015,5.448930263519287,5.877835750579834,5.372818946838379,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
15,15,26.322356943691645,19.148010639364745,27.234094880976414,5.097294807434082,5.86716890335083,5.283413410186768,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,24.593992837999707,5.464188098907471,5.255205154418945,6.157318115234375,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,22.2932687535119,5.2896833419799805,4.8487091064453125,5.352304458618164,gan,gan,gan,gan,1
18,18,20.394905033940507,18.610240875886223,21.754015834224795,6.258571624755859,5.554356575012207,5.553208351135254,gan,gan,gan,candidateB_factorial_speed_expanded2688,1
19,19,21.064082150885508,19.086676411603058,21.43279050137366,6.927988529205322,5.44291353225708,5.863461017608643,gan,gan,gan,gan,1
20,20,21.97923655969375,18.266315468004898,22.874516218850502,6.254051208496094,5.689126491546631,6.316183567047119,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,28.175460548304105,8.127616882324219,10.817054748535156,8.082906723022461,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
22,22,32.693467082501115,26.801086541907566,35.44045139471092,8.081520080566406,8.346701622009277,7.343725204467773,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
23,23,34.476953302920876,29.144574221491347,36.947508980293826,6.907674789428711,8.497876167297363,6.994623184204102,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,37.67379374238545,7.21915864944458,12.067601203918457,7.120218276977539,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
25,25,36.58411526021696,30.123491475362258,38.758513700409424,11.371563911437988,10.501462936401367,7.288697242736816,gan,gan,gan,candidateB_factorial_speed_expanded2688,1
26,26,35.02599363200026,30.779316467464,39.34344311441316,7.043282985687256,11.28821849822998,6.5394721031188965,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
27,27,36.89696946573002,30.945378681968467,40.68890231817759,6.4783101081848145,19.968429565429688,6.022300720214844,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
28,28,38.33189346230645,30.74946233279523,41.94666118276527,7.210402011871338,14.947399139404297,7.187472820281982,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
29,29,38.84347398326436,31.752977463202388,42.69684433962982,6.963974952697754,12.864243507385254,6.6500773429870605,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
30,30,39.94080457344863,30.82310921065586,42.28210330106523,8.127463340759277,14.847400665283203,7.0016679763793945,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
31,31,39.104318483733294,31.3053599336416,42.405061456479295,6.818642616271973,16.23410415649414,7.274031639099121,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,41.30874761538352,7.461033821105957,19.229158401489258,7.119698524475098,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
33,33,38.39305861348763,30.400139282712473,40.59846871234977,6.76971960067749,20.00556755065918,7.178544044494629,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,39.96982214178551,6.323113918304443,19.445999145507812,7.1494855880737305,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,39.31861893629064,6.2719197273254395,14.435929298400879,7.024168968200684,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,38.91036410939607,6.097905158996582,9.26945686340332,6.6582489013671875,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,37.11437390117464,6.489102840423584,9.59257698059082,6.441283702850342,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
38,38,29.159912858159764,23.780350003542182,33.64679966986716,6.054014682769775,7.416414260864258,7.123992919921875,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,28.70029707140758,5.873856067657471,8.546488761901855,6.168546199798584,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,26.304846517241796,5.6310811042785645,8.988521575927734,7.086556911468506,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,24.66790396747832,5.389686584472656,8.901470184326172,5.817628860473633,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,22.508215526987513,5.757840156555176,7.383090972900391,6.061398983001709,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,20.94424716613726,5.7682366371154785,7.053122520446777,6.434141159057617,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,19.760840948779926,6.20600700378418,7.041088581085205,6.7330145835876465,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,20.443758356246615,6.566225528717041,6.773196697235107,6.609167575836182,gan,gan,cnn,cnn,0
46,46,20.678325640697178,16.27228595124608,19.812402380152502,6.243154048919678,6.650214672088623,6.187588691711426,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
47,47,22.201753073772625,13.108895112859523,20.78256919156044,6.789880752563477,7.498397350311279,6.839853286743164,gan,gan,cnn,cnn,0
48,48,22.832495463547907,13.107025960847848,21.76765242415246,7.081502437591553,6.682991981506348,6.91245174407959,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,21.848756739046916,6.3195295333862305,7.889017105102539,6.67125940322876,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,21.34846436989593,6.3856120109558105,6.713321685791016,6.567173957824707,gan,gan,cnn,cnn,0
51,51,21.75849079768097,16.03686368056312,21.704146069375863,5.902731418609619,7.996896266937256,5.716636657714844,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
52,52,21.81632996072092,16.98731478928289,22.566957905089804,5.69123649597168,7.0050048828125,5.808300971984863,gan,gan,cnn,cnn,0
53,53,21.92458068590406,18.078201501754,23.001615152294672,5.261850833892822,7.919146537780762,5.466885566711426,gan,gan,cnn,cnn,0
54,54,22.97915159360149,18.305326668249773,24.152906806629098,5.500187397003174,9.581897735595703,5.507530212402344,gan,gan,cnn,cnn,0
55,55,23.57536347476084,17.428151978200873,24.974465210981347,5.2683796882629395,7.846588134765625,5.490386962890625,gan,gan,cnn,cnn,0
56,56,24.24948793523431,17.584091876726443,25.667801115225906,5.488292217254639,7.826909065246582,5.712064743041992,gan,gan,cnn,cnn,0
57,57,24.937493176964292,18.354637384973643,25.809290534002574,5.463809013366699,6.805661201477051,6.00971794128418,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,26.698575991153568,6.08959436416626,8.349846839904785,6.2205810546875,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,27.006810955678368,5.546851634979248,7.89148473739624,5.802874565124512,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,27.436844136325533,5.321651458740234,8.357301712036133,6.25275993347168,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,27.468025113677232,5.346891403198242,8.12722110748291,6.312170028686523,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,29.005738647793695,6.720277786254883,6.650205135345459,7.1197509765625,gan,gan,gan,gan,1
63,63,28.524583670890912,18.199751597271156,29.84320627874507,7.660599708557129,7.5776286125183105,7.485298156738281,gan,gan,gan,candidateB_factorial_speed_expanded2688,1
64,64,24.7100597287657,16.701032359601633,25.217402069198013,5.944510459899902,7.137726306915283,6.126696586608887,gan,gan,cnn,cnn,0
65,65,22.148883751156426,16.23947552161985,23.255445176588314,5.820770263671875,5.576780319213867,5.672985553741455,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,21.857463964068366,5.701828956604004,6.4086198806762695,5.394418239593506,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
67,67,20.679919922717943,14.773695042869097,21.374094675520695,5.030301094055176,6.6433844566345215,5.086663722991943,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,22.200582053323902,6.074338436126709,5.670867919921875,5.623034477233887,gan,gan,gan,candidateB_factorial_speed_expanded2688,1
69,69,24.168055816700438,16.112222498232782,25.46648419723954,5.17050838470459,6.406604290008545,5.5312275886535645,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,26.219858609028197,5.396136283874512,5.861793041229248,5.701635837554932,gan,gan,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,27.137313244720065,5.1588335037231445,7.186563014984131,6.05161190032959,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,28.451837435212276,4.796044826507568,5.719583988189697,5.989734172821045,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,29.912719205412692,4.9851861000061035,5.75114631652832,5.926169395446777,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,30.830202063353994,4.782100200653076,5.644299030303955,6.449815273284912,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,31.428436227028186,5.201173305511475,5.680557727813721,6.295743942260742,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,32.023136149134395,5.207019329071045,6.450347900390625,6.0486555099487305,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,31.883136769548372,6.132026672363281,6.000014781951904,6.037026882171631,gan,gan,gan,gan,1
78,78,30.300511724579902,19.95492094933438,31.541428535101023,5.8028388023376465,7.092807292938232,6.263173580169678,gan,gan,cnn,cnn,0
79,79,30.148051358309164,20.321240211337894,31.483024201323765,6.856454849243164,6.467032432556152,6.573695182800293,gan,gan,gan,gan,1
80,80,30.086252753371088,20.744918439924255,31.536361305219266,6.982686519622803,6.176682472229004,6.449335098266602,gan,gan,gan,gan,1
81,81,29.68907403762892,20.982889067881906,31.619986645999592,6.426537990570068,7.567525863647461,6.006380081176758,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
82,82,28.90089773637945,20.81634708740007,31.21424791639443,7.1840739250183105,6.303605079650879,6.308368682861328,gan,gan,gan,gan,1
83,83,28.194313716720707,21.794751727168247,30.74493908269571,6.560110569000244,6.599743366241455,5.681946277618408,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
84,84,29.14514380262554,21.106373639070085,31.072228896423553,5.271510124206543,8.559276580810547,5.684633731842041,gan,gan,cnn,cnn,0
