sample_idx,pos_idx,pd_distance_candidateB_factorial_speed_expanded2688,mt_distance_candidateB_factorial_speed_expanded2688
0,0,28.532433575472528,4.760420322418213
1,1,29.14285766600948,5.155200481414795
2,2,29.87247251519299,5.122945785522461
3,3,29.937831083718905,4.9445905685424805
4,4,30.389008791673632,5.407039165496826
5,5,30.91751246800948,5.152927398681641
6,6,31.461765458069756,6.152015686035156
7,7,31.227812406417346,5.741585731506348
8,8,31.25860262226385,6.4501447677612305
9,9,30.2792506352415,5.618812561035156
10,10,30.939134048498993,5.967529296875
11,11,30.82699660656158,5.992443084716797
12,12,31.136123162893025,6.480989933013916
13,13,30.1699720292687,6.526394367218018
14,14,29.447925186534015,5.372818946838379
15,15,27.234094880976414,5.283413410186768
16,16,24.593992837999707,6.157318115234375
17,17,22.2932687535119,5.352304458618164
18,18,21.754015834224795,5.553208351135254
19,19,21.43279050137366,5.863461017608643
20,20,22.874516218850502,6.316183567047119
21,21,28.175460548304105,8.082906723022461
22,22,35.44045139471092,7.343725204467773
23,23,36.947508980293826,6.994623184204102
24,24,37.67379374238545,7.120218276977539
25,25,38.758513700409424,7.288697242736816
26,26,39.34344311441316,6.5394721031188965
27,27,40.68890231817759,6.022300720214844
28,28,41.94666118276527,7.187472820281982
29,29,42.69684433962982,6.6500773429870605
30,30,42.28210330106523,7.0016679763793945
31,31,42.405061456479295,7.274031639099121
32,32,41.30874761538352,7.119698524475098
33,33,40.59846871234977,7.178544044494629
34,34,39.96982214178551,7.1494855880737305
35,35,39.31861893629064,7.024168968200684
36,36,38.91036410939607,6.6582489013671875
37,37,37.11437390117464,6.441283702850342
38,38,33.64679966986716,7.123992919921875
39,39,28.70029707140758,6.168546199798584
40,40,26.304846517241796,7.086556911468506
41,41,24.66790396747832,5.817628860473633
42,42,22.508215526987513,6.061398983001709
43,43,20.94424716613726,6.434141159057617
44,44,19.760840948779926,6.7330145835876465
45,45,20.443758356246615,6.609167575836182
46,46,19.812402380152502,6.187588691711426
47,47,20.78256919156044,6.839853286743164
48,48,21.76765242415246,6.91245174407959
49,49,21.848756739046916,6.67125940322876
50,50,21.34846436989593,6.567173957824707
51,51,21.704146069375863,5.716636657714844
52,52,22.566957905089804,5.808300971984863
53,53,23.001615152294672,5.466885566711426
54,54,24.152906806629098,5.507530212402344
55,55,24.974465210981347,5.490386962890625
56,56,25.667801115225906,5.712064743041992
57,57,25.809290534002574,6.00971794128418
58,58,26.698575991153568,6.2205810546875
59,59,27.006810955678368,5.802874565124512
60,60,27.436844136325533,6.25275993347168
61,61,27.468025113677232,6.312170028686523
62,62,29.005738647793695,7.1197509765625
63,63,29.84320627874507,7.485298156738281
64,64,25.217402069198013,6.126696586608887
65,65,23.255445176588314,5.672985553741455
66,66,21.857463964068366,5.394418239593506
67,67,21.374094675520695,5.086663722991943
68,68,22.200582053323902,5.623034477233887
69,69,25.46648419723954,5.5312275886535645
70,70,26.219858609028197,5.701635837554932
71,71,27.137313244720065,6.05161190032959
72,72,28.451837435212276,5.989734172821045
73,73,29.912719205412692,5.926169395446777
74,74,30.830202063353994,6.449815273284912
75,75,31.428436227028186,6.295743942260742
76,76,32.023136149134395,6.0486555099487305
77,77,31.883136769548372,6.037026882171631
78,78,31.541428535101023,6.263173580169678
79,79,31.483024201323765,6.573695182800293
80,80,31.536361305219266,6.449335098266602
81,81,31.619986645999592,6.006380081176758
82,82,31.21424791639443,6.308368682861328
83,83,30.74493908269571,5.681946277618408
84,84,31.072228896423553,5.684633731842041
85,85,30.80652856471147,5.855080604553223
86,86,31.017881280767106,5.788959980010986
87,87,31.622517799529227,6.725584030151367
88,88,28.192388061829348,6.053147792816162
89,89,25.65844629590951,5.951303958892822
90,90,24.11596492959633,5.35438346862793
91,91,24.418312506305487,5.687473773956299
92,92,25.035070693480936,5.437336444854736
93,93,28.530578831470763,6.101170063018799
94,94,30.123668074030967,5.7939629554748535
95,95,31.586879236339517,6.225842475891113
96,96,33.18557933203389,5.666706562042236
97,97,33.773518959358675,5.3265862464904785
98,98,34.16649425035358,5.450744152069092
99,99,34.30203730545498,6.140787124633789
100,100,33.7428770378768,5.962793827056885
101,101,33.03174086969067,6.387572288513184
102,102,31.95337643633302,6.442268371582031
103,103,32.572996800916854,5.836021900177002
104,104,31.883397217756123,5.272216796875
105,105,31.840336699510335,6.036621570587158
106,106,31.807567836411714,6.516167640686035
107,107,31.393845735420562,5.956917762756348
108,108,31.451741365512564,6.265308856964111
109,109,31.337279879945925,5.84427547454834
110,110,31.762945006288593,6.231179237365723
111,111,30.435515881801702,6.1707940101623535
112,112,29.958539436292867,6.375887393951416
113,113,28.606182081264816,5.947873115539551
114,114,27.505576275684728,5.850010395050049
115,115,27.776683313498495,5.524585723876953
116,116,28.77648049966197,5.491223335266113
117,117,30.167383997471443,5.807194232940674
118,118,32.01181697490276,6.621156215667725
119,119,31.87429036189385,6.000651836395264
120,120,31.199216278449065,5.257138252258301
121,121,31.88233550718333,5.623414993286133
122,122,31.318994048896705,5.745635986328125
123,123,31.024402279015032,5.710352897644043
124,124,30.79365680267891,5.775800704956055
125,125,30.29548562271118,5.424657821655273
126,126,29.73705989032399,5.134559154510498
127,127,31.570612647940965,5.449705123901367
128,128,30.773020952519886,5.144655704498291
129,129,31.69278509312308,6.137405872344971
130,130,31.720292287686505,5.183942794799805
131,131,34.12171258378963,7.1026291847229
132,132,35.735686368716166,6.83327054977417
133,133,36.04271236661273,6.120136260986328
134,134,33.25112043299701,5.775302886962891
135,135,30.74366457383869,5.676431179046631
136,136,28.695048226616372,6.027499675750732
137,137,27.524739082248455,4.765219211578369
138,138,26.608023563452953,4.578351020812988
139,139,25.740505001543635,4.879062652587891
140,140,27.472895133547958,5.195355415344238
141,141,31.82706853384705,6.608829021453857
142,142,35.5298559612252,6.233243942260742
143,143,34.10139560631482,5.686403751373291
144,144,33.81965139465651,5.657698154449463
145,145,33.26710473974511,5.72709321975708
146,146,32.519502175643126,6.797524929046631
147,147,30.626908319387685,6.587234973907471
148,148,29.352385103279502,5.488326072692871
149,149,28.536935335063436,6.138179779052734
150,150,27.015112932457736,6.3931803703308105
151,151,26.122102490583007,6.250824451446533
152,152,25.921210934893118,6.243393898010254
153,153,25.370272859931998,6.526215553283691
154,154,24.69041988499934,6.4284348487854
155,155,25.091303798550527,6.431551933288574
156,156,26.088992029733127,5.335087299346924
157,157,27.381493059402317,4.971442699432373
158,158,29.730334824256175,5.902673721313477
159,159,26.7962324837199,4.942690849304199
160,160,24.644973592369602,5.192333221435547
161,161,23.491988271214986,4.727914333343506
162,162,23.385009751591237,4.432369232177734
163,163,24.31537084676272,5.037720203399658
164,164,26.09863716459571,5.226180076599121
165,165,27.77886019002828,5.179836273193359
166,166,28.852828100031882,5.730816841125488
167,167,28.779129704551355,4.945366859436035
