method_id,metric,field,phase1_value,phase2a_recomputed_value,absolute_difference,status
b_e2,grad_mae,n_tied,0,0,0.0,PASS
b_e2,grad_mae,n_valid,168,168,0.0,PASS
b_e2,grad_w1,cnn_mean,0.23294292018237558,0.23294292018237575,1.6653345369377348e-16,PASS
b_e2,grad_w1,candidate_mean,0.15426182485335077,0.15426182485335077,0.0,PASS
b_e2,grad_w1,mean_raw_delta,-0.07868109532902483,-0.07868109532902483,0.0,PASS
b_e2,grad_w1,mean_improvement_delta,0.07868109532902483,0.07868109532902483,0.0,PASS
b_e2,grad_w1,median_improvement_delta,0.08337970931762956,0.08337970931762956,0.0,PASS
b_e2,grad_w1,n_improved,162,162,0.0,PASS
b_e2,grad_w1,n_worsened,6,6,0.0,PASS
b_e2,grad_w1,n_tied,0,0,0.0,PASS
b_e2,grad_w1,n_valid,168,168,0.0,PASS
b_e2,grad_kurtosis_abs_delta,cnn_mean,3.7003760441443694,3.70037604414437,4.440892098500626e-16,PASS
b_e2,grad_kurtosis_abs_delta,candidate_mean,2.9747054279552594,2.9747054279552594,0.0,PASS
b_e2,grad_kurtosis_abs_delta,mean_raw_delta,-0.7256706161891101,-0.7256706161891101,0.0,PASS
b_e2,grad_kurtosis_abs_delta,mean_improvement_delta,0.7256706161891101,0.7256706161891101,0.0,PASS
b_e2,grad_kurtosis_abs_delta,median_improvement_delta,-0.28469732671105596,-0.28469732671105596,0.0,PASS
b_e2,grad_kurtosis_abs_delta,n_improved,72,72,0.0,PASS
b_e2,grad_kurtosis_abs_delta,n_worsened,96,96,0.0,PASS
b_e2,grad_kurtosis_abs_delta,n_tied,0,0,0.0,PASS
b_e2,grad_kurtosis_abs_delta,n_valid,168,168,0.0,PASS
b_e2,psd_log_l2,cnn_mean,0.8335247431666106,0.833524743166611,3.3306690738754696e-16,PASS
b_e2,psd_log_l2,candidate_mean,0.8508610050202419,0.8508610050202419,0.0,PASS
b_e2,psd_log_l2,mean_raw_delta,0.017336261853631296,0.0173362618536313,3.469446951953614e-18,PASS
b_e2,psd_log_l2,mean_improvement_delta,-0.017336261853631296,-0.0173362618536313,3.469446951953614e-18,PASS
b_e2,psd_log_l2,median_improvement_delta,0.005007870549460225,0.005007870549460225,0.0,PASS
b_e2,psd_log_l2,n_improved,86,86,0.0,PASS
b_e2,psd_log_l2,n_worsened,82,82,0.0,PASS
b_e2,psd_log_l2,n_tied,0,0,0.0,PASS
b_e2,psd_log_l2,n_valid,168,168,0.0,PASS
b_e2,psd_slope_abs_delta,cnn_mean,0.9150108562505738,0.9150108562505733,4.440892098500626e-16,PASS
b_e2,psd_slope_abs_delta,candidate_mean,1.202895420433148,1.2028954204331481,2.220446049250313e-16,PASS
b_e2,psd_slope_abs_delta,mean_raw_delta,0.28788456418257397,0.28788456418257397,0.0,PASS
b_e2,psd_slope_abs_delta,mean_improvement_delta,-0.28788456418257397,-0.28788456418257397,0.0,PASS
b_e2,psd_slope_abs_delta,median_improvement_delta,-0.2945631788931947,-0.2945631788931947,0.0,PASS
b_e2,psd_slope_abs_delta,n_improved,0,0,0.0,PASS
b_e2,psd_slope_abs_delta,n_worsened,168,168,0.0,PASS
b_e2,psd_slope_abs_delta,n_tied,0,0,0.0,PASS
b_e2,psd_slope_abs_delta,n_valid,168,168,0.0,PASS
b_e2,exceed_abs_t5,cnn_mean,0.004242333333333336,0.004242333333333336,0.0,PASS
b_e2,exceed_abs_t5,candidate_mean,0.0020346666666666716,0.0020346666666666716,0.0,PASS
b_e2,exceed_abs_t5,mean_raw_delta,-0.0022076666666666646,-0.0022076666666666646,0.0,PASS
b_e2,exceed_abs_t5,mean_improvement_delta,0.0022076666666666646,0.0022076666666666646,0.0,PASS
b_e2,exceed_abs_t5,median_improvement_delta,0.0023200000000000442,0.0023200000000000442,0.0,PASS
b_e2,exceed_abs_t5,n_improved,132,132,0.0,PASS
b_e2,exceed_abs_t5,n_worsened,36,36,0.0,PASS
b_e2,exceed_abs_t5,n_tied,0,0,0.0,PASS
b_e2,exceed_abs_t5,n_valid,168,168,0.0,PASS
b_e2,exceed_abs_t10,cnn_mean,0.006580809523809519,0.006580809523809515,4.336808689942018e-18,PASS
b_e2,exceed_abs_t10,candidate_mean,0.00263711904761905,0.00263711904761905,0.0,PASS
b_e2,exceed_abs_t10,mean_raw_delta,-0.0039436904761904696,-0.003943690476190468,1.734723475976807e-18,PASS
b_e2,exceed_abs_t10,mean_improvement_delta,0.0039436904761904696,0.003943690476190468,1.734723475976807e-18,PASS
b_e2,exceed_abs_t10,median_improvement_delta,0.0025900000000000367,0.0025900000000000367,0.0,PASS
b_e2,exceed_abs_t10,n_improved,134,134,0.0,PASS
b_e2,exceed_abs_t10,n_worsened,34,34,0.0,PASS
b_e2,exceed_abs_t10,n_tied,0,0,0.0,PASS
b_e2,exceed_abs_t10,n_valid,168,168,0.0,PASS
b_e2,exceed_abs_t15,cnn_mean,0.0062105,0.0062104999999999955,4.336808689942018e-18,PASS
b_e2,exceed_abs_t15,candidate_mean,0.0018069047619047613,0.0018069047619047628,1.5178830414797062e-18,PASS
b_e2,exceed_abs_t15,mean_raw_delta,-0.004403595238095239,-0.004403595238095236,2.6020852139652106e-18,PASS
b_e2,exceed_abs_t15,mean_improvement_delta,0.004403595238095239,0.004403595238095236,2.6020852139652106e-18,PASS
b_e2,exceed_abs_t15,median_improvement_delta,0.0028399999999999996,0.0028399999999999996,0.0,PASS
b_e2,exceed_abs_t15,n_improved,141,141,0.0,PASS
b_e2,exceed_abs_t15,n_worsened,27,27,0.0,PASS
b_e2,exceed_abs_t15,n_tied,0,0,0.0,PASS
b_e2,exceed_abs_t15,n_valid,168,168,0.0,PASS
b_e2,exceed_abs_p90,cnn_mean,0.010253619047619053,0.010253619047619051,1.734723475976807e-18,PASS
b_e2,exceed_abs_p90,candidate_mean,0.0027916428571428615,0.0027916428571428606,8.673617379884035e-19,PASS
b_e2,exceed_abs_p90,mean_raw_delta,-0.007461976190476192,-0.0074619761904761925,8.673617379884035e-19,PASS
b_e2,exceed_abs_p90,mean_improvement_delta,0.007461976190476192,0.0074619761904761925,8.673617379884035e-19,PASS
b_e2,exceed_abs_p90,median_improvement_delta,0.006087999999999996,0.006087999999999996,0.0,PASS
b_e2,exceed_abs_p90,n_improved,148,148,0.0,PASS
b_e2,exceed_abs_p90,n_worsened,20,20,0.0,PASS
b_e2,exceed_abs_p90,n_tied,0,0,0.0,PASS
b_e2,exceed_abs_p90,n_valid,168,168,0.0,PASS
b_e2,comp_curve_l1,cnn_mean,115.52777777777779,115.52777777777774,4.263256414560601e-14,PASS
b_e2,comp_curve_l1,candidate_mean,88.00595238095238,88.00595238095238,0.0,PASS
b_e2,comp_curve_l1,mean_raw_delta,-27.5218253968254,-27.5218253968254,0.0,PASS
b_e2,comp_curve_l1,mean_improvement_delta,27.5218253968254,27.5218253968254,0.0,PASS
b_e2,comp_curve_l1,median_improvement_delta,26.5,26.5,0.0,PASS
b_e2,comp_curve_l1,n_improved,155,155,0.0,PASS
b_e2,comp_curve_l1,n_worsened,13,13,0.0,PASS
b_e2,comp_curve_l1,n_tied,0,0,0.0,PASS
b_e2,comp_curve_l1,n_valid,168,168,0.0,PASS
b_e2,comp_abs_t5,cnn_mean,64.38095238095238,64.38095238095238,0.0,PASS
b_e2,comp_abs_t5,candidate_mean,56.166666666666664,56.166666666666664,0.0,PASS
b_e2,comp_abs_t5,mean_raw_delta,-8.214285714285714,-8.214285714285714,0.0,PASS
b_e2,comp_abs_t5,mean_improvement_delta,8.214285714285714,8.214285714285714,0.0,PASS
b_e2,comp_abs_t5,median_improvement_delta,5.5,5.5,0.0,PASS
b_e2,comp_abs_t5,n_improved,135,135,0.0,PASS
b_e2,comp_abs_t5,n_worsened,28,28,0.0,PASS
b_e2,comp_abs_t5,n_tied,5,5,0.0,PASS
b_e2,comp_abs_t5,n_valid,168,168,0.0,PASS
b_e2,comp_abs_t10,cnn_mean,187.16666666666666,187.16666666666666,0.0,PASS
b_e2,comp_abs_t10,candidate_mean,167.58928571428572,167.58928571428572,0.0,PASS
b_e2,comp_abs_t10,mean_raw_delta,-19.577380952380953,-19.577380952380953,0.0,PASS
b_e2,comp_abs_t10,mean_improvement_delta,19.577380952380953,19.577380952380953,0.0,PASS
b_e2,comp_abs_t10,median_improvement_delta,17.5,17.5,0.0,PASS
b_e2,comp_abs_t10,n_improved,134,134,0.0,PASS
b_e2,comp_abs_t10,n_worsened,34,34,0.0,PASS
b_e2,comp_abs_t10,n_tied,0,0,0.0,PASS
b_e2,comp_abs_t10,n_valid,168,168,0.0,PASS
b_e2,comp_abs_t15,cnn_mean,116.80952380952381,116.80952380952381,0.0,PASS
b_e2,comp_abs_t15,candidate_mean,77.4702380952381,77.4702380952381,0.0,PASS
b_e2,comp_abs_t15,mean_raw_delta,-39.339285714285715,-39.339285714285715,0.0,PASS
b_e2,comp_abs_t15,mean_improvement_delta,39.339285714285715,39.339285714285715,0.0,PASS
b_e2,comp_abs_t15,median_improvement_delta,36.5,36.5,0.0,PASS
b_e2,comp_abs_t15,n_improved,150,150,0.0,PASS
b_e2,comp_abs_t15,n_worsened,17,17,0.0,PASS
b_e2,comp_abs_t15,n_tied,1,1,0.0,PASS
b_e2,comp_abs_t15,n_valid,168,168,0.0,PASS
b_e2,pd_distance,cnn_mean,27.406283078086062,27.406283078086055,7.105427357601002e-15,PASS
b_e2,pd_distance,candidate_mean,23.98758167822224,23.98758167822223,1.0658141036401503e-14,PASS
b_e2,pd_distance,mean_raw_delta,-3.4187013998638194,-3.418701399863816,3.552713678800501e-15,PASS
b_e2,pd_distance,mean_improvement_delta,3.4187013998638194,3.418701399863816,3.552713678800501e-15,PASS
b_e2,pd_distance,median_improvement_delta,3.5686212561646897,3.5686212561646897,0.0,PASS
b_e2,pd_distance,n_improved,166,166,0.0,PASS
b_e2,pd_distance,n_worsened,2,2,0.0,PASS
b_e2,pd_distance,n_tied,0,0,0.0,PASS
b_e2,pd_distance,n_valid,168,168,0.0,PASS
b_e2,mt_distance,cnn_mean,5.867795200574966,5.867795200574966,0.0,PASS
b_e2,mt_distance,candidate_mean,5.677425131911323,5.677425131911323,0.0,PASS
b_e2,mt_distance,mean_raw_delta,-0.19037006866364253,-0.19037006866364253,0.0,PASS
b_e2,mt_distance,mean_improvement_delta,0.19037006866364253,0.19037006866364253,0.0,PASS
b_e2,mt_distance,median_improvement_delta,0.0861814022064209,0.0861814022064209,0.0,PASS
b_e2,mt_distance,n_improved,90,90,0.0,PASS
b_e2,mt_distance,n_worsened,78,78,0.0,PASS
b_e2,mt_distance,n_tied,0,0,0.0,PASS
b_e2,mt_distance,n_valid,168,168,0.0,PASS
bicubic,psnruv,cnn_mean,31.192500433861134,31.192500433861134,0.0,PASS
bicubic,psnruv,candidate_mean,32.22024489796834,32.22024489796837,2.842170943040401e-14,PASS
bicubic,psnruv,mean_raw_delta,1.0277444641072029,1.0277444641072024,4.440892098500626e-16,PASS
bicubic,psnruv,mean_improvement_delta,1.0277444641072029,1.0277444641072024,4.440892098500626e-16,PASS
bicubic,psnruv,median_improvement_delta,0.9856644365572613,0.9856644365572613,0.0,PASS
bicubic,psnruv,n_improved,168,168,0.0,PASS
bicubic,psnruv,n_worsened,0,0,0.0,PASS
bicubic,psnruv,n_tied,0,0,0.0,PASS
bicubic,psnruv,n_valid,168,168,0.0,PASS
bicubic,ssim_speed,cnn_mean,,,,PASS
bicubic,ssim_speed,candidate_mean,,,,PASS
bicubic,ssim_speed,mean_raw_delta,,,,PASS
bicubic,ssim_speed,mean_improvement_delta,,,,PASS
bicubic,ssim_speed,median_improvement_delta,,,,PASS
bicubic,ssim_speed,n_improved,,,,PASS
bicubic,ssim_speed,n_worsened,,,,PASS
bicubic,ssim_speed,n_tied,,,,PASS
bicubic,ssim_speed,n_valid,0,0,0.0,PASS
bicubic,speed_mae,cnn_mean,0.6940701629397319,0.6940701629397316,3.3306690738754696e-16,PASS
bicubic,speed_mae,candidate_mean,0.596289377222885,0.596289377222885,0.0,PASS
bicubic,speed_mae,mean_raw_delta,-0.09778078571684681,-0.09778078571684681,0.0,PASS
bicubic,speed_mae,mean_improvement_delta,0.09778078571684681,0.09778078571684681,0.0,PASS
bicubic,speed_mae,median_improvement_delta,0.09872785766255626,0.09872785766255626,0.0,PASS
bicubic,speed_mae,n_improved,168,168,0.0,PASS
bicubic,speed_mae,n_worsened,0,0,0.0,PASS
bicubic,speed_mae,n_tied,0,0,0.0,PASS
bicubic,speed_mae,n_valid,168,168,0.0,PASS
bicubic,speed_rmse,cnn_mean,1.1077586003651096,1.1077586003651088,8.881784197001252e-16,PASS
bicubic,speed_rmse,candidate_mean,1.0156229105954462,1.0156229105954468,6.661338147750939e-16,PASS
bicubic,speed_rmse,mean_raw_delta,-0.09213568976966333,-0.0921356897696633,2.7755575615628914e-17,PASS
