method_id,display_name,psnruv,ssim_speed,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
b_e2,Candidate B + repaired E2,1.4964399101829775,,0.12564833950448212,0.1448357505212928,48.25390080212737,29.184428368616544,22.658771182887264,0.037052423740163744,0.07868109532902483,0.7256706161891101,-0.0173362618536313,-0.28788456418257397,0.0022076666666666646,0.0039436904761904696,0.004403595238095239,0.007461976190476192,27.521825396825392,8.214285714285714,19.577380952380953,39.339285714285715,3.4187013998638194,0.19037006866364253
bicubic,Bicubic baseline,1.0277444641072029,,0.09778078571684681,0.09213568976966333,38.1306418143036,-10.239077203490119,-5.880469089548486,-0.0205806403938131,-0.09524540153519293,-2.9159116807358783,-0.5290216621213962,-0.7533830490011217,-0.0052134285714285755,-0.0019310000000000009,-0.001156333333333334,-0.0006426428571428582,-57.657738095238095,-14.910714285714286,-84.64880952380952,-60.767857142857146,,
c_e2,Candidate C + repaired E2,1.5404438150354796,,0.1292135210455116,0.15110963734833863,48.760276346047554,32.36151618847878,28.64014002832454,0.03748816286840931,0.07475268552102302,0.7466550374019327,-0.02532785772989634,-0.33584763438645415,0.0020258095238095213,0.004167761904761898,0.0046994523809523805,0.00860316666666667,23.65873015873016,7.8273809523809526,11.18452380952381,34.54761904761905,3.1376837505761936,0.2049841596966698
candidate_b,Candidate B (full scalar-field proxy scaffold),2.3273262539916706,,0.17998900409304022,0.23147941449196757,67.0773823213162,18.584326968534906,15.654850725994065,0.03665165686460693,0.033329921952621924,0.7629678313864401,-0.1418968154310099,-0.40268261189673926,-0.0006443809523809481,0.0029352142857142815,0.0027371666666666655,0.0051665952380952375,3.2023809523809517,5.666666666666667,-2.0416666666666665,6.559523809523809,4.699285406928847,-0.29338648205711726
candidate_c,Candidate C (Candidate B + local-maxima proxy),2.2881681219429533,,0.17939653195933983,0.22812061471276698,65.7262304538988,29.116908942328262,27.358080097695524,0.03859987981812735,0.03878461157458482,0.424171220433611,-0.11919319325711623,-0.3568732703611929,-0.001303928571428569,0.0030056428571428543,0.004663499999999999,0.007954833333333336,2.8263888888888884,2.4761904761904763,-12.833333333333334,11.0,4.91189573244279,-0.21249146404720487
f1_grad_e2,Candidate F: grad + repaired E2-low,1.302440061650394,,0.10415635472081398,0.11868339222335673,40.981256867341024,20.539085734236817,12.706182857157804,0.03652077534431856,0.09482985464932035,0.44030005032425557,0.018849898215204466,-0.22352503812266894,0.0017060714285714298,0.0014289047619047569,0.00353742857142857,0.005589261904761904,34.34623015873016,13.654761904761905,36.42261904761905,44.88095238095238,3.568033790476663,0.2112251945904323
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,1.3837438352725429,,0.11526782690993868,0.13011553438908527,44.84793250265411,25.11836115900707,17.922863350423853,0.036879986288568985,0.08706762926417204,0.5520966080329387,0.004368666562752764,-0.23274240104747546,0.0021272380952380952,0.0031055952380952346,0.003947404761904761,0.006406404761904762,32.44940476190476,11.208333333333334,28.964285714285715,44.904761904761905,3.658175121769499,0.1935654254186721
f3_grad_crit,Candidate F: grad + critical-maxima proxy,2.111657046508298,,0.1614876672401121,0.20520319106626156,57.47328436988058,13.250774914350814,7.014362734256544,0.040351024366197696,0.0574443836332435,1.1747906198294704,-0.06933609489530437,-0.7071262320165759,-0.0020266666666666636,-0.0020506904761904803,0.002952738095238095,0.00567788095238096,18.776785714285715,7.208333333333333,8.0,30.666666666666668,5.388398630756623,-0.11621218352090745
gan,GAN baseline (pretrained),-2.0545197448410435,,-0.20852420745637978,-0.269729042798983,-79.06186685547729,-40.347854562361185,-43.379737263787085,-0.0315519225119416,0.17650170756965133,-0.5006402621283728,0.31963690559184815,-0.0331772260183242,-0.003911666666666667,-0.017715642857142857,-0.003387047619047618,-0.002092380952380945,-9.128968253968251,40.56547619047619,114.27380952380952,-33.101190476190474,6.542193054958055,-2.4803543403035118
grad_levelset,B-factorial: gradient + level-set,2.2708858531262783,,0.17552225766875554,0.22340166990765326,65.49585703145289,17.303554613809098,13.038947132899818,0.037456171715940186,0.038620173145157054,0.8516698406305279,-0.1089686997338047,-0.3867767972325796,7.897619047618983e-05,0.0025211428571428546,0.0024693095238095225,0.0047669761904761895,6.209325396825396,5.785714285714286,2.363095238095238,10.125,4.78692416591977,-0.331790220169794
grad_only,B-factorial: gradient only,2.1773389905536185,,0.16548745273355947,0.21147588390336752,62.11991393738915,22.45990574704046,17.84005086174453,0.040237608875728435,0.05781509170019947,1.1905633989200755,-0.05950883340043343,-0.47566693518699005,0.0006300238095238072,0.002936452380952377,0.0031492857142857147,0.00613052380952381,18.392857142857142,10.375,19.43452380952381,22.93452380952381,4.473656171447863,-0.188198223000481
levelset_only,B-factorial: level-set only,2.5961336646520157,,0.20036969300896465,0.2535596464331058,73.61589737401411,12.076959861400937,12.142202425757116,0.02503524931025105,-0.016210505424841808,-1.5609642552627843,-0.29954154364285235,-0.5483179141137481,-0.0022758571428571454,0.0021131190476190434,0.0018847380952380958,0.0040568809523809524,-27.507936507936513,-5.303571428571429,-44.898809523809526,-27.297619047619047,-2.1889852088542767,-0.13981095665977114
speed_grad,B-factorial: speed + gradient,2.2800629298491195,,0.17617115372811035,0.22648174864570544,65.61225967637736,21.62528297182801,19.668594928405383,0.036754002738276406,0.0370835513287273,0.76634545667615,-0.13584091134806417,-0.37250628637383376,-0.0007692142857142847,0.0032799285714285704,0.0030946666666666657,0.00602745238095238,4.198412698412698,5.571428571428571,-0.8333333333333334,7.684523809523809,4.435660360731483,-0.42267972514742896
speed_levelset,B-factorial: speed + level-set,2.58640122553656,,0.2007027687337356,0.25469919122103296,73.75443449514671,13.374662911623416,14.104108142122366,0.026295218159155635,-0.01277219519938145,-1.5711149702792315,-0.28842010372132226,-0.5341589963416712,-0.002612761904761903,0.002098976190476188,0.002101071428571428,0.004267095238095237,-25.9593253968254,-5.023809523809524,-43.05357142857143,-25.261904761904763,-2.0300076777540372,-0.07630947657993861
speed_only,B-factorial: speed only,2.5968608767373276,,0.19975490606919818,0.25455682597630735,73.33716247189598,9.395139519576379,8.900833919948925,0.02484680067043096,-0.016150515666118845,-1.4308456069118243,-0.29753033847758714,-0.5397480423028673,-0.002314023809523811,0.00168833333333333,0.001456619047619048,0.0033026904761904756,-26.671626984126988,-4.833333333333333,-42.839285714285715,-26.761904761904763,-2.171993541606045,-0.13179966381617955
uv,Candidate UV (vector-only control),2.596748982467617,,0.19827400835282374,0.2522907569594016,72.69397955879161,5.878563671293996,4.0405668905351,0.024312882577730916,-0.016666887121180484,-1.8788751089838955,-0.3002717240854764,-0.5409920572344856,-0.0016346190476190477,0.0011111666666666661,0.0008733809523809519,0.002384809523809524,-26.387896825396833,-4.5,-41.642857142857146,-26.75595238095238,-2.2058370318745433,-0.14407050325756982
