file_path,sha256_before,sha256_after,status
docs/primary_candidate_artifact_reference.md,48c21170082d55a7d930ea0e92bee29ed559a667a5f3f5d81bf95ce52f6217d5,48c21170082d55a7d930ea0e92bee29ed559a667a5f3f5d81bf95ce52f6217d5,unchanged
docs/unified_candidate_evaluation_inventory.md,3112abd2d99ab3b2dacda91b079789fed79de08050d5ba78dbe2a579ee1155cc,3112abd2d99ab3b2dacda91b079789fed79de08050d5ba78dbe2a579ee1155cc,unchanged
docs/unified_candidate_evaluation_phase1.md,d562fdf1f11ad34bc72d9f57441c7099fc3808ce5d9c40820a0fc39e73c7aa18,d562fdf1f11ad34bc72d9f57441c7099fc3808ce5d9c40820a0fc39e73c7aa18,unchanged
logs/build_unified_candidate_evaluation.log,1ef306572f925151c6be1427626d2e3ab8f8c4d47edcecb950c93bbf56f74ac3,1ef306572f925151c6be1427626d2e3ab8f8c4d47edcecb950c93bbf56f74ac3,unchanged
ttk_runs_fixed/unified_candidate_evaluation/column_mapping.csv,b17c74d7b39509e8d305faa8c8a6c4a22ca063c14f12b8668947f3b436f72816,b17c74d7b39509e8d305faa8c8a6c4a22ca063c14f12b8668947f3b436f72816,unchanged
ttk_runs_fixed/unified_candidate_evaluation/method_inventory.csv,4e34c13c2519be08e3237f62ca0d8dca597dc3943d00e848b232d2a77387025f,4e34c13c2519be08e3237f62ca0d8dca597dc3943d00e848b232d2a77387025f,unchanged
ttk_runs_fixed/unified_candidate_evaluation/unified_primary_method_summary.csv,9aefb78dbfe1239d8a8781622254999c9e1bb72ec872f328bfdbf500c2758f84,9aefb78dbfe1239d8a8781622254999c9e1bb72ec872f328bfdbf500c2758f84,unchanged
ttk_runs_fixed/unified_candidate_evaluation/unified_primary_missingness.csv,3648211d066ca670564658dba4e83fac628a890e40e16b6e87109d62abb3cb87,3648211d066ca670564658dba4e83fac628a890e40e16b6e87109d62abb3cb87,unchanged
ttk_runs_fixed/unified_candidate_evaluation/unified_primary_pairwise_vs_cnn.csv,f6da687e5f1b41d11083943b02319c752d11278d8de981a61ec3aeda0aa68a92,f6da687e5f1b41d11083943b02319c752d11278d8de981a61ec3aeda0aa68a92,unchanged
ttk_runs_fixed/unified_candidate_evaluation/unified_primary_per_sample_long.csv,0c70abb05fc76f41651bbb66e1090fb1cd7ac310a5b8e6446f78c69a6427e7f1,0c70abb05fc76f41651bbb66e1090fb1cd7ac310a5b8e6446f78c69a6427e7f1,unchanged
ttk_runs_fixed/unified_candidate_evaluation/unified_primary_topology_validation.csv,a72ca767caf20acecd32e9168d2dcc40dfa2d909912669bfdb65792b7ecb4bc1,a72ca767caf20acecd32e9168d2dcc40dfa2d909912669bfdb65792b7ecb4bc1,unchanged
ttk_runs_fixed/unified_candidate_evaluation/unified_primary_wide.csv,a794e2ac78efc1af6498b1bb39934d93d9c4bdb9f78f0479b693e773895ce4b2,a794e2ac78efc1af6498b1bb39934d93d9c4bdb9f78f0479b693e773895ce4b2,unchanged
