method,pd_n,pd_mean,mt_n,mt_mean,paired_n,pd_mt_pearson
cnn,50,34.6348923738,50,10.5203298378,50,0.796986111408
gan,50,37.1040938487,50,12.8759670448,50,0.190793734153
