sample_idx,method_a,method_b,delta_sample_idx,delta_psnr,delta_wpd_bias,delta_wpd_mae,delta_wpd_rmse,delta_wpd_w1,delta_psd_log_l2,delta_psd_slope_gt,delta_psd_slope_sr,delta_psd_slope_delta,delta_psd_slope_abs_delta,delta_grad_mae,delta_grad_w1,delta_grad_kurtosis_gt,delta_grad_kurtosis_sr,delta_grad_kurtosis_delta,delta_grad_kurtosis_abs_delta,delta_exceed_frac_gt_t5,delta_exceed_frac_sr_t5,delta_exceed_frac_delta_t5,delta_exceed_frac_abs_delta_t5,delta_exceed_frac_gt_t10,delta_exceed_frac_sr_t10,delta_exceed_frac_delta_t10,delta_exceed_frac_abs_delta_t10,delta_exceed_frac_gt_t15,delta_exceed_frac_sr_t15,delta_exceed_frac_delta_t15,delta_exceed_frac_abs_delta_t15,delta_exceed_frac_gt_p90,delta_exceed_frac_sr_p90,delta_exceed_frac_delta_p90,delta_exceed_frac_abs_delta_p90,delta_exceed_frac_gt_p95,delta_exceed_frac_sr_p95,delta_exceed_frac_delta_p95,delta_exceed_frac_abs_delta_p95,delta_exceed_frac_gt_p99,delta_exceed_frac_sr_p99,delta_exceed_frac_delta_p99,delta_exceed_frac_abs_delta_p99,delta_pd_distance,delta_mt_distance
10,cnn,gan,0.0,0.2856183262710452,-432.5067440984026,-383.5368822375385,-773.3912968340228,-392.95982432869437,-0.4425293841239175,0.0,0.05450725824549418,0.05450725824549418,-0.05450725824549418,-0.13809947660253158,-0.1828151112550503,0.0,5.0478967350067165,5.0478967350067165,3.8942877310929447,0.0,-0.01259599999999994,-0.01259599999999994,0.01259599999999994,0.0,-0.020764000000000005,-0.020764000000000005,0.017452000000000023,0.0,-0.023443999999999965,-0.023443999999999965,-0.023443999999999965,0.0,-0.02410800000000002,-0.02410800000000002,-0.02410800000000002,0.0,-0.03152400000000005,-0.03152400000000005,-0.03152400000000005,0.0,-0.03501199999999999,-0.03501199999999999,-0.03501199999999999,-6.796116036082864,-4.519826889038086
11,cnn,gan,0.0,0.28764684060285006,-467.05290508848975,-420.58379237498275,-788.2169195296538,-431.6520215315518,-0.43480835525743733,0.0,0.13879897345590908,0.1387989734559092,-0.1387989734559092,-0.13876833808021932,-0.2012745990044283,0.0,4.471196497455892,4.471196497455892,4.471196497455892,0.0,-0.012456000000000023,-0.012456000000000023,0.012456000000000023,0.0,-0.021351999999999927,-0.021351999999999927,-0.01716799999999996,0.0,-0.02298,-0.02298,-0.02298,0.0,-0.021807999999999994,-0.02180800000000005,-0.02180800000000005,0.0,-0.027403999999999984,-0.027403999999999984,-0.027403999999999984,0.0,-0.039799999999999974,-0.039799999999999974,-0.039799999999999974,-6.524148847157072,-5.916238784790039
12,cnn,gan,0.0,0.28328137421412336,-500.3860756502695,-461.25484333429085,-800.9732087286447,-470.03136181962736,-0.43480314256699204,0.0,0.09247354283775655,0.09247354283775655,-0.09247354283775655,-0.1442856083171531,-0.20237501754410164,0.0,1.4640530985919575,1.4640530985919575,1.4640530985919575,0.0,-0.009356000000000031,-0.009356000000000031,0.009356000000000031,0.0,-0.019060000000000077,-0.019060000000000077,-0.019060000000000077,0.0,-0.023396000000000028,-0.023396000000000028,-0.023396000000000028,0.0,-0.022335999999999967,-0.02233599999999991,-0.02233599999999991,0.0,-0.02531599999999995,-0.02531599999999995,-0.02531599999999995,0.0,-0.03717600000000004,-0.03717600000000004,-0.03717600000000004,-4.394534682280451,-6.428981781005859
13,cnn,gan,0.0,0.27806256819853203,-542.507595130282,-506.8382240023129,-802.94077828033,-510.59915154694636,-0.47547737544568025,0.0,0.02319856055724112,0.02319856055724112,-0.02319856055724112,-0.14992569988892418,-0.2260127389853183,0.0,2.6763297485966255,2.6763297485966255,1.3572640843020274,0.0,-0.01324000000000003,-0.01324000000000003,0.01324000000000003,0.0,-0.018332000000000015,-0.018332000000000015,-0.018332000000000015,0.0,-0.025343999999999978,-0.025343999999999978,-0.025343999999999978,0.0,-0.02489600000000003,-0.02489600000000003,-0.02489600000000003,0.0,-0.024036000000000002,-0.024036000000000002,-0.024036000000000002,0.0,-0.03689999999999999,-0.03689999999999999,-0.03689999999999999,-5.609295647934971,-7.944742202758789
14,cnn,gan,0.0,0.25684304446999207,-544.9185996344254,-515.2857623281539,-759.6908141412314,-523.6879588392226,-0.44854549280172584,0.0,-0.07924893979144942,-0.07924893979144954,0.07924893979144954,-0.15771872980389734,-0.23959440568779142,0.0,0.9815107399478489,0.9815107399478489,0.6757154825955798,0.0,-0.011012000000000022,-0.011012000000000022,0.011012000000000022,0.0,-0.02028399999999997,-0.02028399999999997,-0.02028399999999997,0.0,-0.02462399999999998,-0.02462399999999998,-0.02462399999999998,0.0,-0.025695999999999997,-0.025696000000000052,-0.025696000000000052,0.0,-0.029967999999999995,-0.029967999999999995,-0.029967999999999995,0.0,-0.03215600000000002,-0.03215600000000002,-0.03215600000000002,-6.864918483510458,-4.269493103027344
15,cnn,gan,0.0,0.2367248156673014,-534.7015634527825,-508.6559915574635,-710.5691064017092,-531.3812052324629,-0.4561282358847296,0.0,-0.06168643477922786,-0.06168643477922786,0.06168643477922786,-0.14949802171419208,-0.24834171936291846,0.0,2.2163916886231885,2.2163916886231885,0.5690705920923573,0.0,-0.011552000000000007,-0.011552000000000007,-0.0022079999999999878,0.0,-0.020731999999999973,-0.020731999999999973,-0.020731999999999973,0.0,-0.02579600000000004,-0.02579600000000004,-0.02579600000000004,0.0,-0.027063999999999977,-0.027063999999999977,-0.027063999999999977,0.0,-0.02191599999999999,-0.02191599999999999,-0.02191599999999999,0.0,-0.022884000000000015,-0.022884000000000015,-0.022884000000000015,-7.081212837806188,-2.648252487182617
16,cnn,gan,0.0,0.20938800220359965,-518.0779843523483,-489.546581935796,-653.4862377446116,-517.0582321647112,-0.4304667344453996,0.0,-0.08104241793841094,-0.08104241793841083,0.08104241793841083,-0.150020724595876,-0.2563353709016519,0.0,0.7582236910581663,0.7582236910581663,-0.7582236910581663,0.0,-0.010851999999999973,-0.010851999999999973,-0.010851999999999973,0.0,-0.01597599999999999,-0.01597599999999999,-0.01597599999999999,0.0,-0.030268000000000073,-0.030268000000000073,-0.030268000000000073,0.0,-0.022760000000000002,-0.022760000000000002,-0.022760000000000002,0.0,-0.020500000000000018,-0.020500000000000018,-0.020500000000000018,0.0,-0.020452000000000026,-0.020452000000000026,-0.020452000000000026,-8.331158055871995,-5.068929672241211
17,cnn,gan,0.0,0.20195947061449004,-559.7923751547733,-539.0617679145271,-718.9061577175653,-559.3700038253119,-0.3671151305304883,0.0,-0.03639914343465417,-0.036399143434654224,0.036399143434654224,-0.13958224777960998,-0.2216353525582018,0.0,0.5063523790610702,0.5063523790610702,-0.5063523790610702,0.0,-0.009228000000000014,-0.009228000000000014,-0.009228000000000014,0.0,-0.01489600000000002,-0.01489600000000002,-0.01489600000000002,0.0,-0.027139999999999942,-0.027139999999999942,-0.027139999999999942,0.0,-0.025136000000000047,-0.025136000000000047,-0.025136000000000047,0.0,-0.022596000000000005,-0.022596000000000005,-0.022596000000000005,0.0,-0.01784800000000003,-0.01784800000000003,-0.01784800000000003,-8.31253895131831,-3.502716064453125
18,cnn,gan,0.0,0.20539235072508788,-600.7573672432736,-580.7336087790281,-766.2528439080888,-600.3459023489995,-0.33930960605964233,0.0,0.029409954511047914,0.029409954511047998,-0.029409954511047998,-0.12840636026837893,-0.19295307055397226,0.0,2.3670917331181727,2.3670917331181727,-2.3670917331181727,0.0,-0.00656000000000001,-0.00656000000000001,-0.00656000000000001,0.0,-0.01445200000000002,-0.01445200000000002,-0.01445200000000002,0.0,-0.02548399999999995,-0.02548399999999995,-0.02548399999999995,0.0,-0.021916000000000047,-0.021916000000000047,-0.021916000000000047,0.0,-0.020919999999999994,-0.020919999999999994,-0.020919999999999994,0.0,-0.01785199999999998,-0.01785199999999998,-0.01785199999999998,-9.459816686557495,-8.381495952606201
19,cnn,gan,0.0,0.20730201763440803,-677.9680223036139,-651.4819348093342,-839.7519150695189,-677.4752310230524,-0.3509560325727874,0.0,0.04507509657761838,0.04507509657761832,-0.04507509657761832,-0.13656729478876656,-0.20056694773002842,0.0,4.188903176608685,4.188903176608685,-4.188903176608685,0.0,-0.0045319999999999805,-0.0045319999999999805,-0.0045319999999999805,0.0,-0.013880000000000003,-0.013880000000000003,-0.013880000000000003,0.0,-0.020743999999999985,-0.020743999999999985,-0.020743999999999985,0.0,-0.02712399999999998,-0.027123999999999926,-0.027123999999999926,0.0,-0.022467999999999988,-0.022467999999999988,-0.022467999999999988,0.0,-0.014444000000000012,-0.014444000000000012,-0.014444000000000012,-10.943333829232273,-6.230018615722656
20,cnn,gan,0.0,0.20593316974519027,-714.0930557948468,-699.9669784844373,-878.6800917655328,-713.9994839453029,-0.32414941009254683,0.0,0.07447034602114602,0.074470346021146,-0.074470346021146,-0.1275264869026127,-0.20580141009956293,0.0,-0.8720786351804577,-0.8720786351804577,0.8720786351804577,0.0,-0.0047880000000000145,-0.0047880000000000145,-0.0047880000000000145,0.0,-0.010824000000000056,-0.010824000000000056,-0.010824000000000056,0.0,-0.02665200000000001,-0.02665200000000001,-0.02665200000000001,0.0,-0.021299999999999986,-0.021299999999999986,-0.021299999999999986,0.0,-0.017732000000000026,-0.017732000000000026,-0.017732000000000026,0.0,-0.015888000000000013,-0.015888000000000013,-0.015888000000000013,-10.464251299518732,-8.583622455596924
21,cnn,gan,0.0,0.22922417217735713,-798.2447442729717,-773.646462765345,-939.6750365884564,-798.1740840603097,-0.44428750924471283,0.0,0.023173500594002916,0.023173500594003027,-0.023173500594003027,-0.14191684415586842,-0.20835831571722507,0.0,-0.6231193023087656,-0.6231193023087656,0.6231193023087656,0.0,-0.0025079999999999547,-0.0025079999999999547,-0.0025079999999999547,0.0,-0.007291999999999965,-0.007291999999999965,-0.007291999999999965,0.0,-0.05071599999999998,-0.05071599999999998,-0.05071599999999998,0.0,-0.01900799999999997,-0.019008000000000025,-0.019008000000000025,0.0,-0.019556000000000018,-0.019556000000000018,-0.019556000000000018,0.0,-0.01666799999999996,-0.01666799999999996,-0.01666799999999996,-9.774966780938954,-5.274704933166504
