=== CONFIG ===
rows=50 methods=['cnn', 'gan']
physics_columns=35

=== GLOBAL correlations (physics vs PSNR/PD/MT) ===
exceed_frac_sr_t10 :: PD: pearson=0.0377 CI[-0.2295,0.2830] spearman=-0.1085 CI[-0.3968,0.2113]
exceed_frac_sr_t10 :: MT: pearson=-0.0470 CI[-0.3098,0.1869] spearman=-0.2915 CI[-0.5617,0.0380]
exceed_frac_delta_t10 :: PSNR: pearson=-0.8012 CI[-0.8740,-0.7157] spearman=-0.8238 CI[-0.9097,-0.6567]
exceed_frac_delta_t10 :: PD: pearson=-0.2452 CI[-0.4717,-0.0032] spearman=-0.2438 CI[-0.5084,0.0716]
exceed_frac_delta_t10 :: MT: pearson=-0.3154 CI[-0.5406,-0.0837] spearman=-0.3731 CI[-0.6236,-0.0537]
exceed_frac_abs_delta_t10 :: PSNR: pearson=-0.1652 CI[-0.3856,0.0896] spearman=-0.0531 CI[-0.3577,0.2610]
exceed_frac_abs_delta_t10 :: PD: pearson=-0.5051 CI[-0.6557,-0.3460] spearman=-0.5454 CI[-0.7139,-0.3311]
exceed_frac_abs_delta_t10 :: MT: pearson=-0.6371 CI[-0.7395,-0.5100] spearman=-0.6223 CI[-0.7832,-0.3996]
exceed_frac_gt_t15 :: PSNR: pearson=-0.8145 CI[-0.8882,-0.7177] spearman=-0.8215 CI[-0.9390,-0.6091]
exceed_frac_gt_t15 :: PD: pearson=-0.1189 CI[-0.4525,0.1875] spearman=-0.1215 CI[-0.4266,0.2074]
exceed_frac_gt_t15 :: MT: pearson=-0.2244 CI[-0.4492,0.0147] spearman=-0.2892 CI[-0.5649,0.0399]
exceed_frac_sr_t15 :: PSNR: pearson=-0.9162 CI[-0.9548,-0.8597] spearman=-0.8338 CI[-0.9435,-0.6357]
exceed_frac_sr_t15 :: PD: pearson=-0.0085 CI[-0.2754,0.2414] spearman=-0.1308 CI[-0.4329,0.2146]
exceed_frac_sr_t15 :: MT: pearson=-0.0378 CI[-0.3077,0.2020] spearman=-0.2985 CI[-0.5752,0.0419]
exceed_frac_delta_t15 :: PSNR: pearson=-0.9005 CI[-0.9397,-0.8446] spearman=-0.8754 CI[-0.9550,-0.7344]
exceed_frac_delta_t15 :: PD: pearson=0.0974 CI[-0.1079,0.3015] spearman=0.0000 CI[-0.2575,0.2764]
exceed_frac_delta_t15 :: MT: pearson=0.1440 CI[-0.1459,0.3748] spearman=0.0677 CI[-0.2564,0.3701]
exceed_frac_abs_delta_t15 :: PSNR: pearson=-0.8986 CI[-0.9380,-0.8433] spearman=-0.8677 CI[-0.9402,-0.7314]
exceed_frac_abs_delta_t15 :: PD: pearson=0.0931 CI[-0.1130,0.2969] spearman=-0.0069 CI[-0.2651,0.2603]
