sample_idx,delta_metric,abs_delta_metric,delta_pd,delta_mt,z_delta_pd,z_delta_mt,topology_score,topology_consistent
4,0.0386956256442339,0.0386956256442339,-2.354678850060907,-14.950996398925781,0.6849166451222705,3.3141028138437627,3.3141028138437627,True
11,0.06649407059777973,0.06649407059777973,-6.524148847157072,-5.916238784790039,1.8977102293833261,1.3114191911284938,1.8977102293833261,True
29,0.03348150669774455,0.03348150669774455,0.02954005046774455,7.791347503662109,0.008592455086852635,1.7270639358441968,1.7270639358441968,True
23,0.05994670249567979,0.05994670249567979,5.54724344274409,1.5419397354125977,1.6135531044424676,0.3417930604461625,1.6135531044424676,True
5,0.06369176661872283,0.06369176661872283,-4.737014178659571,-7.241649627685547,1.3778778617985288,1.605215516586417,1.605215516586417,True
22,0.06371920718532575,0.06371920718532575,-5.26145201740696,-1.1666693687438965,1.5304235922197897,0.25860900067217435,1.5304235922197897,True
12,0.07359729627230782,0.07359729627230782,-4.394534682280451,-6.428981781005859,1.2782592205230596,1.4250760311943254,1.4250760311943254,True
30,0.02760425619769566,0.02760425619769566,0.21615438609627802,6.385284423828125,0.06287385515425903,1.4153898851665818,1.4153898851665818,True
31,0.017267167395925237,0.017267167395925237,0.09390348080447097,6.174263954162598,0.027314152431546307,1.3686141711180249,1.3686141711180249,True
24,0.03543799080514748,0.03543799080514748,4.6274325607554445,1.1126928329467773,1.346003335002646,0.24664432725551674,1.346003335002646,True
34,0.032285130619075036,0.032285130619075036,0.017672874971893293,5.211324691772461,0.005140593263960984,1.155164870890979,1.155164870890979,True
32,0.028369200692980767,0.028369200692980767,0.5631304333712706,4.476395606994629,0.1638004295918844,0.9922572971848659,0.9922572971848659,True
149,0.059301835714749396,0.059301835714749396,3.389177741174752,0.9028110504150391,0.985826261678293,0.20012101954386785,0.985826261678293,True
33,0.026547238075704666,0.026547238075704666,1.7626631488079028,4.377288818359375,0.5127142201710175,0.970288855863409,0.970288855863409,True
37,0.0421481925056858,0.0421481925056858,-2.6466211610580785,-0.4620227813720703,0.7698352947344047,0.10241397689822966,0.7698352947344047,True
25,0.025667649004787185,0.025667649004787185,2.3809223224206235,1.3683137893676758,0.692550208843502,0.30330637895748896,0.692550208843502,True
159,0.0560428936610089,0.0560428936610089,2.150757342770646,0.33008766174316406,0.6256010256534374,0.07316866511162609,0.6256010256534374,True
156,0.07162859231962798,0.07162859231962798,-0.9690805604017712,-2.363565444946289,0.2818810753179451,0.5239181846343822,0.5239181846343822,True
157,0.03971512044907394,0.03971512044907394,-1.7153663707868425,-1.4936833381652832,0.49895678122071674,0.3310963377906224,0.49895678122071674,True
163,0.06920964924653317,0.06920964924653317,-0.09228039084478468,-2.0805301666259766,0.026842036529247687,0.46117935524333276,0.46117935524333276,True
39,0.04499884505485674,0.04499884505485674,-1.383326452423546,-0.8843412399291992,0.402374749693921,0.19602692111263012,0.402374749693921,True
41,0.0731803306591462,0.0731803306591462,1.3565250737165009,0.2697792053222656,0.3945789050978709,0.059800430661550656,0.3945789050978709,True
161,0.03906618423830577,0.03906618423830577,0.8361118474302494,0.7449359893798828,0.2432038328598812,0.16512574765349675,0.2432038328598812,True
40,0.061654224964485915,0.061654224964485915,0.3903841965135726,1.0869808197021484,0.11355290942453283,0.2409448906982492,0.2409448906982492,True
147,0.034658726607464274,0.034658726607464274,-0.6231931286841856,-0.9622330665588379,0.1812711516691897,0.21329276179113255,0.21329276179113255,True
160,0.04715676156526438,0.04715676156526438,0.5797066269855549,0.2288818359375,0.1686220259292784,0.05073494209206656,0.1686220259292784,True
