method,pd_n,pd_mean,pd_median,pd_stdev,pd_min,pd_max,mt_n,mt_mean,mt_median,mt_stdev,mt_min,mt_max
cnn,168,33.569990889042714,33.12882718390256,6.871278276942517,18.828974914472,50.67545070043154,168,9.833796898523966,9.274128437042236,3.0826180387972655,4.850003242492676,19.593469619750977
gan,168,38.464880524501666,38.90925720336604,8.745893714539577,19.758182944083792,57.425775403547476,168,15.886752531642006,14.904684066772461,6.146281953774542,6.215047836303711,36.82601547241211
