sample_idx,delta_metric,abs_delta_metric,delta_pd,delta_mt,z_delta_pd,z_delta_mt,topology_score,topology_consistent,rank,panel_png,topology_closer,label_mode
4,0.0386956256442339,0.0386956256442339,-2.354678850060907,-14.950996398925781,0.6849166451222705,3.3141028138437627,3.3141028138437627,True,1,ttk_runs/combined/tie_break_cases/ssim/ssim_tie_case_rank01_s4.png,gan,tie-break
11,0.06649407059777973,0.06649407059777973,-6.524148847157072,-5.916238784790039,1.8977102293833261,1.3114191911284938,1.8977102293833261,True,2,ttk_runs/combined/tie_break_cases/ssim/ssim_tie_case_rank02_s11.png,gan,tie-break
29,0.03348150669774455,0.03348150669774455,0.02954005046774455,7.791347503662109,0.008592455086852635,1.7270639358441968,1.7270639358441968,True,3,ttk_runs/combined/tie_break_cases/ssim/ssim_tie_case_rank03_s29.png,cnn,tie-break
23,0.05994670249567979,0.05994670249567979,5.54724344274409,1.5419397354125977,1.6135531044424676,0.3417930604461625,1.6135531044424676,True,4,ttk_runs/combined/tie_break_cases/ssim/ssim_tie_case_rank04_s23.png,cnn,tie-break
5,0.06369176661872283,0.06369176661872283,-4.737014178659571,-7.241649627685547,1.3778778617985288,1.605215516586417,1.605215516586417,True,5,ttk_runs/combined/tie_break_cases/ssim/ssim_tie_case_rank05_s5.png,gan,tie-break
