sample_idx,delta_metric,abs_delta_metric,delta_pd,delta_mt,z_delta_pd,z_delta_mt,topology_score,topology_consistent
165,0.03326561051744292,0.03326561051744292,0.3706887417905449,-11.170099258422852,0.10782399876110849,2.4760127282160993,2.4760127282160993,False
164,0.049373181135443645,0.049373181135443645,0.38306886639808724,-11.164104461669922,0.1114250645336975,2.474683895524471,2.474683895524471,False
166,0.05454676561715743,0.05454676561715743,3.4301435219971985,-10.963193893432617,0.9977421733386023,2.4301491861472395,2.4301491861472395,False
34,0.05497171530664602,0.05497171530664602,0.017672874971893293,5.211324691772461,0.005140593263960984,1.155164870890979,1.155164870890979,True
42,0.0725910286189766,0.0725910286189766,3.158476683791992,0.4467020034790039,0.9187211470064247,0.09901790671194195,0.9187211470064247,True
162,0.028423369688109545,0.028423369688109545,0.9320904551208535,-4.059481143951416,0.27112158732616637,0.8998422260928183,0.8998422260928183,False
35,0.06193627827058634,0.06193627827058634,-0.768690759374735,3.4874534606933594,0.22359274006041868,0.7730440847449772,0.7730440847449772,False
37,0.06568548537369168,0.06568548537369168,-2.6466211610580785,-0.4620227813720703,0.7698352947344047,0.10241397689822966,0.7698352947344047,True
36,0.06399731262974129,0.06399731262974129,-1.265969544963184,2.6825132369995117,0.368238587415317,0.594617537835269,0.594617537835269,False
163,0.017197961366910874,0.017197961366910874,-0.09228039084478468,-2.0805301666259766,0.026842036529247687,0.46117935524333276,0.46117935524333276,True
39,0.04889744248543337,0.04889744248543337,-1.383326452423546,-0.8843412399291992,0.402374749693921,0.19602692111263012,0.402374749693921,True
41,0.07080794555827907,0.07080794555827907,1.3565250737165009,0.2697792053222656,0.3945789050978709,0.059800430661550656,0.3945789050978709,True
161,0.03869317696831942,0.03869317696831942,0.8361118474302494,0.7449359893798828,0.2432038328598812,0.16512574765349675,0.2432038328598812,True
40,0.05128213219288469,0.05128213219288469,0.3903841965135726,1.0869808197021484,0.11355290942453283,0.2409448906982492,0.2409448906982492,True
38,0.055249133726334776,0.055249133726334776,-0.7142836196476381,0.3478736877441406,0.2077670763561654,0.07711119290336377,0.2077670763561654,False
