sample_idx,delta_metric,abs_delta_metric,delta_pd,delta_mt,z_delta_pd,z_delta_mt,topology_score,topology_consistent
107,0.13841284294407702,0.13841284294407702,-9.393943625409314,-23.578378677368164,2.732461096432178,5.226485849876467,5.226485849876467,True
105,0.12561440240211913,0.12561440240211913,-8.19404254713234,-18.83509635925293,2.3834401584003095,4.175069284860739,4.175069284860739,True
121,0.13400109338263094,0.13400109338263094,-13.295922433119507,-3.4583587646484375,3.867448245208723,0.7665948280227073,3.867448245208723,True
106,0.1325133605609673,0.1325133605609673,-9.205349918999502,-16.92271137237549,2.67760394736404,3.751161720638567,3.751161720638567,True
123,0.1067200325168175,0.1067200325168175,-12.893660247554983,-4.990520477294922,3.7504403285710555,1.1062204494635783,3.7504403285710555,True
125,0.10073830286159446,0.10073830286159446,-12.872182288710555,-8.75064754486084,3.744192932449321,1.9397065504919788,3.744192932449321,True
126,0.11849656758787885,0.11849656758787885,-12.849779354031945,-10.085317611694336,3.7376764842039183,2.235555315753118,3.7376764842039183,True
115,0.1476174203066068,0.1476174203066068,-8.088173040639937,-16.149592399597168,2.352645391119985,3.5797888104488003,3.5797888104488003,True
117,0.1277914268561849,0.1277914268561849,-7.127262396718443,-16.149235725402832,2.073140738296537,3.5797097484973732,3.5797097484973732,True
116,0.1525160047067335,0.1525160047067335,-7.860465118430223,-16.018756866455078,2.2864109039228855,3.5507872377798306,3.5507872377798306,True
114,0.16278306039342277,0.16278306039342277,-10.910117411420686,-15.945544242858887,3.173477782385075,3.5345586095737227,3.5345586095737227,True
120,0.1251418197493268,0.1251418197493268,-12.090939599873039,-10.030017852783203,3.5169491529202985,2.223297330952491,3.5169491529202985,True
127,0.09555030441779605,0.09555030441779605,-12.057629187898463,-9.822589874267578,3.5072599948354597,2.177317944099187,3.5072599948354597,True
81,0.13676556661376793,0.13676556661376793,-8.283758141010843,-15.739960670471191,2.409536160227831,3.4889880617954447,3.4889880617954447,True
82,0.13892518134489718,0.13892518134489718,-8.104544931509665,-15.571327209472656,2.357407560945612,3.4516080362311543,3.4516080362311543,True
104,0.13774042481112997,0.13774042481112997,-8.176100719998338,-15.432780265808105,2.378221333740774,3.420897118804866,3.420897118804866,True
124,0.09846604552831556,0.09846604552831556,-11.729673543032476,-3.1219711303710938,3.411865975381506,0.6920296836299971,3.411865975381506,True
122,0.11390337988745247,0.11390337988745247,-11.554753256628757,-6.287232398986816,3.360986079074473,1.3936552473699324,3.360986079074473,True
72,0.12128097869046317,0.12128097869046317,-4.73559384920862,-14.974678039550781,1.3774647238105229,3.319352189185555,3.319352189185555,True
103,0.12132008643041836,0.12132008643041836,-7.093864627497091,-14.961575508117676,2.0634261701935173,3.3164478251463763,3.3164478251463763,True
4,0.0386956256442339,0.0386956256442339,-2.354678850060907,-14.950996398925781,0.6849166451222705,3.3141028138437627,3.3141028138437627,True
128,0.09432300528395726,0.09432300528395726,-11.2644299238777,-3.894345283508301,3.2765383493709397,0.8632374938623724,3.2765383493709397,True
112,0.1527951953889511,0.1527951953889511,-9.569946637796434,-14.418323516845703,2.783655930399656,3.1960282286952646,3.1960282286952646,True
19,0.1456018981786087,0.1456018981786087,-10.943333829232273,-6.230018615722656,3.1831395999403242,1.3809729916160602,3.1831395999403242,True
113,0.1493972464034139,0.1493972464034139,-10.747739917212137,-11.182254791259766,3.126246267746124,2.4787071764323723,3.126246267746124,True
