sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,23.0201391407658,5.051645278930664,9.748218536376953,5.957550048828125,gan,gan,cnn,cnn,0
1,1,24.612518312283534,22.38874396250744,22.842499585208657,4.678010940551758,11.978342056274414,5.58524227142334,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,24.463266171244584,4.894824504852295,8.343221664428711,6.295350074768066,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,24.494910415891994,4.794641017913818,9.753995895385742,5.953866004943848,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,24.503114602847926,4.892229080200195,8.064751625061035,6.041943073272705,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,23.169313346969048,5.628478050231934,6.406379699707031,5.569216251373291,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
6,6,28.068979766562435,24.045087776300683,22.69223996439238,6.144000053405762,6.0106329917907715,6.499038219451904,gan,candidateB_factorial_grad_expanded2688,gan,gan,1
7,7,29.26973016135952,22.553824952557566,22.975482177447176,5.672351837158203,7.113770008087158,5.969461441040039,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,23.48424593148148,7.50956392288208,6.055016040802002,6.097644805908203,gan,gan,gan,gan,1
9,9,28.65602837253281,23.481609150211327,23.400249468341364,5.768454551696777,6.291722297668457,5.773700714111328,gan,candidateB_factorial_grad_expanded2688,cnn,cnn,0
10,10,29.696969860459554,24.710016041893063,24.142372648469728,6.634506702423096,7.423793315887451,5.991668701171875,gan,candidateB_factorial_grad_expanded2688,cnn,candidateB_factorial_grad_expanded2688,0
11,11,28.68732565326105,24.969867761946066,25.311806498064033,5.910721302032471,7.831723690032959,6.881893157958984,gan,gan,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,25.692172359172183,6.61636209487915,5.913707256317139,6.173494338989258,gan,gan,gan,gan,1
13,13,29.273674668484478,24.323688014436637,24.73413107585192,6.0738348960876465,7.402252674102783,6.89284086227417,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,22.898596864339208,5.448930263519287,5.877835750579834,5.499080181121826,gan,gan,cnn,cnn,0
15,15,26.322356943691645,19.148010639364745,20.511485659549937,5.097294807434082,5.86716890335083,5.585102558135986,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,18.34476177121775,5.464188098907471,5.255205154418945,5.601933002471924,gan,gan,gan,gan,1
17,17,20.900376556174706,17.11808749868573,17.03032027605729,5.2896833419799805,4.8487091064453125,5.367263317108154,gan,candidateB_factorial_grad_expanded2688,gan,gan,1
18,18,20.394905033940507,18.610240875886223,16.800183726322754,6.258571624755859,5.554356575012207,5.465939998626709,gan,candidateB_factorial_grad_expanded2688,gan,candidateB_factorial_grad_expanded2688,1
19,19,21.064082150885508,19.086676411603058,18.12020030684717,6.927988529205322,5.44291353225708,5.63259220123291,gan,candidateB_factorial_grad_expanded2688,gan,gan,1
20,20,21.97923655969375,18.266315468004898,20.721034890104747,6.254051208496094,5.689126491546631,6.395080089569092,gan,gan,gan,gan,1
21,21,27.30086406645334,21.732522780594586,26.549341047234297,8.127616882324219,10.817054748535156,9.460593223571777,gan,gan,cnn,cnn,0
22,22,32.693467082501115,26.801086541907566,32.99593679359484,8.081520080566406,8.346701622009277,6.595491886138916,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
23,23,34.476953302920876,29.144574221491347,33.554911223740056,6.907674789428711,8.497876167297363,8.112784385681152,gan,gan,cnn,cnn,0
24,24,35.75728371567695,29.65320138308241,34.270130665246995,7.21915864944458,12.067601203918457,7.520142555236816,gan,gan,cnn,cnn,0
25,25,36.58411526021696,30.123491475362258,35.6417461243501,11.371563911437988,10.501462936401367,6.583554744720459,gan,gan,gan,candidateB_factorial_grad_expanded2688,1
26,26,35.02599363200026,30.779316467464,37.313394140572925,7.043282985687256,11.28821849822998,7.184447765350342,gan,gan,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,36.93213571618572,6.4783101081848145,19.968429565429688,6.866966724395752,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,35.85432340693402,7.210402011871338,14.947399139404297,8.27783489227295,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,36.1005162414841,6.963974952697754,12.864243507385254,6.616896629333496,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
30,30,39.94080457344863,30.82310921065586,34.89103354244739,8.127463340759277,14.847400665283203,7.710822582244873,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
31,31,39.104318483733294,31.3053599336416,34.306103768926604,6.818642616271973,16.23410415649414,7.148380756378174,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,33.38199063805832,7.461033821105957,19.229158401489258,7.305431842803955,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
33,33,38.39305861348763,30.400139282712473,32.643094251566815,6.76971960067749,20.00556755065918,7.114640712738037,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,32.23203206652144,6.323113918304443,19.445999145507812,7.071389198303223,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,31.576589393118205,6.2719197273254395,14.435929298400879,6.885347366333008,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,30.83902803385245,6.097905158996582,9.26945686340332,6.835899829864502,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,29.868601673395382,6.489102840423584,9.59257698059082,5.907344818115234,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
38,38,29.159912858159764,23.780350003542182,27.354847645134523,6.054014682769775,7.416414260864258,7.2870354652404785,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,24.200007580519113,5.873856067657471,8.546488761901855,6.454864978790283,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,21.994387010615828,5.6310811042785645,8.988521575927734,6.410512924194336,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,20.0018579372038,5.389686584472656,8.901470184326172,6.1810808181762695,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,17.86480599491647,5.757840156555176,7.383090972900391,6.153378009796143,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,16.719704213762146,5.7682366371154785,7.053122520446777,6.643348693847656,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,15.535854391792519,6.20600700378418,7.041088581085205,6.389039516448975,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,15.707606116600491,6.566225528717041,6.773196697235107,6.000844478607178,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
46,46,20.678325640697178,16.27228595124608,14.912408625789583,6.243154048919678,6.650214672088623,5.8717780113220215,gan,candidateB_factorial_grad_expanded2688,cnn,candidateB_factorial_grad_expanded2688,0
47,47,22.201753073772625,13.108895112859523,15.256380979170594,6.789880752563477,7.498397350311279,6.467431545257568,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
48,48,22.832495463547907,13.107025960847848,15.899198437931673,7.081502437591553,6.682991981506348,7.701868534088135,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,16.266375626355963,6.3195295333862305,7.889017105102539,6.56250524520874,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,15.914502266755477,6.3856120109558105,6.713321685791016,6.680622100830078,gan,gan,cnn,cnn,0
51,51,21.75849079768097,16.03686368056312,16.264454990059782,5.902731418609619,7.996896266937256,5.722689628601074,gan,gan,cnn,candidateB_factorial_grad_expanded2688,0
52,52,21.81632996072092,16.98731478928289,16.600627350378495,5.69123649597168,7.0050048828125,6.014246463775635,gan,candidateB_factorial_grad_expanded2688,cnn,cnn,0
