sample_idx,pos_idx,pd_distance_candidateB_factorial_grad_expanded2688,mt_distance_candidateB_factorial_grad_expanded2688
0,0,23.0201391407658,5.957550048828125
1,1,22.842499585208657,5.58524227142334
2,2,24.463266171244584,6.295350074768066
3,3,24.494910415891994,5.953866004943848
4,4,24.503114602847926,6.041943073272705
5,5,23.169313346969048,5.569216251373291
6,6,22.69223996439238,6.499038219451904
7,7,22.975482177447176,5.969461441040039
8,8,23.48424593148148,6.097644805908203
9,9,23.400249468341364,5.773700714111328
10,10,24.142372648469728,5.991668701171875
11,11,25.311806498064033,6.881893157958984
12,12,25.692172359172183,6.173494338989258
13,13,24.73413107585192,6.89284086227417
14,14,22.898596864339208,5.499080181121826
15,15,20.511485659549937,5.585102558135986
16,16,18.34476177121775,5.601933002471924
17,17,17.03032027605729,5.367263317108154
18,18,16.800183726322754,5.465939998626709
19,19,18.12020030684717,5.63259220123291
20,20,20.721034890104747,6.395080089569092
21,21,26.549341047234297,9.460593223571777
22,22,32.99593679359484,6.595491886138916
23,23,33.554911223740056,8.112784385681152
24,24,34.270130665246995,7.520142555236816
25,25,35.6417461243501,6.583554744720459
26,26,37.313394140572925,7.184447765350342
27,27,36.93213571618572,6.866966724395752
28,28,35.85432340693402,8.27783489227295
29,29,36.1005162414841,6.616896629333496
30,30,34.89103354244739,7.710822582244873
31,31,34.306103768926604,7.148380756378174
32,32,33.38199063805832,7.305431842803955
33,33,32.643094251566815,7.114640712738037
34,34,32.23203206652144,7.071389198303223
35,35,31.576589393118205,6.885347366333008
36,36,30.83902803385245,6.835899829864502
37,37,29.868601673395382,5.907344818115234
38,38,27.354847645134523,7.2870354652404785
39,39,24.200007580519113,6.454864978790283
40,40,21.994387010615828,6.410512924194336
41,41,20.0018579372038,6.1810808181762695
42,42,17.86480599491647,6.153378009796143
43,43,16.719704213762146,6.643348693847656
44,44,15.535854391792519,6.389039516448975
45,45,15.707606116600491,6.000844478607178
46,46,14.912408625789583,5.8717780113220215
47,47,15.256380979170594,6.467431545257568
48,48,15.899198437931673,7.701868534088135
49,49,16.266375626355963,6.56250524520874
50,50,15.914502266755477,6.680622100830078
51,51,16.264454990059782,5.722689628601074
52,52,16.600627350378495,6.014246463775635
53,53,16.93371030644049,5.46722936630249
54,54,17.47361472930148,6.587266445159912
55,55,18.534751841821777,5.860983848571777
56,56,18.38961683430132,5.585474014282227
57,57,18.349053295909208,6.075923442840576
58,58,19.227112238931934,5.622013568878174
59,59,19.38660223604484,5.897014141082764
60,60,19.458551726322142,5.818858623504639
61,61,19.70833186656188,6.042370796203613
62,62,20.752071085980457,6.450446128845215
63,63,21.105616355140896,6.89583158493042
64,64,18.701211268434285,5.858945369720459
65,65,17.097881700705223,5.030378341674805
66,66,15.704836661531736,4.895580291748047
67,67,15.28732527732505,4.958195686340332
68,68,15.999816186780613,4.913999080657959
69,69,18.422030268152067,5.022355079650879
70,70,18.733935033931868,5.010482311248779
71,71,18.69246587022955,6.1896185874938965
72,72,19.97128234486082,5.710611343383789
73,73,20.561575142348943,5.413547515869141
74,74,21.54051898737652,5.915940284729004
75,75,21.8168670274124,5.405667304992676
76,76,22.305318732429765,5.847548961639404
77,77,22.619459409873063,5.174665927886963
78,78,22.090493713765728,5.652324676513672
79,79,22.45489808528623,5.157243251800537
80,80,22.02177481907448,6.089170455932617
81,81,22.133612194006957,5.391211986541748
82,82,21.945206932687725,6.127862930297852
83,83,21.50601874538209,5.570430755615234
84,84,22.18649263323232,5.675871849060059
85,85,21.928553586220044,5.191750526428223
86,86,22.08304142240994,5.532657623291016
87,87,22.625380452402755,7.203986167907715
88,88,20.99211812842086,5.6792731285095215
89,89,19.1271018217168,5.8531365394592285
90,90,17.696920203156168,5.123965263366699
91,91,17.382872809572056,6.167835235595703
92,92,18.125749952975458,5.787959098815918
93,93,21.99773738678087,6.4372477531433105
94,94,24.055229024075096,6.449422359466553
95,95,24.38879924819702,7.6647629737854
96,96,24.858621866363066,6.087000846862793
97,97,25.21056882980347,5.506087779998779
98,98,25.132533918690136,5.471521854400635
99,99,24.909623441410695,5.705175876617432
100,100,24.366565464106955,5.8939690589904785
101,101,24.084473488183367,5.354520320892334
102,102,23.11534051031552,5.276848793029785
103,103,23.292929885015223,5.467442989349365
104,104,22.38001142264476,4.983005046844482
105,105,22.09315416322731,5.3433837890625
106,106,21.806781000066824,5.245047569274902
107,107,21.260066948633355,5.504298210144043
108,108,22.3819943243575,5.363439559936523
109,109,21.713960044412797,5.642833709716797
110,110,22.28451380424203,5.232348442077637
111,111,21.62823691051362,5.779996871948242
112,112,21.635357091890906,5.948563098907471
113,113,20.189814990997107,5.609986782073975
114,114,19.47477160453037,5.361511707305908
115,115,19.113053735680833,5.575875759124756
116,116,19.611624293694547,7.016522407531738
117,117,21.394344659628043,6.215367794036865
118,118,23.96527496339216,6.711981773376465
119,119,23.843228425435964,5.819300174713135
120,120,24.265221482571654,5.723999977111816
121,121,23.84722816011429,5.286341667175293
122,122,23.68739770382966,5.538252830505371
123,123,23.07643138747328,5.663602352142334
124,124,22.386286533142727,5.577616214752197
125,125,21.481642506175163,4.7653985023498535
126,126,21.054275536293726,4.680826187133789
127,127,22.988691792808442,5.099184513092041
128,128,22.591069363951203,4.816836357116699
129,129,24.029669397373755,5.25749397277832
130,130,24.862921220945605,5.37970495223999
131,131,26.63123865363957,6.48679256439209
132,132,28.557559941563156,6.390944957733154
133,133,28.722706133232677,6.019160270690918
134,134,26.30042281013259,5.568226337432861
135,135,25.39504046428837,5.618976593017578
136,136,24.887925118042165,6.116415977478027
137,137,23.92131084655325,5.068707466125488
138,138,23.439627623980737,5.3554911613464355
139,139,22.993681901790172,5.235589981079102
140,140,24.004495958970324,5.393975734710693
141,141,27.057545451825597,7.363675594329834
142,142,30.94820786656608,7.682909965515137
143,143,30.104878592526543,6.9191670417785645
144,144,30.906313066629327,6.376672267913818
145,145,32.0072971828759,5.9137983322143555
146,146,30.22682490406675,6.7411208152771
147,147,28.678817055644355,6.324565410614014
148,148,27.695527891950523,6.04164457321167
149,149,25.69261512299061,6.311376571655273
150,150,23.83683819431795,5.473392486572266
151,151,22.150696366503166,6.1163740158081055
152,152,20.656547576646734,6.667044639587402
153,153,19.379624323461663,6.2360429763793945
154,154,18.612083083129505,5.877161026000977
155,155,18.47289052757981,6.368791580200195
156,156,18.80915137601078,5.347545623779297
157,157,19.789223965232537,5.111247539520264
158,158,22.005946832196347,5.628055572509766
159,159,20.029755484233846,5.240054130554199
160,160,18.54758906945016,6.398464679718018
161,161,19.85855496118804,6.3579864501953125
162,162,19.244061392007264,6.0054240226745605
163,163,20.069258825710058,6.6250481605529785
164,164,20.986131701886443,6.90910530090332
165,165,21.598150990975505,7.467806816101074
166,166,23.253680532042413,8.199178695678711
167,167,22.87940529114607,7.16749382019043
