sample_idx,pos_idx,pd_distance_candidateB_expanded672,mt_distance_candidateB_expanded672
0,0,22.661748360857267,5.508497714996338
1,1,22.845737482693657,5.340015888214111
2,2,24.296952433670846,6.405970573425293
3,3,24.46596008460113,5.675081253051758
4,4,24.163203454630242,5.688450813293457
5,5,24.358407514275395,5.451185703277588
6,6,23.839977361121726,5.968509197235107
7,7,24.84267236085644,6.094361782073975
8,8,25.581906309391286,6.558753490447998
9,9,25.131313837646196,5.864137649536133
10,10,25.848690446619052,6.4092559814453125
11,11,25.471612827573043,6.65736722946167
12,12,26.06098909042962,6.714700222015381
13,13,25.52905593479011,6.877344131469727
14,14,24.90022679608159,5.680914402008057
15,15,23.506050155613625,5.62846040725708
16,16,21.698406035288752,6.190847873687744
17,17,19.073117484860216,5.387299537658691
18,18,18.14930366821052,5.570155620574951
19,19,17.90246687353714,6.348349094390869
20,20,18.754718117140282,6.793157577514648
21,21,23.49314244564928,9.13455581665039
22,22,28.98134746122303,7.842062950134277
23,23,30.37450069065537,8.783428192138672
24,24,30.831857501070576,8.370285034179688
25,25,31.73533310608448,6.810031414031982
26,26,31.85282977502167,7.226974964141846
27,27,32.705383964153874,6.515990734100342
28,28,33.523058473236894,8.137086868286133
29,29,34.49012583156506,6.827291011810303
30,30,33.89412659541117,7.91738224029541
31,31,34.030999196112816,7.95642614364624
32,32,33.0695843784363,7.429067134857178
33,33,32.709124321584326,7.751171588897705
34,34,32.05647835459234,7.631950378417969
35,35,30.550620881195712,7.261690139770508
36,36,30.840159941749633,7.003137588500977
37,37,29.428616380149798,7.2675395011901855
38,38,25.89237229589444,7.777809143066406
39,39,23.4220448892691,7.6822919845581055
40,40,22.033294231998436,8.507499694824219
41,41,19.559863870357006,6.611878395080566
42,42,17.007344204753526,6.756539344787598
43,43,15.523706540429888,6.59519100189209
44,44,14.868999365947856,6.685825824737549
45,45,16.109227797901724,5.924270153045654
46,46,16.209754303238192,7.180774211883545
47,47,16.27953542261387,7.2703142166137695
48,48,17.008405311532528,6.979197978973389
49,49,17.165863000617282,6.704432010650635
50,50,16.669272179896787,6.465353488922119
51,51,17.06423634870645,6.241027355194092
52,52,17.581902930840833,6.540562629699707
53,53,17.81076430989752,6.338040351867676
54,54,18.67988751178726,6.374393939971924
55,55,19.53580084125764,5.862330436706543
56,56,20.235173575125998,7.111793518066406
57,57,20.32919420945137,6.495468616485596
58,58,21.330143202936892,6.4624762535095215
59,59,21.63593871084478,6.065863132476807
60,60,21.984900857811127,6.146341800689697
61,61,22.423016569659673,6.6754841804504395
62,62,23.94040602842057,6.98972225189209
63,63,24.33514434704592,6.772956371307373
64,64,20.580091327240876,6.275386810302734
65,65,18.972715738723096,5.870975017547607
66,66,17.287143159666776,6.070828914642334
67,67,16.5961679712768,5.410688877105713
68,68,17.152281181470048,5.260478496551514
69,69,19.516770309261464,5.424511909484863
70,70,20.18833930242484,5.292837619781494
71,71,20.85398725913473,5.657712459564209
72,72,22.135708219547062,5.828807830810547
73,73,23.674596373318114,6.427412986755371
74,74,24.49281705933061,5.824279308319092
75,75,24.508244842445727,5.2704644203186035
76,76,25.373940049026988,6.165472030639648
77,77,25.832088778167712,6.626802444458008
78,78,25.972893326712946,7.627531051635742
79,79,26.885217093638826,6.882067680358887
80,80,26.37713528032617,5.776423931121826
81,81,26.32438592599961,5.552976131439209
82,82,25.911348519662276,6.365869522094727
83,83,25.619581928596666,6.011536121368408
84,84,26.062213756448763,6.165653705596924
85,85,25.57929830701906,5.80568790435791
86,86,25.920212811663664,6.297908306121826
87,87,25.965985381101493,7.62854528427124
88,88,22.51473884984326,6.556178569793701
89,89,20.417038013619784,6.4769439697265625
90,90,18.51509299773239,5.6765031814575195
91,91,18.562748447320388,6.564169883728027
92,92,19.199943014271906,6.081878662109375
93,93,22.78181915364459,6.972562789916992
94,94,24.004551876131252,6.19554328918457
95,95,24.4173071373824,5.9891228675842285
96,96,25.146725346926242,5.495009422302246
97,97,25.96221164424099,5.3242998123168945
98,98,26.35729192652258,5.380342960357666
99,99,25.88924577947032,6.076140880584717
100,100,25.482713009385375,6.0217976570129395
101,101,25.22197930012519,5.754045486450195
102,102,24.149005607095024,6.208836078643799
103,103,24.371251300159507,5.598913669586182
104,104,23.572593353845257,4.972889423370361
105,105,24.53552932543822,5.94395637512207
106,106,24.333056749976706,5.747922897338867
107,107,23.472643624407148,5.708679676055908
108,108,24.227871537043836,6.091877460479736
109,109,23.709965098065307,5.580569267272949
110,110,24.07666856382179,6.048294544219971
111,111,23.23125410953057,5.919332504272461
112,112,22.493093069074384,6.1112236976623535
113,113,21.484015181133376,6.041092395782471
114,114,20.58971232354931,5.6569366455078125
115,115,20.389518675944924,5.524820327758789
116,116,21.325286053634148,5.865227699279785
117,117,22.34151505790573,6.3508620262146
118,118,24.751679206360663,7.983131408691406
119,119,24.868262502861743,5.764840126037598
120,120,24.426572561928804,5.6508870124816895
121,121,24.632062468371657,5.378269672393799
122,122,24.015931198699082,6.039792060852051
123,123,24.43303963350061,5.863852024078369
124,124,23.91918193538689,5.520723819732666
125,125,23.54276439131383,4.856471061706543
126,126,24.063072632441617,4.729128837585449
127,127,26.16936572876873,5.038137912750244
128,128,24.98180782769601,5.243675231933594
129,129,26.758389070816378,5.735817909240723
130,130,27.015888340727887,5.087593078613281
131,131,29.380840236902944,6.4927287101745605
132,132,30.977483271588174,7.467674255371094
133,133,31.132793356579437,8.010136604309082
