sample_idx,pos_idx,pd_distance_candidateF_grad_crit_expanded2688,mt_distance_candidateF_grad_crit_expanded2688
0,0,22.228715723426397,5.398622512817383
1,1,22.859664824937273,5.584949970245361
2,2,23.999637764281342,6.004454612731934
3,3,23.922868388168833,5.513782501220703
4,4,23.819339273119745,5.469624996185303
5,5,23.49930466763732,5.597290992736816
6,6,23.50615510415261,6.130309104919434
7,7,23.245746757523047,5.9571356773376465
8,8,23.354196781155554,6.1602091789245605
9,9,23.62461120053179,5.882601261138916
10,10,23.721693887786603,6.202330589294434
11,11,23.665269501872544,6.638975620269775
12,12,23.842952362449736,6.382147789001465
13,13,23.219968196565034,6.188665390014648
14,14,22.099942358874067,5.312276363372803
15,15,20.81538490797996,5.488622665405273
16,16,18.44021806753011,5.306867599487305
17,17,16.495264959953207,4.864968776702881
18,18,15.993826946638722,5.097178936004639
19,19,15.602691113736803,5.240671634674072
20,20,17.54645077692781,5.376996994018555
21,21,21.595563820196755,8.212989807128906
22,22,27.804137893428,6.891895294189453
23,23,28.529845202488588,6.9176812171936035
24,24,29.110492959311678,6.92999267578125
25,25,29.50728131352373,7.237429618835449
26,26,30.06473262030953,7.185460567474365
27,27,31.358904587766233,7.0458526611328125
28,28,30.93638162929179,8.315378189086914
29,29,31.71120229136412,6.830199241638184
30,30,31.121675049918974,7.461552143096924
31,31,31.56842831583933,7.1840338706970215
32,32,31.008153728337223,6.828965187072754
33,33,30.32614163271068,7.033925533294678
34,34,30.079331173146116,6.655734062194824
35,35,29.588796921579842,6.439033031463623
36,36,29.860176563243662,6.195364952087402
37,37,28.547749931010877,6.638975620269775
38,38,24.70965509963046,7.184950351715088
39,39,21.535480887791852,6.036781311035156
40,40,20.863878641095692,6.606884479522705
41,41,19.08255856431317,5.9985737800598145
42,42,16.63272031278165,5.851601600646973
43,43,15.80106801427984,6.1146039962768555
44,44,14.925648351036195,6.57642126083374
45,45,15.327469676597495,5.963773727416992
46,46,14.976942692427892,6.401003360748291
47,47,15.574706721119696,6.385126113891602
48,48,16.70480679122894,7.080235481262207
49,49,16.71745429609536,7.191676139831543
50,50,16.3796881720263,6.670618534088135
51,51,16.643467595444466,5.859747409820557
52,52,16.943184993292018,6.082477569580078
53,53,17.57786949798507,5.698736190795898
54,54,17.951552428747775,6.319434642791748
55,55,18.844600095585765,5.511998176574707
56,56,19.066747361907883,6.044045448303223
57,57,19.173951452694034,6.2241740226745605
58,58,19.657004758101515,6.30327844619751
59,59,20.0070399428484,5.7798943519592285
60,60,20.276014693584486,5.790643215179443
61,61,20.569498029526198,5.654803276062012
62,62,21.651276258509824,6.445364475250244
63,63,22.354635717291345,6.752053260803223
64,64,19.32906156739163,6.358495712280273
65,65,17.485866527675913,5.704917907714844
66,66,16.17849872861989,5.687667369842529
67,67,15.505213131628492,5.115854263305664
68,68,16.113858689533487,5.4391560554504395
69,69,18.07814817307676,5.3473381996154785
70,70,18.31168675377761,5.9145941734313965
71,71,18.729155214883388,6.433502674102783
72,72,20.479392834738864,5.457997798919678
73,73,21.096206367710938,5.995063304901123
74,74,22.232662356996887,5.575540542602539
75,75,22.484850982169114,5.545441627502441
76,76,23.160071276352017,5.909458637237549
77,77,23.130412612330005,5.262588977813721
78,78,23.243799654541156,5.752936363220215
79,79,23.606210903516594,5.718011379241943
80,80,23.386552340274665,5.440179824829102
81,81,23.32273905420175,5.252087116241455
82,82,23.455220819959475,5.694423198699951
83,83,22.653122040835846,5.360121726989746
84,84,23.068119795996505,5.490295886993408
85,85,23.076453423632397,5.437306880950928
86,86,23.24563387189053,5.716894149780273
87,87,23.511693039720218,7.111640930175781
88,88,21.110943632646045,5.987752914428711
89,89,19.09202595812891,6.283900260925293
90,90,17.31194260484103,5.737709045410156
91,91,16.999730954456197,6.41694450378418
92,92,17.485642065672344,5.987422943115234
93,93,20.069842371688658,6.499412536621094
94,94,22.000085362606317,6.347795486450195
95,95,22.244902344367887,6.2628278732299805
96,96,23.274441557148165,6.146831512451172
97,97,24.280644074546423,5.5692853927612305
98,98,24.368583568925253,5.703141212463379
99,99,24.49231978732827,6.017383098602295
100,100,24.168855179155447,5.919548034667969
101,101,23.734248021961683,5.405649662017822
102,102,22.831511458809167,5.595223903656006
103,103,23.119479854720733,5.801820278167725
104,104,22.57006990737772,5.497395038604736
105,105,22.5754716667984,5.920248985290527
106,106,22.401204649410424,5.771334171295166
107,107,21.69380104161737,5.910764217376709
108,108,22.690933967988457,6.126092910766602
109,109,22.3279649349296,5.466322422027588
110,110,22.880394402055106,6.384776592254639
111,111,21.49292783274016,5.965078830718994
112,112,21.062352161876635,6.130109786987305
113,113,19.745746353039735,6.042407989501953
114,114,18.791601395985325,6.255071640014648
115,115,19.605381252354675,5.746787071228027
116,116,20.20040173826872,6.154682159423828
117,117,21.525007983519075,7.039586544036865
118,118,23.5163619803175,7.04500150680542
119,119,23.0242340267416,6.517436504364014
120,120,23.301101241214702,6.621406078338623
121,121,23.450596401488756,5.530518054962158
122,122,23.035514389115175,6.143247604370117
123,123,22.54082008082069,6.201117038726807
124,124,22.263434640479154,5.898377418518066
125,125,21.331174688170087,5.212900638580322
126,126,21.465872487639494,4.98514986038208
127,127,22.83494864885687,5.047026634216309
128,128,22.6437999088757,4.7726240158081055
129,129,23.162913851373908,6.205707550048828
130,130,23.95283944430007,5.137269020080566
131,131,25.802237317472844,6.008798122406006
132,132,27.181749130404896,6.194146633148193
133,133,27.702993094245834,5.690281391143799
134,134,25.210729769119336,5.5613694190979
135,135,23.447465721091845,5.495373249053955
136,136,22.010219844815953,5.812249660491943
137,137,21.190329262718567,4.659278869628906
138,138,20.598992713818095,4.727851390838623
139,139,20.123387824412617,4.826382160186768
140,140,21.1089156168761,5.1123857498168945
141,141,24.62953846388236,5.679080009460449
142,142,27.651645905457112,6.098798751831055
143,143,26.25756911725056,6.403392791748047
144,144,26.085415974507036,5.904984474182129
145,145,25.149050457476477,5.923836708068848
146,146,24.266279104470144,6.874425888061523
147,147,22.88503581251606,6.238184452056885
148,148,21.96432737729912,5.927664756774902
149,149,20.98148046368999,6.257854461669922
150,150,20.119209506433826,5.683773517608643
151,151,19.371796238609765,6.3638763427734375
152,152,19.096133119820955,6.205476760864258
153,153,18.79778517744101,6.637914657592773
154,154,18.930220593335644,5.577037334442139
155,155,19.277430085478827,5.389296531677246
156,156,19.827649187162535,4.942954063415527
157,157,20.914473593825544,4.7340826988220215
158,158,22.956733683130903,5.506909370422363
159,159,20.763626646751074,6.550915718078613
160,160,18.736395535671623,5.7557525634765625
161,161,18.275565671830982,6.064383029937744
162,162,17.682155841440434,4.915431499481201
163,163,18.754514940922093,5.374610424041748
164,164,19.914897534174965,5.636256694793701
165,165,21.097598749168206,5.4849467277526855
166,166,22.157256227221605,5.419978618621826
167,167,22.35526156692982,5.208653926849365
