sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_levelset_expanded2688,was_mt_gan_win_before
39,39,25.24426875811477,21.358097631209198,28.34744128731766,5.873856067657471,8.546488761901855,6.003028392791748,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,26.162687122898685,5.6310811042785645,8.988521575927734,6.743112087249756,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,24.472294500543697,5.389686584472656,8.901470184326172,5.85496711730957,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,22.346891840713102,5.757840156555176,7.383090972900391,6.061440944671631,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,20.81831402087728,5.7682366371154785,7.053122520446777,6.391575813293457,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,19.652962043231827,6.20600700378418,7.041088581085205,6.780740737915039,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,20.395569857643427,6.566225528717041,6.773196697235107,6.537807464599609,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
46,46,20.678325640697178,16.27228595124608,19.726906534768002,6.243154048919678,6.650214672088623,5.873599052429199,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
47,47,22.201753073772625,13.108895112859523,20.738472556804812,6.789880752563477,7.498397350311279,6.704529285430908,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
48,48,22.832495463547907,13.107025960847848,21.66555343097433,7.081502437591553,6.682991981506348,6.934081554412842,gan,gan,gan,gan,1
49,49,22.105793975200847,13.662675111493924,21.762423314861888,6.3195295333862305,7.889017105102539,6.5311126708984375,gan,gan,cnn,cnn,0
