sample_idx,pos_idx,pd_distance_candidateB_factorial_speed_levelset_expanded2688,mt_distance_candidateB_factorial_speed_levelset_expanded2688
0,0,28.28757395342171,4.688779354095459
1,1,28.776071116046314,4.755231857299805
2,2,29.627208518183114,5.207015514373779
3,3,29.59438306206655,4.860489845275879
4,4,30.076544732638197,5.318576335906982
5,5,30.630204449328378,5.408449172973633
6,6,31.192836721138594,5.744063377380371
7,7,31.060481185788408,5.641808986663818
8,8,31.13785791091866,6.445169925689697
9,9,30.141617972879494,5.633261203765869
10,10,30.78185571952301,5.913369655609131
11,11,30.688320221943844,6.049464702606201
12,12,30.981560576764583,6.367545127868652
13,13,29.99653142522643,6.4892144203186035
14,14,29.36521162294643,5.315764427185059
15,15,27.078926920228987,5.295216083526611
16,16,24.525303427043937,6.131258010864258
17,17,22.195828670337786,5.322094917297363
18,18,21.647464204497652,5.511857032775879
19,19,21.364670303598817,5.824598789215088
20,20,22.77817717202022,6.280969142913818
21,21,28.07582041029695,8.000463485717773
22,22,35.281861528257046,7.273467540740967
23,23,36.737598463723266,6.988720893859863
24,24,37.458139875430696,6.940367698669434
25,25,38.47081927590804,7.057678699493408
26,26,39.070970327441024,6.61859130859375
27,27,40.504820171912904,6.0950517654418945
28,28,41.56211272619186,7.143574237823486
29,29,42.513576544362174,6.541843891143799
30,30,42.07098497103123,6.934673309326172
31,31,42.133877602702164,7.154754161834717
32,32,41.05767116353252,7.067882061004639
33,33,40.31219488212982,7.100727558135986
34,34,39.8300898043399,7.201037883758545
35,35,39.13078895768737,6.953643321990967
36,36,38.78384648067016,6.265605926513672
37,37,36.819818225809875,6.385149955749512
38,38,33.384621088494974,7.020817279815674
39,39,28.34744128731766,6.003028392791748
40,40,26.162687122898685,6.743112087249756
41,41,24.472294500543697,5.85496711730957
42,42,22.346891840713102,6.061440944671631
43,43,20.81831402087728,6.391575813293457
44,44,19.652962043231827,6.780740737915039
45,45,20.395569857643427,6.537807464599609
46,46,19.726906534768002,5.873599052429199
47,47,20.738472556804812,6.704529285430908
48,48,21.66555343097433,6.934081554412842
49,49,21.762423314861888,6.5311126708984375
50,50,21.26735528942986,6.174075126647949
51,51,21.668245455194082,5.6839919090271
52,52,22.55698913126652,5.946927070617676
53,53,22.95107073281755,5.3009514808654785
54,54,24.093589551212453,5.512017726898193
55,55,24.917247501219695,5.497385025024414
56,56,25.58146349660668,5.757907390594482
57,57,25.779326095193664,6.082451343536377
58,58,26.62723572268041,6.152681827545166
59,59,26.954652211485126,5.670083522796631
60,60,27.373951921244707,5.91337251663208
61,61,27.441282193853525,6.10430908203125
62,62,28.9035636623267,7.091248035430908
63,63,29.797354589292695,7.537726879119873
64,64,25.148703147676706,6.087631702423096
65,65,23.192717570918116,5.814643859863281
66,66,21.773799620918638,5.572150707244873
67,67,21.222986762312324,5.070029258728027
68,68,21.98667071425256,5.53083610534668
69,69,25.38029982878787,5.486042499542236
70,70,26.171567608954057,5.5755414962768555
71,71,27.047700401651564,6.020084381103516
72,72,28.422702045383915,5.9214911460876465
73,73,29.86564380290372,5.854095458984375
74,74,30.761338573133692,6.36147928237915
75,75,31.318481886685014,6.137861251831055
76,76,31.935919226182353,6.022356986999512
77,77,31.77194027507058,5.885527610778809
78,78,31.377038584628,6.214080333709717
79,79,31.46238510851502,6.526515483856201
80,80,31.45810805173588,6.340395927429199
81,81,31.4765573432633,5.841658592224121
82,82,31.07586341320958,6.188518524169922
83,83,30.681489336273014,5.542947769165039
84,84,30.898933140633204,5.964486122131348
85,85,30.680383656655486,5.739734172821045
86,86,30.949750255560343,5.704801559448242
87,87,31.56743901699493,6.92169189453125
88,88,28.134540314709636,6.046870708465576
89,89,25.565681536355353,5.902280330657959
90,90,24.065071910728623,5.368863105773926
91,91,24.341098496928687,5.650202751159668
92,92,24.98618361061418,5.376301288604736
93,93,28.466501064682788,6.031285285949707
94,94,30.09044892493599,5.762522220611572
95,95,31.513154274411487,6.218316078186035
96,96,33.104441807418276,5.658379554748535
97,97,33.702047280641835,5.267618179321289
98,98,34.04967709261836,5.388726234436035
99,99,34.22886973684179,6.163966178894043
100,100,33.69740750527616,5.929558277130127
101,101,32.933404676357746,6.334285736083984
102,102,31.940642930735113,6.4253249168396
103,103,32.428832937106556,5.771987438201904
