sample_idx,pos_idx,pd_distance_candidateB_plus_E2_tf_lowlambda_expanded2688,mt_distance_candidateB_plus_E2_tf_lowlambda_expanded2688
0,0,23.056379018313486,4.9201836585998535
1,1,22.539499463126333,5.632063388824463
2,2,23.587368228930433,5.21293830871582
3,3,23.480301683997364,4.84151029586792
4,4,23.08212483798345,5.430691242218018
5,5,24.20642042847585,6.261741638183594
6,6,25.917869803433252,5.589200973510742
7,7,26.20585921924157,6.0621747970581055
8,8,26.402809488387906,5.8899030685424805
9,9,25.251469325688795,5.15474796295166
10,10,25.550438419950115,6.099370002746582
11,11,24.54996588804944,6.280981540679932
12,12,25.98519260348256,5.912534236907959
13,13,25.95633087126253,6.544377326965332
14,14,24.571959765500583,5.244829177856445
15,15,22.774101127868285,5.581579685211182
16,16,20.685455092813022,4.780884742736816
17,17,18.604993693221488,4.14428186416626
18,18,18.052342652090335,4.4840779304504395
19,19,17.63493083255838,4.960214614868164
20,20,18.944022724573692,5.255982875823975
21,21,23.08219534690753,7.530447006225586
22,22,28.620231151567722,6.365615367889404
23,23,30.351185791413485,6.312098026275635
24,24,31.255108911103758,5.723088264465332
25,25,32.13777843282895,7.3943963050842285
26,26,30.57426021810155,8.073651313781738
27,27,32.24199761500136,6.5728840827941895
28,28,33.25178653323687,8.22794246673584
29,29,35.23107688482747,8.315351486206055
30,30,35.401831413049315,7.415589809417725
31,31,35.40427184442673,6.866220474243164
32,32,34.04468839090478,6.967710494995117
33,33,33.84502055190311,7.069279670715332
34,34,33.288195001271916,6.4409379959106445
35,35,32.30121838523981,6.576353549957275
36,36,33.03030446178029,6.407472610473633
37,37,31.334772794230457,6.445012092590332
38,38,26.299690224209094,6.14642858505249
39,39,22.49459602989745,6.016324520111084
40,40,21.179376397947948,5.775049209594727
41,41,19.93919607555341,5.9113383293151855
42,42,18.376695840463675,5.809004783630371
43,43,16.80788641815575,5.891362190246582
44,44,15.851041500887426,5.942293643951416
45,45,16.538794258716145,5.837960720062256
46,46,16.500833079609677,5.658195972442627
47,47,17.35133603540564,6.15217399597168
48,48,17.461728599086257,6.1477766036987305
49,49,17.54406580992678,7.1432695388793945
50,50,16.991341619472845,6.423357009887695
51,51,17.72919542491608,6.243292331695557
52,52,18.302043550708035,5.99690055847168
53,53,18.42629450370821,5.604139804840088
54,54,19.037373037944647,6.245460033416748
55,55,19.762156882503135,5.8769636154174805
56,56,20.62230618651609,5.858597278594971
57,57,20.915148616614143,5.952797889709473
58,58,21.5095717434226,5.646599292755127
59,59,21.78265219892244,5.483357906341553
60,60,22.186892510593882,6.190004825592041
61,61,22.670494920162636,5.884313583374023
62,62,23.985121755064306,6.30932092666626
63,63,24.163374742223436,6.079377174377441
64,64,20.607950006138378,5.300210952758789
65,65,18.880656335337882,5.327175617218018
66,66,17.398929167728788,5.473077774047852
67,67,17.048123635888604,4.999538421630859
68,68,17.4077279836024,5.212813854217529
69,69,20.40061310609396,5.393248558044434
70,70,20.82761396010886,4.651306629180908
71,71,21.441186913977635,5.481271743774414
72,72,22.412182766192117,4.585920810699463
73,73,23.656712651976605,5.220449924468994
74,74,24.826797976400893,4.808992385864258
75,75,25.140531387251965,5.049134731292725
76,76,25.816106656844223,5.54896879196167
77,77,25.620464171061236,5.139565467834473
78,78,25.697426453191422,5.636861324310303
79,79,26.213735440088893,5.445974349975586
80,80,25.91675940508287,5.140296459197998
81,81,25.594335154218214,5.246630668640137
82,82,25.541665402048725,5.678542137145996
83,83,25.275725065005872,5.299101829528809
84,84,25.533669730732587,5.15497350692749
85,85,25.25174183756896,5.325750827789307
86,86,25.484475819999048,5.7668609619140625
87,87,25.50037766760812,6.330646514892578
88,88,22.354658817907385,5.431301593780518
89,89,20.994012894459786,5.1063432693481445
90,90,19.152469966191738,4.911399841308594
91,91,18.8720105358815,5.334469318389893
92,92,19.08420047510024,5.794705867767334
93,93,21.3079868119631,6.7230939865112305
94,94,23.17643904027156,5.192080497741699
95,95,23.98194158516172,5.343744277954102
96,96,25.85946873426452,5.520669937133789
97,97,26.86472100028877,5.073973655700684
98,98,27.456135071211254,5.464983940124512
99,99,27.331158387781347,5.518349647521973
100,100,27.103613224135877,5.080821990966797
101,101,26.476778761089978,5.004779815673828
102,102,25.40455255112795,4.685111999511719
103,103,25.899248633969588,5.2636799812316895
104,104,25.94007514764584,4.873307228088379
105,105,25.87837161781619,5.410587310791016
106,106,26.328683534485183,5.378390312194824
107,107,25.553023761742388,5.885885238647461
108,108,25.805855297589723,5.639427661895752
109,109,25.197372776194545,5.453109264373779
110,110,25.609822781015026,5.599852085113525
111,111,24.515344117331605,5.597915172576904
112,112,24.35296474052856,5.40471887588501
113,113,23.26783533218297,5.432489395141602
114,114,21.486582327310174,5.262712478637695
115,115,22.159039956378688,4.85109806060791
116,116,23.267486734290742,6.425358772277832
117,117,24.108433048860398,6.43607759475708
118,118,24.848710381529855,6.159472942352295
119,119,25.023955715495184,4.859599590301514
120,120,24.568004413045234,5.289193630218506
121,121,25.469096329856235,4.874670028686523
122,122,24.8055629965002,5.1152567863464355
123,123,24.39464555022883,5.293362140655518
124,124,24.773658165103306,5.2918701171875
125,125,24.10985357159111,4.830244541168213
126,126,24.601726088639413,4.829966068267822
127,127,26.20227544086478,5.012706756591797
128,128,25.322406710903962,5.003787517547607
129,129,26.057852753427746,5.348543643951416
130,130,26.278205817469726,6.449585437774658
131,131,28.749674160673393,6.019618511199951
132,132,30.15371715935142,5.455744743347168
133,133,30.214763339759607,6.076561450958252
134,134,27.750331752607714,6.921520233154297
135,135,25.3855607742906,4.219528675079346
136,136,23.881546940344652,4.972195625305176
137,137,23.201797462080084,4.135671138763428
138,138,22.724454544641265,4.289896011352539
139,139,22.13261950090698,4.492832183837891
140,140,23.50271471691858,4.610731601715088
141,141,27.207943444021694,6.576906204223633
142,142,29.855701993976883,6.605705738067627
143,143,28.33824652292763,6.198486328125
144,144,27.933567982565734,5.817897319793701
145,145,26.37788973963051,5.745205879211426
146,146,25.7367555948594,6.546315670013428
147,147,24.149374022927756,5.714041233062744
148,148,23.155710627005742,5.3345537185668945
149,149,21.93382660945699,6.263052940368652
150,150,20.912673372341786,5.087710380554199
151,151,20.770349072099624,5.999833583831787
152,152,20.597816695549284,6.097894191741943
153,153,20.86835899986787,6.12742805480957
154,154,19.90809548949656,6.477510929107666
155,155,21.159800760460453,6.089718818664551
156,156,21.783684082379626,4.739541053771973
157,157,22.685376522907287,4.812763214111328
158,158,24.790551203081822,5.972458362579346
159,159,22.026780220379013,6.062251567840576
160,160,19.814020162191003,5.419795989990234
161,161,18.906355927030052,6.319516181945801
162,162,18.54280011033406,4.835310935974121
163,163,19.576116586063044,4.864905834197998
164,164,20.797909955231233,5.116315841674805
165,165,22.330230953809423,6.06634521484375
166,166,23.031775546561956,4.897397994995117
167,167,23.418112240247854,4.934265613555908
