sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_plus_E2_tf_lowlambda_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_plus_E2_tf_lowlambda_expanded2688,pd_winner_before,pd_winner_after_candidateB_plus_E2_tf_lowlambda_expanded2688,mt_winner_before,mt_winner_after_candidateB_plus_E2_tf_lowlambda_expanded2688,was_mt_gan_win_before
0,0,24.384505325565424,22.540541801445254,23.056379018313486,5.051645278930664,9.748218536376953,4.9201836585998535,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
1,1,24.612518312283534,22.38874396250744,22.539499463126333,4.678010940551758,11.978342056274414,5.632063388824463,gan,gan,cnn,cnn,0
2,2,25.200926367648954,22.958727889587305,23.587368228930433,4.894824504852295,8.343221664428711,5.21293830871582,gan,gan,cnn,cnn,0
3,3,24.87627415927669,23.395576173496664,23.480301683997364,4.794641017913818,9.753995895385742,4.84151029586792,gan,gan,cnn,cnn,0
4,4,24.810879874900778,22.91065989660919,23.08212483798345,4.892229080200195,8.064751625061035,5.430691242218018,gan,gan,cnn,cnn,0
5,5,27.01852197077857,22.503507148952195,24.20642042847585,5.628478050231934,6.406379699707031,6.261741638183594,gan,gan,cnn,cnn,0
6,6,28.068979766562435,24.045087776300683,25.917869803433252,6.144000053405762,6.0106329917907715,5.589200973510742,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
7,7,29.26973016135952,22.553824952557566,26.20585921924157,5.672351837158203,7.113770008087158,6.0621747970581055,gan,gan,cnn,cnn,0
8,8,29.63505050414828,23.282081530392528,26.402809488387906,7.50956392288208,6.055016040802002,5.8899030685424805,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
9,9,28.65602837253281,23.481609150211327,25.251469325688795,5.768454551696777,6.291722297668457,5.15474796295166,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
10,10,29.696969860459554,24.710016041893063,25.550438419950115,6.634506702423096,7.423793315887451,6.099370002746582,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
11,11,28.68732565326105,24.969867761946066,24.54996588804944,5.910721302032471,7.831723690032959,6.280981540679932,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,cnn,cnn,0
12,12,30.104522332856273,24.220613253945245,25.98519260348256,6.61636209487915,5.913707256317139,5.912534236907959,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
13,13,29.273674668484478,24.323688014436637,25.95633087126253,6.0738348960876465,7.402252674102783,6.544377326965332,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,24.571959765500583,5.448930263519287,5.877835750579834,5.244829177856445,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
15,15,26.322356943691645,19.148010639364745,22.774101127868285,5.097294807434082,5.86716890335083,5.581579685211182,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,20.685455092813022,5.464188098907471,5.255205154418945,4.780884742736816,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
17,17,20.900376556174706,17.11808749868573,18.604993693221488,5.2896833419799805,4.8487091064453125,4.14428186416626,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
18,18,20.394905033940507,18.610240875886223,18.052342652090335,6.258571624755859,5.554356575012207,4.4840779304504395,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
19,19,21.064082150885508,19.086676411603058,17.63493083255838,6.927988529205322,5.44291353225708,4.960214614868164,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
20,20,21.97923655969375,18.266315468004898,18.944022724573692,6.254051208496094,5.689126491546631,5.255982875823975,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
21,21,27.30086406645334,21.732522780594586,23.08219534690753,8.127616882324219,10.817054748535156,7.530447006225586,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
22,22,32.693467082501115,26.801086541907566,28.620231151567722,8.081520080566406,8.346701622009277,6.365615367889404,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
23,23,34.476953302920876,29.144574221491347,30.351185791413485,6.907674789428711,8.497876167297363,6.312098026275635,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
24,24,35.75728371567695,29.65320138308241,31.255108911103758,7.21915864944458,12.067601203918457,5.723088264465332,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
25,25,36.58411526021696,30.123491475362258,32.13777843282895,11.371563911437988,10.501462936401367,7.3943963050842285,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
26,26,35.02599363200026,30.779316467464,30.57426021810155,7.043282985687256,11.28821849822998,8.073651313781738,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,32.24199761500136,6.4783101081848145,19.968429565429688,6.5728840827941895,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,33.25178653323687,7.210402011871338,14.947399139404297,8.22794246673584,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,35.23107688482747,6.963974952697754,12.864243507385254,8.315351486206055,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,35.401831413049315,8.127463340759277,14.847400665283203,7.415589809417725,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
31,31,39.104318483733294,31.3053599336416,35.40427184442673,6.818642616271973,16.23410415649414,6.866220474243164,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,34.04468839090478,7.461033821105957,19.229158401489258,6.967710494995117,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
33,33,38.39305861348763,30.400139282712473,33.84502055190311,6.76971960067749,20.00556755065918,7.069279670715332,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,33.288195001271916,6.323113918304443,19.445999145507812,6.4409379959106445,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,32.30121838523981,6.2719197273254395,14.435929298400879,6.576353549957275,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,33.03030446178029,6.097905158996582,9.26945686340332,6.407472610473633,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,31.334772794230457,6.489102840423584,9.59257698059082,6.445012092590332,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
38,38,29.159912858159764,23.780350003542182,26.299690224209094,6.054014682769775,7.416414260864258,6.14642858505249,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,22.49459602989745,5.873856067657471,8.546488761901855,6.016324520111084,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,21.179376397947948,5.6310811042785645,8.988521575927734,5.775049209594727,gan,gan,cnn,cnn,0
41,41,23.457166445963043,17.452695580897316,19.93919607555341,5.389686584472656,8.901470184326172,5.9113383293151855,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,18.376695840463675,5.757840156555176,7.383090972900391,5.809004783630371,gan,gan,cnn,cnn,0
43,43,20.76816702008209,13.784137402758168,16.80788641815575,5.7682366371154785,7.053122520446777,5.891362190246582,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,15.851041500887426,6.20600700378418,7.041088581085205,5.942293643951416,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
45,45,20.528037851461004,13.609391097429418,16.538794258716145,6.566225528717041,6.773196697235107,5.837960720062256,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
46,46,20.678325640697178,16.27228595124608,16.500833079609677,6.243154048919678,6.650214672088623,5.658195972442627,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
47,47,22.201753073772625,13.108895112859523,17.35133603540564,6.789880752563477,7.498397350311279,6.15217399597168,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded2688,0
48,48,22.832495463547907,13.107025960847848,17.461728599086257,7.081502437591553,6.682991981506348,6.1477766036987305,gan,gan,gan,candidateB_plus_E2_tf_lowlambda_expanded2688,1
49,49,22.105793975200847,13.662675111493924,17.54406580992678,6.3195295333862305,7.889017105102539,7.1432695388793945,gan,gan,cnn,cnn,0
50,50,21.30877833114525,14.865452226211227,16.991341619472845,6.3856120109558105,6.713321685791016,6.423357009887695,gan,gan,cnn,cnn,0
51,51,21.75849079768097,16.03686368056312,17.72919542491608,5.902731418609619,7.996896266937256,6.243292331695557,gan,gan,cnn,cnn,0
52,52,21.81632996072092,16.98731478928289,18.302043550708035,5.69123649597168,7.0050048828125,5.99690055847168,gan,gan,cnn,cnn,0
