objective_set,bootstrap_scheme,method_id,n_replicates,front_membership_count,front_membership_rate,always_on_front,never_on_front
physics_topology,iid,grad_levelset,10000,10000,1.0,True,False
physics_topology,iid,grad_only,10000,10000,1.0,True,False
physics_topology,iid,levelset_only,10000,0,0.0,False,True
physics_topology,iid,speed_grad,10000,10000,1.0,True,False
physics_topology,iid,speed_levelset,10000,10000,1.0,True,False
physics_topology,iid,speed_only,10000,0,0.0,False,True
physics_topology,iid,uv,10000,6,0.0006,False,False
physics_topology,iid,uv_crit,10000,10000,1.0,True,False
physics_topology,iid,uv_e2,10000,9993,0.9993,False,False
cross_family_compact,iid,b_e2,10000,10000,1.0,True,False
cross_family_compact,iid,c_e2,10000,10000,1.0,True,False
cross_family_compact,iid,candidate_b,10000,10000,1.0,True,False
cross_family_compact,iid,candidate_c,10000,10000,1.0,True,False
cross_family_compact,iid,cnn,10000,31,0.0031,False,False
cross_family_compact,iid,f1_grad_e2,10000,10000,1.0,True,False
cross_family_compact,iid,f2_grad_levelset_e2,10000,10000,1.0,True,False
cross_family_compact,iid,f3_grad_crit,10000,10000,1.0,True,False
cross_family_compact,iid,gan,10000,10000,1.0,True,False
cross_family_compact,iid,grad_levelset,10000,10000,1.0,True,False
cross_family_compact,iid,grad_only,10000,10000,1.0,True,False
cross_family_compact,iid,levelset_only,10000,10000,1.0,True,False
cross_family_compact,iid,speed_grad,10000,10000,1.0,True,False
cross_family_compact,iid,speed_levelset,10000,10000,1.0,True,False
cross_family_compact,iid,speed_only,10000,10000,1.0,True,False
cross_family_compact,iid,uv,10000,9972,0.9972,False,False
cross_family_compact,iid,uv_crit,10000,10000,1.0,True,False
cross_family_compact,iid,uv_e2,10000,9996,0.9996,False,False
all_available_non_ssim,iid,b_e2,10000,10000,1.0,True,False
all_available_non_ssim,iid,c_e2,10000,10000,1.0,True,False
all_available_non_ssim,iid,candidate_b,10000,10000,1.0,True,False
all_available_non_ssim,iid,candidate_c,10000,10000,1.0,True,False
all_available_non_ssim,iid,cnn,10000,10000,1.0,True,False
all_available_non_ssim,iid,f1_grad_e2,10000,10000,1.0,True,False
all_available_non_ssim,iid,f2_grad_levelset_e2,10000,10000,1.0,True,False
all_available_non_ssim,iid,f3_grad_crit,10000,10000,1.0,True,False
all_available_non_ssim,iid,gan,10000,10000,1.0,True,False
all_available_non_ssim,iid,grad_levelset,10000,10000,1.0,True,False
all_available_non_ssim,iid,grad_only,10000,10000,1.0,True,False
all_available_non_ssim,iid,levelset_only,10000,10000,1.0,True,False
all_available_non_ssim,iid,speed_grad,10000,10000,1.0,True,False
all_available_non_ssim,iid,speed_levelset,10000,10000,1.0,True,False
all_available_non_ssim,iid,speed_only,10000,10000,1.0,True,False
all_available_non_ssim,iid,uv,10000,10000,1.0,True,False
all_available_non_ssim,iid,uv_crit,10000,10000,1.0,True,False
all_available_non_ssim,iid,uv_e2,10000,10000,1.0,True,False
topology_only,block6,b_e2,10000,1979,0.1979,False,False
topology_only,block6,c_e2,10000,3040,0.304,False,False
topology_only,block6,candidate_b,10000,7,0.0007,False,False
topology_only,block6,candidate_c,10000,6,0.0006,False,False
topology_only,block6,cnn,10000,0,0.0,False,True
topology_only,block6,f1_grad_e2,10000,7254,0.7254,False,False
topology_only,block6,f2_grad_levelset_e2,10000,9995,0.9995,False,False
topology_only,block6,f3_grad_crit,10000,9997,0.9997,False,False
topology_only,block6,gan,10000,10000,1.0,True,False
topology_only,block6,grad_levelset,10000,1,0.0001,False,False
topology_only,block6,grad_only,10000,1748,0.1748,False,False
topology_only,block6,levelset_only,10000,0,0.0,False,True
topology_only,block6,speed_grad,10000,0,0.0,False,True
topology_only,block6,speed_levelset,10000,0,0.0,False,True
topology_only,block6,speed_only,10000,0,0.0,False,True
topology_only,block6,uv,10000,0,0.0,False,True
topology_only,block6,uv_crit,10000,561,0.0561,False,False
topology_only,block6,uv_e2,10000,9691,0.9691,False,False
fidelity_physics_compact,block6,b_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block6,bicubic,10000,0,0.0,False,True
fidelity_physics_compact,block6,c_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block6,candidate_b,10000,10000,1.0,True,False
fidelity_physics_compact,block6,candidate_c,10000,10000,1.0,True,False
fidelity_physics_compact,block6,cnn,10000,1204,0.1204,False,False
fidelity_physics_compact,block6,f1_grad_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block6,f2_grad_levelset_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block6,f3_grad_crit,10000,7470,0.747,False,False
fidelity_physics_compact,block6,gan,10000,10000,1.0,True,False
fidelity_physics_compact,block6,grad_levelset,10000,10000,1.0,True,False
fidelity_physics_compact,block6,grad_only,10000,10000,1.0,True,False
fidelity_physics_compact,block6,levelset_only,10000,10000,1.0,True,False
fidelity_physics_compact,block6,speed_grad,10000,9996,0.9996,False,False
fidelity_physics_compact,block6,speed_levelset,10000,10000,1.0,True,False
fidelity_physics_compact,block6,speed_only,10000,10000,1.0,True,False
fidelity_physics_compact,block6,uv,10000,9895,0.9895,False,False
fidelity_physics_compact,block6,uv_crit,10000,10000,1.0,True,False
fidelity_physics_compact,block6,uv_e2,10000,9190,0.919,False,False
fidelity_topology,block6,b_e2,10000,10000,1.0,True,False
fidelity_topology,block6,c_e2,10000,10000,1.0,True,False
fidelity_topology,block6,candidate_b,10000,10000,1.0,True,False
fidelity_topology,block6,candidate_c,10000,9991,0.9991,False,False
fidelity_topology,block6,cnn,10000,0,0.0,False,True
fidelity_topology,block6,f1_grad_e2,10000,7254,0.7254,False,False
fidelity_topology,block6,f2_grad_levelset_e2,10000,10000,1.0,True,False
fidelity_topology,block6,f3_grad_crit,10000,9997,0.9997,False,False
fidelity_topology,block6,gan,10000,10000,1.0,True,False
fidelity_topology,block6,grad_levelset,10000,2389,0.2389,False,False
fidelity_topology,block6,grad_only,10000,6581,0.6581,False,False
fidelity_topology,block6,levelset_only,10000,10000,1.0,True,False
fidelity_topology,block6,speed_grad,10000,5,0.0005,False,False
fidelity_topology,block6,speed_levelset,10000,10000,1.0,True,False
fidelity_topology,block6,speed_only,10000,9928,0.9928,False,False
fidelity_topology,block6,uv,10000,4277,0.4277,False,False
fidelity_topology,block6,uv_crit,10000,10000,1.0,True,False
fidelity_topology,block6,uv_e2,10000,9908,0.9908,False,False
physics_topology,block6,b_e2,10000,10000,1.0,True,False
physics_topology,block6,c_e2,10000,10000,1.0,True,False
physics_topology,block6,candidate_b,10000,10000,1.0,True,False
physics_topology,block6,candidate_c,10000,10000,1.0,True,False
physics_topology,block6,cnn,10000,1220,0.122,False,False
physics_topology,block6,f1_grad_e2,10000,10000,1.0,True,False
physics_topology,block6,f2_grad_levelset_e2,10000,10000,1.0,True,False
physics_topology,block6,f3_grad_crit,10000,9999,0.9999,False,False
physics_topology,block6,gan,10000,10000,1.0,True,False
physics_topology,block6,grad_levelset,10000,10000,1.0,True,False
physics_topology,block6,grad_only,10000,10000,1.0,True,False
physics_topology,block6,levelset_only,10000,13,0.0013,False,False
physics_topology,block6,speed_grad,10000,9996,0.9996,False,False
physics_topology,block6,speed_levelset,10000,10000,1.0,True,False
physics_topology,block6,speed_only,10000,0,0.0,False,True
physics_topology,block6,uv,10000,49,0.0049,False,False
physics_topology,block6,uv_crit,10000,10000,1.0,True,False
physics_topology,block6,uv_e2,10000,9955,0.9955,False,False
cross_family_compact,block6,b_e2,10000,10000,1.0,True,False
cross_family_compact,block6,c_e2,10000,10000,1.0,True,False
cross_family_compact,block6,candidate_b,10000,10000,1.0,True,False
cross_family_compact,block6,candidate_c,10000,10000,1.0,True,False
cross_family_compact,block6,cnn,10000,1220,0.122,False,False
cross_family_compact,block6,f1_grad_e2,10000,10000,1.0,True,False
cross_family_compact,block6,f2_grad_levelset_e2,10000,10000,1.0,True,False
cross_family_compact,block6,f3_grad_crit,10000,9999,0.9999,False,False
cross_family_compact,block6,gan,10000,10000,1.0,True,False
cross_family_compact,block6,grad_levelset,10000,10000,1.0,True,False
cross_family_compact,block6,grad_only,10000,10000,1.0,True,False
cross_family_compact,block6,levelset_only,10000,10000,1.0,True,False
cross_family_compact,block6,speed_grad,10000,9996,0.9996,False,False
cross_family_compact,block6,speed_levelset,10000,10000,1.0,True,False
cross_family_compact,block6,speed_only,10000,10000,1.0,True,False
cross_family_compact,block6,uv,10000,9895,0.9895,False,False
cross_family_compact,block6,uv_crit,10000,10000,1.0,True,False
cross_family_compact,block6,uv_e2,10000,9986,0.9986,False,False
all_available_non_ssim,block6,b_e2,10000,10000,1.0,True,False
all_available_non_ssim,block6,c_e2,10000,10000,1.0,True,False
all_available_non_ssim,block6,candidate_b,10000,10000,1.0,True,False
all_available_non_ssim,block6,candidate_c,10000,10000,1.0,True,False
all_available_non_ssim,block6,cnn,10000,10000,1.0,True,False
all_available_non_ssim,block6,f1_grad_e2,10000,10000,1.0,True,False
all_available_non_ssim,block6,f2_grad_levelset_e2,10000,10000,1.0,True,False
all_available_non_ssim,block6,f3_grad_crit,10000,10000,1.0,True,False
all_available_non_ssim,block6,gan,10000,10000,1.0,True,False
all_available_non_ssim,block6,grad_levelset,10000,10000,1.0,True,False
all_available_non_ssim,block6,grad_only,10000,10000,1.0,True,False
all_available_non_ssim,block6,levelset_only,10000,10000,1.0,True,False
all_available_non_ssim,block6,speed_grad,10000,10000,1.0,True,False
all_available_non_ssim,block6,speed_levelset,10000,10000,1.0,True,False
all_available_non_ssim,block6,speed_only,10000,10000,1.0,True,False
all_available_non_ssim,block6,uv,10000,10000,1.0,True,False
all_available_non_ssim,block6,uv_crit,10000,10000,1.0,True,False
all_available_non_ssim,block6,uv_e2,10000,10000,1.0,True,False
topology_only,block12,b_e2,10000,1960,0.196,False,False
topology_only,block12,c_e2,10000,3270,0.327,False,False
topology_only,block12,candidate_b,10000,14,0.0014,False,False
topology_only,block12,candidate_c,10000,7,0.0007,False,False
topology_only,block12,cnn,10000,0,0.0,False,True
topology_only,block12,f1_grad_e2,10000,7599,0.7599,False,False
topology_only,block12,f2_grad_levelset_e2,10000,9967,0.9967,False,False
topology_only,block12,f3_grad_crit,10000,9967,0.9967,False,False
topology_only,block12,gan,10000,10000,1.0,True,False
topology_only,block12,grad_levelset,10000,7,0.0007,False,False
topology_only,block12,grad_only,10000,2177,0.2177,False,False
topology_only,block12,levelset_only,10000,0,0.0,False,True
topology_only,block12,speed_grad,10000,0,0.0,False,True
topology_only,block12,speed_levelset,10000,0,0.0,False,True
topology_only,block12,speed_only,10000,0,0.0,False,True
topology_only,block12,uv,10000,0,0.0,False,True
topology_only,block12,uv_crit,10000,605,0.0605,False,False
topology_only,block12,uv_e2,10000,9607,0.9607,False,False
fidelity_physics_compact,block12,b_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block12,bicubic,10000,0,0.0,False,True
fidelity_physics_compact,block12,c_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block12,candidate_b,10000,10000,1.0,True,False
fidelity_physics_compact,block12,candidate_c,10000,10000,1.0,True,False
fidelity_physics_compact,block12,cnn,10000,1756,0.1756,False,False
fidelity_physics_compact,block12,f1_grad_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block12,f2_grad_levelset_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block12,f3_grad_crit,10000,7277,0.7277,False,False
fidelity_physics_compact,block12,gan,10000,10000,1.0,True,False
fidelity_physics_compact,block12,grad_levelset,10000,10000,1.0,True,False
fidelity_physics_compact,block12,grad_only,10000,10000,1.0,True,False
fidelity_physics_compact,block12,levelset_only,10000,10000,1.0,True,False
fidelity_physics_compact,block12,speed_grad,10000,9997,0.9997,False,False
fidelity_physics_compact,block12,speed_levelset,10000,10000,1.0,True,False
fidelity_physics_compact,block12,speed_only,10000,10000,1.0,True,False
fidelity_physics_compact,block12,uv,10000,9827,0.9827,False,False
fidelity_physics_compact,block12,uv_crit,10000,10000,1.0,True,False
fidelity_physics_compact,block12,uv_e2,10000,9156,0.9156,False,False
fidelity_topology,block12,b_e2,10000,10000,1.0,True,False
fidelity_topology,block12,c_e2,10000,10000,1.0,True,False
fidelity_topology,block12,candidate_b,10000,10000,1.0,True,False
fidelity_topology,block12,candidate_c,10000,9979,0.9979,False,False
fidelity_topology,block12,cnn,10000,0,0.0,False,True
fidelity_topology,block12,f1_grad_e2,10000,7599,0.7599,False,False
fidelity_topology,block12,f2_grad_levelset_e2,10000,10000,1.0,True,False
fidelity_topology,block12,f3_grad_crit,10000,9967,0.9967,False,False
fidelity_topology,block12,gan,10000,10000,1.0,True,False
fidelity_topology,block12,grad_levelset,10000,2766,0.2766,False,False
fidelity_topology,block12,grad_only,10000,6450,0.645,False,False
fidelity_topology,block12,levelset_only,10000,10000,1.0,True,False
fidelity_topology,block12,speed_grad,10000,37,0.0037,False,False
fidelity_topology,block12,speed_levelset,10000,10000,1.0,True,False
fidelity_topology,block12,speed_only,10000,9829,0.9829,False,False
fidelity_topology,block12,uv,10000,4349,0.4349,False,False
fidelity_topology,block12,uv_crit,10000,10000,1.0,True,False
fidelity_topology,block12,uv_e2,10000,9928,0.9928,False,False
physics_topology,block12,b_e2,10000,10000,1.0,True,False
physics_topology,block12,c_e2,10000,10000,1.0,True,False
physics_topology,block12,candidate_b,10000,10000,1.0,True,False
physics_topology,block12,candidate_c,10000,10000,1.0,True,False
physics_topology,block12,cnn,10000,1786,0.1786,False,False
physics_topology,block12,f1_grad_e2,10000,10000,1.0,True,False
physics_topology,block12,f2_grad_levelset_e2,10000,10000,1.0,True,False
physics_topology,block12,f3_grad_crit,10000,9994,0.9994,False,False
physics_topology,block12,gan,10000,10000,1.0,True,False
physics_topology,block12,grad_levelset,10000,10000,1.0,True,False
physics_topology,block12,grad_only,10000,10000,1.0,True,False
physics_topology,block12,levelset_only,10000,102,0.0102,False,False
physics_topology,block12,speed_grad,10000,9997,0.9997,False,False
physics_topology,block12,speed_levelset,10000,10000,1.0,True,False
physics_topology,block12,speed_only,10000,0,0.0,False,True
physics_topology,block12,uv,10000,140,0.014,False,False
physics_topology,block12,uv_crit,10000,10000,1.0,True,False
physics_topology,block12,uv_e2,10000,9964,0.9964,False,False
cross_family_compact,block12,b_e2,10000,10000,1.0,True,False
cross_family_compact,block12,c_e2,10000,10000,1.0,True,False
cross_family_compact,block12,candidate_b,10000,10000,1.0,True,False
cross_family_compact,block12,candidate_c,10000,10000,1.0,True,False
cross_family_compact,block12,cnn,10000,1786,0.1786,False,False
cross_family_compact,block12,f1_grad_e2,10000,10000,1.0,True,False
cross_family_compact,block12,f2_grad_levelset_e2,10000,10000,1.0,True,False
cross_family_compact,block12,f3_grad_crit,10000,9994,0.9994,False,False
cross_family_compact,block12,gan,10000,10000,1.0,True,False
cross_family_compact,block12,grad_levelset,10000,10000,1.0,True,False
cross_family_compact,block12,grad_only,10000,10000,1.0,True,False
cross_family_compact,block12,levelset_only,10000,10000,1.0,True,False
cross_family_compact,block12,speed_grad,10000,9998,0.9998,False,False
cross_family_compact,block12,speed_levelset,10000,10000,1.0,True,False
cross_family_compact,block12,speed_only,10000,10000,1.0,True,False
cross_family_compact,block12,uv,10000,9832,0.9832,False,False
cross_family_compact,block12,uv_crit,10000,10000,1.0,True,False
cross_family_compact,block12,uv_e2,10000,9989,0.9989,False,False
all_available_non_ssim,block12,b_e2,10000,10000,1.0,True,False
all_available_non_ssim,block12,c_e2,10000,10000,1.0,True,False
all_available_non_ssim,block12,candidate_b,10000,10000,1.0,True,False
all_available_non_ssim,block12,candidate_c,10000,10000,1.0,True,False
all_available_non_ssim,block12,cnn,10000,10000,1.0,True,False
all_available_non_ssim,block12,f1_grad_e2,10000,10000,1.0,True,False
all_available_non_ssim,block12,f2_grad_levelset_e2,10000,10000,1.0,True,False
all_available_non_ssim,block12,f3_grad_crit,10000,10000,1.0,True,False
all_available_non_ssim,block12,gan,10000,10000,1.0,True,False
all_available_non_ssim,block12,grad_levelset,10000,10000,1.0,True,False
all_available_non_ssim,block12,grad_only,10000,10000,1.0,True,False
all_available_non_ssim,block12,levelset_only,10000,10000,1.0,True,False
all_available_non_ssim,block12,speed_grad,10000,10000,1.0,True,False
all_available_non_ssim,block12,speed_levelset,10000,10000,1.0,True,False
all_available_non_ssim,block12,speed_only,10000,10000,1.0,True,False
all_available_non_ssim,block12,uv,10000,10000,1.0,True,False
all_available_non_ssim,block12,uv_crit,10000,10000,1.0,True,False
all_available_non_ssim,block12,uv_e2,10000,10000,1.0,True,False
topology_only,block24,b_e2,10000,1648,0.1648,False,False
topology_only,block24,c_e2,10000,3509,0.3509,False,False
topology_only,block24,candidate_b,10000,19,0.0019,False,False
topology_only,block24,candidate_c,10000,3,0.0003,False,False
topology_only,block24,cnn,10000,0,0.0,False,True
topology_only,block24,f1_grad_e2,10000,8099,0.8099,False,False
topology_only,block24,f2_grad_levelset_e2,10000,9915,0.9915,False,False
topology_only,block24,f3_grad_crit,10000,9861,0.9861,False,False
topology_only,block24,gan,10000,10000,1.0,True,False
topology_only,block24,grad_levelset,10000,16,0.0016,False,False
topology_only,block24,grad_only,10000,2543,0.2543,False,False
topology_only,block24,levelset_only,10000,0,0.0,False,True
topology_only,block24,speed_grad,10000,0,0.0,False,True
topology_only,block24,speed_levelset,10000,0,0.0,False,True
topology_only,block24,speed_only,10000,0,0.0,False,True
topology_only,block24,uv,10000,0,0.0,False,True
topology_only,block24,uv_crit,10000,601,0.0601,False,False
topology_only,block24,uv_e2,10000,9662,0.9662,False,False
fidelity_physics_compact,block24,b_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block24,bicubic,10000,0,0.0,False,True
fidelity_physics_compact,block24,c_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block24,candidate_b,10000,10000,1.0,True,False
fidelity_physics_compact,block24,candidate_c,10000,10000,1.0,True,False
fidelity_physics_compact,block24,cnn,10000,2231,0.2231,False,False
fidelity_physics_compact,block24,f1_grad_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block24,f2_grad_levelset_e2,10000,10000,1.0,True,False
fidelity_physics_compact,block24,f3_grad_crit,10000,7236,0.7236,False,False
fidelity_physics_compact,block24,gan,10000,10000,1.0,True,False
fidelity_physics_compact,block24,grad_levelset,10000,10000,1.0,True,False
fidelity_physics_compact,block24,grad_only,10000,10000,1.0,True,False
fidelity_physics_compact,block24,levelset_only,10000,10000,1.0,True,False
fidelity_physics_compact,block24,speed_grad,10000,9987,0.9987,False,False
fidelity_physics_compact,block24,speed_levelset,10000,10000,1.0,True,False
fidelity_physics_compact,block24,speed_only,10000,10000,1.0,True,False
fidelity_physics_compact,block24,uv,10000,9798,0.9798,False,False
fidelity_physics_compact,block24,uv_crit,10000,10000,1.0,True,False
fidelity_physics_compact,block24,uv_e2,10000,8949,0.8949,False,False
fidelity_topology,block24,b_e2,10000,10000,1.0,True,False
fidelity_topology,block24,c_e2,10000,10000,1.0,True,False
fidelity_topology,block24,candidate_b,10000,10000,1.0,True,False
fidelity_topology,block24,candidate_c,10000,9955,0.9955,False,False
fidelity_topology,block24,cnn,10000,0,0.0,False,True
fidelity_topology,block24,f1_grad_e2,10000,8099,0.8099,False,False
fidelity_topology,block24,f2_grad_levelset_e2,10000,10000,1.0,True,False
fidelity_topology,block24,f3_grad_crit,10000,9861,0.9861,False,False
fidelity_topology,block24,gan,10000,10000,1.0,True,False
fidelity_topology,block24,grad_levelset,10000,2847,0.2847,False,False
fidelity_topology,block24,grad_only,10000,6229,0.6229,False,False
fidelity_topology,block24,levelset_only,10000,10000,1.0,True,False
fidelity_topology,block24,speed_grad,10000,140,0.014,False,False
fidelity_topology,block24,speed_levelset,10000,10000,1.0,True,False
fidelity_topology,block24,speed_only,10000,9684,0.9684,False,False
fidelity_topology,block24,uv,10000,4793,0.4793,False,False
fidelity_topology,block24,uv_crit,10000,10000,1.0,True,False
fidelity_topology,block24,uv_e2,10000,9961,0.9961,False,False
physics_topology,block24,b_e2,10000,10000,1.0,True,False
physics_topology,block24,c_e2,10000,10000,1.0,True,False
physics_topology,block24,candidate_b,10000,10000,1.0,True,False
physics_topology,block24,candidate_c,10000,10000,1.0,True,False
physics_topology,block24,cnn,10000,2256,0.2256,False,False
physics_topology,block24,f1_grad_e2,10000,10000,1.0,True,False
physics_topology,block24,f2_grad_levelset_e2,10000,10000,1.0,True,False
physics_topology,block24,f3_grad_crit,10000,9961,0.9961,False,False
physics_topology,block24,gan,10000,10000,1.0,True,False
physics_topology,block24,grad_levelset,10000,10000,1.0,True,False
physics_topology,block24,grad_only,10000,10000,1.0,True,False
physics_topology,block24,levelset_only,10000,230,0.023,False,False
physics_topology,block24,speed_grad,10000,9992,0.9992,False,False
physics_topology,block24,speed_levelset,10000,10000,1.0,True,False
physics_topology,block24,speed_only,10000,1,0.0001,False,False
physics_topology,block24,uv,10000,136,0.0136,False,False
physics_topology,block24,uv_crit,10000,10000,1.0,True,False
physics_topology,block24,uv_e2,10000,9997,0.9997,False,False
cross_family_compact,block24,b_e2,10000,10000,1.0,True,False
cross_family_compact,block24,c_e2,10000,10000,1.0,True,False
cross_family_compact,block24,candidate_b,10000,10000,1.0,True,False
