metric_a,metric_b,method_level_oriented_pearson,within_method_median_oriented_pearson,samplewise_median_oriented_pearson,two_way_residual_oriented_pearson,all_levels_defined,consistent_nonzero_sign
psnruv,speed_mae,0.9937851123647267,0.5620612988182465,0.9926140883920083,0.2635423896540999,True,True
psnruv,speed_rmse,0.997701198487238,0.4979347826546503,0.9974223058885341,0.36132594349818403,True,True
psnruv,wpd_mae,0.989869250958862,0.17202336185892003,0.987072733071689,0.12292959008422627,True,True
psnruv,wpd_w1,0.7032178705580019,0.13103201898689176,0.5798516570741808,0.06492738008660186,True,True
psnruv,wpd_bias_abs,0.761534606119215,0.1223416313241678,0.6266984545724282,0.023695231188242138,True,True
psnruv,grad_mae,0.7531488382487962,0.5617950728418395,0.7497800284180174,0.231044074019316,True,True
psnruv,grad_w1,-0.525686899301416,0.5979573505007012,-0.5273271523652181,0.14152694687310938,True,False
psnruv,grad_kurtosis_abs_delta,-0.07307530142257909,-0.4145270060421441,-0.0008420776146969306,0.12129681234450396,True,False
psnruv,psd_log_l2,-0.6537680208013178,0.349637698658985,-0.6755173923645288,0.05560481390003267,True,False
psnruv,psd_slope_abs_delta,-0.6615235608014473,0.4209543470296591,-0.6616331165711791,-0.1866387452186972,True,False
psnruv,exceed_abs_t5,0.06437585701912554,0.4239289027863748,-0.01342329830672185,0.12941246121834094,True,False
psnruv,exceed_abs_t10,0.7824037222056797,0.2011995342902212,0.6237488293705908,0.01749827494155074,True,True
psnruv,exceed_abs_t15,0.6254567225579117,0.24043168674562151,0.37939535559932713,0.005926295873091359,True,True
psnruv,exceed_abs_p90,0.5982219548437435,0.5748839627529837,0.4510067508487824,-0.15374468233452038,True,False
psnruv,comp_curve_l1,-0.09543130816078631,0.7393620787536913,-0.051145234133447605,0.18030245568951522,True,False
psnruv,comp_abs_t5,-0.6746175085941885,0.020231982960524145,-0.6126956291848968,0.05875174720902386,True,False
psnruv,comp_abs_t10,-0.6703874707088698,0.5298860894834315,-0.6536552004098821,0.07785799942191411,True,False
psnruv,comp_abs_t15,0.08006833141739658,0.36573339014102474,0.0370690250699153,0.11547166017391779,True,True
psnruv,pd_distance,-0.3985025643599667,0.19405212727588497,-0.39402249769596426,0.00695140234122161,True,False
psnruv,mt_distance,0.6590712224967269,-0.1512034043645554,0.4648957071960268,0.11614483263057454,True,False
speed_mae,speed_rmse,0.9973493258215576,0.9590080628081589,0.9962859307918017,0.9328407303086702,True,True
speed_mae,wpd_mae,0.9992507754268277,0.8456515278410884,0.9977887618529434,0.8392721163001394,True,True
speed_mae,wpd_w1,0.7382442377658941,0.7601605167714363,0.6450570943869504,0.5222967704809575,True,True
speed_mae,wpd_bias_abs,0.7990087179691248,0.6988858342967995,0.6668764746386047,0.5174624353581653,True,True
speed_mae,grad_mae,0.753874253761729,0.9901022444836054,0.7438080390552796,0.3638212397420859,True,True
speed_mae,grad_w1,-0.5553524207033295,0.9257954789134423,-0.5579664066183967,-0.34972418358789853,True,False
speed_mae,grad_kurtosis_abs_delta,-0.0674030534367428,-0.27926631099217236,-0.005368413144314973,-0.01507742454627056,True,True
speed_mae,psd_log_l2,-0.6753237919752384,0.6967164450764047,-0.7074924189280255,-0.2810148588739894,True,False
speed_mae,psd_slope_abs_delta,-0.6558328796573981,0.21127714562130978,-0.6659709677566141,-0.23770264277363196,True,False
speed_mae,exceed_abs_t5,0.10707756388892822,0.35938670936064215,0.028891135222328772,-0.1156011009631866,True,False
speed_mae,exceed_abs_t10,0.8309046043085883,-0.09550252769448223,0.6561917858640898,0.44902198107338837,True,False
speed_mae,exceed_abs_t15,0.6523146605684299,0.6674958703020161,0.4139656915430361,0.41934942592742436,True,True
speed_mae,exceed_abs_p90,0.61298580502954,0.5217553763677553,0.4870175743426405,0.14956488456928366,True,True
speed_mae,comp_curve_l1,-0.07660543192800966,0.5348766359581743,-0.0347534854499085,0.07147893903247897,True,False
speed_mae,comp_abs_t5,-0.7153898752232957,-0.42219194566741247,-0.6561759251630461,0.20637718363085938,True,False
speed_mae,comp_abs_t10,-0.6989095370710795,0.3266328882543301,-0.6781444704466008,-0.06574897179402919,True,False
speed_mae,comp_abs_t15,0.11079184716033882,0.8342435037827066,0.05877953901406836,-0.0992935540167836,True,False
speed_mae,pd_distance,-0.39341822543994437,0.7958929852333207,-0.3847058538110921,-0.17720795917113066,True,False
speed_mae,mt_distance,0.7237580462717479,0.29104551722130023,0.5404520829827604,0.20909026679942347,True,True
speed_rmse,wpd_mae,0.9946228263734102,0.7754345002638321,0.992114786216362,0.8190048624615598,True,True
speed_rmse,wpd_w1,0.7275167204187074,0.7545732645314538,0.5971543320527053,0.49680666612709684,True,True
speed_rmse,wpd_bias_abs,0.7876688588171536,0.7430112355772012,0.6473727478369827,0.4875217706748247,True,True
speed_rmse,grad_mae,0.761666964056435,0.9721957311168691,0.7556879304626485,0.28505074497463395,True,True
speed_rmse,grad_w1,-0.5406704569890484,0.9296139521879306,-0.5416573636578783,-0.40953512124712116,True,False
speed_rmse,grad_kurtosis_abs_delta,-0.053751653710144426,-0.25946445558904296,0.020678722922799802,0.010372409751102034,True,False
speed_rmse,psd_log_l2,-0.6545894870462055,0.7157168138692293,-0.6958282409937907,-0.29711573166728167,True,False
speed_rmse,psd_slope_abs_delta,-0.6421223124979076,0.2192874636554938,-0.6552275322822532,-0.19805049194852473,True,False
speed_rmse,exceed_abs_t5,0.09589924966300459,0.4001532175168687,0.020117567482040757,-0.1388939571135034,True,False
speed_rmse,exceed_abs_t10,0.8153729838346041,-0.13838992954720156,0.649007438075996,0.4287032620216347,True,False
speed_rmse,exceed_abs_t15,0.6432151720930744,0.736667245391411,0.3987450731096752,0.38883584246831937,True,True
speed_rmse,exceed_abs_p90,0.607200819045476,0.5194322330801557,0.4547582024680186,0.03255241372864833,True,True
speed_rmse,comp_curve_l1,-0.07599163695729207,0.5861676756513116,-0.03372067143197385,0.056139879876757774,True,False
speed_rmse,comp_abs_t5,-0.6958492080310953,-0.3608181982940357,-0.6107949897580186,0.20633653166343918,True,False
speed_rmse,comp_abs_t10,-0.680903970004705,0.2602305430515493,-0.663864616593349,-0.05475477048274807,True,False
