sample_idx,metric_a,metric_b,n_methods,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,interpretation_level
0,psnruv,speed_mae,19,-0.9895842921111103,-0.9894736842105263,0.9895842921111103,0.9894736842105263,within_sample_across_methods
0,psnruv,speed_rmse,19,-0.99837949177029,-0.9929824561403509,0.99837949177029,0.9929824561403509,within_sample_across_methods
0,psnruv,wpd_mae,19,-0.9964124345537811,-0.987719298245614,0.9964124345537811,0.987719298245614,within_sample_across_methods
0,psnruv,wpd_w1,19,0.11060157888752745,0.41228070175438597,-0.11060157888752745,-0.41228070175438597,within_sample_across_methods
0,psnruv,wpd_bias_abs,19,0.1428687941443463,0.3192982456140351,-0.1428687941443463,-0.3192982456140351,within_sample_across_methods
0,psnruv,grad_mae,19,-0.7835275703215498,-0.20350877192982456,0.7835275703215498,0.20350877192982456,within_sample_across_methods
0,psnruv,grad_w1,19,0.5785478981082168,0.7368421052631579,-0.5785478981082168,-0.7368421052631579,within_sample_across_methods
0,psnruv,grad_kurtosis_abs_delta,19,-0.2741962467904617,-0.08596491228070176,0.2741962467904617,0.08596491228070176,within_sample_across_methods
0,psnruv,psd_log_l2,19,0.6270317779408133,0.7473684210526316,-0.6270317779408133,-0.7473684210526316,within_sample_across_methods
0,psnruv,psd_slope_abs_delta,19,0.5866541248017806,0.6280701754385964,-0.5866541248017806,-0.6280701754385964,within_sample_across_methods
0,psnruv,exceed_abs_t5,19,-0.6258828663555001,-0.3017543859649123,0.6258828663555001,0.3017543859649123,within_sample_across_methods
0,psnruv,exceed_abs_t10,19,0.1643374909595309,0.18596491228070175,-0.1643374909595309,-0.18596491228070175,within_sample_across_methods
0,psnruv,exceed_abs_t15,19,0.09067957011079938,0.312280701754386,-0.09067957011079938,-0.312280701754386,within_sample_across_methods
0,psnruv,exceed_abs_p90,19,-0.2690042711503543,0.005263157894736842,0.2690042711503543,-0.005263157894736842,within_sample_across_methods
0,psnruv,comp_curve_l1,19,0.7516415912200939,0.7257569807929254,-0.7516415912200939,-0.7257569807929254,within_sample_across_methods
0,psnruv,comp_abs_t5,19,0.6078619162155712,0.5680423611590619,-0.6078619162155712,-0.5680423611590619,within_sample_across_methods
0,psnruv,comp_abs_t10,19,0.6753746554375093,0.6517353043544113,-0.6753746554375093,-0.6517353043544113,within_sample_across_methods
0,psnruv,comp_abs_t15,19,0.7871018483427673,0.7052631578947368,-0.7871018483427673,-0.7052631578947368,within_sample_across_methods
0,psnruv,pd_distance,18,0.38418151159276387,0.42208462332301344,-0.38418151159276387,-0.42208462332301344,within_sample_across_methods
0,psnruv,mt_distance,18,-0.6535243075883161,-0.45923632610939114,0.6535243075883161,0.45923632610939114,within_sample_across_methods
0,speed_mae,speed_rmse,19,0.9866275032989185,0.9859649122807017,0.9866275032989185,0.9859649122807017,within_sample_across_methods
