method_id,metric_a,metric_b,correlation_type,observed_correlation,iid_ci95_low,iid_ci95_high,block6_ci95_low,block6_ci95_high,block12_ci95_low,block12_ci95_high,block24_ci95_low,block24_ci95_high,iid_sign,block6_sign,block12_sign,block24_sign,all_interval_signs_agree
b_e2,pd_distance,psnruv,pearson,0.1931962474040138,0.04223505018668066,0.3365208065994053,-0.14956009086105587,0.5401868321536696,-0.19892231880193903,0.5908303181336682,-0.11935250416794585,0.6124309876018197,positive,includes_zero,includes_zero,includes_zero,False
b_e2,pd_distance,psnruv,spearman,0.2709517566726226,0.10729153756435242,0.41906550252896146,-0.08698989160814105,0.5822796836600093,-0.11887489981776873,0.640137164442327,-0.04222868578308165,0.656663653681586,positive,includes_zero,includes_zero,includes_zero,False
b_e2,pd_distance,speed_mae,pearson,0.7985752203096416,0.7526688610548503,0.8391038217825227,0.71282361839435,0.8768321504099498,0.7140598183995831,0.8911239515804413,0.7129581110016057,0.9006964851328697,positive,positive,positive,positive,True
b_e2,pd_distance,speed_mae,spearman,0.8519748330895268,0.8001775631138638,0.8882880363152765,0.7463225233428227,0.9047011843642306,0.7351300209851624,0.9104452977945862,0.7329415078248862,0.9160025065811562,positive,positive,positive,positive,True
b_e2,pd_distance,wpd_mae,pearson,0.8071460731425412,0.7521630760330392,0.8530193173513274,0.7014281165070924,0.8795200671697601,0.7081333355358215,0.8782507278715442,0.6976578742173405,0.8770665225798951,positive,positive,positive,positive,True
b_e2,pd_distance,wpd_mae,spearman,0.8035416909207789,0.7377497078463924,0.8539006294695,0.669093976399649,0.8778499777989729,0.6555312010854387,0.8818113340903905,0.644121691787536,0.8803418112449941,positive,positive,positive,positive,True
b_e2,pd_distance,grad_mae,pearson,0.8065187605339774,0.7610500161855588,0.8478184957589296,0.7171435353826466,0.8930295226986733,0.6962367171113619,0.9081553943521437,0.6931396049962621,0.9197606457288856,positive,positive,positive,positive,True
b_e2,pd_distance,grad_mae,spearman,0.845118722824849,0.7896371185546178,0.8834203104785574,0.7338327998926547,0.9070810580752534,0.7137949110080225,0.9168145573986917,0.7066082305070204,0.9251131560663889,positive,positive,positive,positive,True
b_e2,pd_distance,psd_log_l2,pearson,0.6470815708290584,0.5664064374119961,0.721022015479681,0.46945390572202295,0.7848184541830909,0.3796802374394688,0.8038016210429727,0.3691590610097421,0.8028364413912193,positive,positive,positive,positive,True
b_e2,pd_distance,psd_log_l2,spearman,0.6759507190184297,0.5797163766789725,0.7523580589740518,0.4449250918474036,0.8129846251087496,0.37224931587554144,0.8270540368505639,0.40415629719306684,0.8205953187309573,positive,positive,positive,positive,True
b_e2,pd_distance,exceed_abs_p90,pearson,0.36610198381828013,0.24064931421229158,0.4727802952648926,0.1332030034477069,0.5798606350747679,0.11050343345002196,0.6181553360755634,0.07392012941529685,0.6493922649594835,positive,positive,positive,positive,True
b_e2,pd_distance,exceed_abs_p90,spearman,0.4814818798682792,0.34390621357254436,0.5861527938072276,0.21470164188866422,0.6776930149604107,0.19029278132277067,0.7090570607694695,0.13941646376113404,0.7365433420042029,positive,positive,positive,positive,True
b_e2,pd_distance,comp_curve_l1,pearson,0.2837568656803517,0.18640240166025726,0.3779675145705489,0.09458090729200709,0.5061934264663629,0.03649748301646903,0.5420779965279555,0.0657231323805457,0.5919043878826351,positive,positive,positive,positive,True
b_e2,pd_distance,comp_curve_l1,spearman,0.3483486676593398,0.2182518737621555,0.46009677680628297,0.10982115413153301,0.5906506937114926,0.01650822061339362,0.6215629964683705,0.054248822447670264,0.65035162042496,positive,positive,positive,positive,True
b_e2,mt_distance,psnruv,pearson,-0.24343897203223164,-0.366709886520569,-0.12328076779774068,-0.4619457886118223,-0.017542235779145873,-0.4907680733540719,0.007069356129633775,-0.473191952005099,0.06151757715421601,negative,negative,includes_zero,includes_zero,False
b_e2,mt_distance,psnruv,spearman,-0.2647815105208012,-0.40713904848727317,-0.1195178223532185,-0.4968413588683167,0.004919563835922356,-0.5246526162647814,0.037693068859761786,-0.5079645115917623,0.11200408072203705,negative,includes_zero,includes_zero,includes_zero,False
b_e2,mt_distance,speed_mae,pearson,0.24486201575492242,0.07807603259236105,0.38601142343620076,-0.07305925654472957,0.48799933461425843,-0.14294091112749088,0.5248205543934159,-0.14794083015053558,0.5490086677901815,positive,includes_zero,includes_zero,includes_zero,False
b_e2,mt_distance,speed_mae,spearman,0.18300170580225855,0.02230912096255059,0.33442103152826885,-0.10968861513318567,0.4694762168368675,-0.17232828324359933,0.5179617702274162,-0.17329291203315997,0.5449701092925332,positive,includes_zero,includes_zero,includes_zero,False
b_e2,mt_distance,wpd_mae,pearson,0.25620312256559047,0.05739108722712985,0.42282803092390325,-0.1576517346385436,0.5317510506576013,-0.20316432712563223,0.5708651680583108,-0.22770674916511535,0.5844607025961427,positive,includes_zero,includes_zero,includes_zero,False
