metric_a,metric_b,n_methods_available,pearson_median,pearson_q25,pearson_q75,pearson_min,pearson_max,pearson_n_positive,pearson_n_negative,spearman_median,spearman_q25,spearman_q75,spearman_min,spearman_max,spearman_n_positive,spearman_n_negative,interpretation_level
psnruv,speed_mae,19,0.5620612988182465,0.5565801721462613,0.5649307199427434,0.3841006734981091,0.568849970048742,19,0,0.4438983402594642,0.4417306553418944,0.446713926331614,0.3149331092675174,0.4516858084338508,19,0,within_method_across_samples
psnruv,speed_rmse,19,0.4979347826546503,0.49273191599541344,0.503904769334298,0.24761768979219476,0.511490783545746,19,0,0.43483278582311286,0.42868025571848695,0.43565784744964847,0.2308932430995996,0.44131685909668406,19,0,within_method_across_samples
psnruv,wpd_mae,19,0.17202336185892003,0.16126162330341715,0.1726726202937472,0.056312893623492066,0.21298080749042242,19,0,0.10520041911105937,0.10241773426941553,0.10858165326152429,0.027039749748179045,0.16382028841724836,19,0,within_method_across_samples
psnruv,wpd_w1,19,0.13103201898689176,0.022729739000843033,0.2726706450876086,-0.2628947809749307,0.5341682890947589,15,4,0.16036059748634598,0.07369369460571672,0.27483663273621817,-0.25227398120074307,0.5032344440451304,16,3,within_method_across_samples
psnruv,wpd_bias_abs,19,0.1223416313241678,0.026371152749453147,0.23379704524972333,-0.25358833186111834,0.6090930255652167,15,4,0.17629491650680043,0.06445477599323753,0.27038357773042254,-0.23291287247989229,0.5805776443731303,16,3,within_method_across_samples
psnruv,grad_mae,19,0.5617950728418395,0.5342843139352849,0.590653841656811,0.39874867901345235,0.5973954820905449,19,0,0.4535029687033372,0.43662843374957605,0.4804199715530899,0.3107597147210229,0.48758105091591963,19,0,within_method_across_samples
psnruv,grad_w1,19,0.5979573505007012,0.4775455330090715,0.659683676672654,0.10403356681385419,0.6792730097830949,19,0,0.507476171916522,0.459073400114395,0.5622541898451617,0.12778837928538528,0.5809319653170413,19,0,within_method_across_samples
psnruv,grad_kurtosis_abs_delta,19,-0.4145270060421441,-0.4583134551096256,-0.38542223637006245,-0.5012645093249071,-0.2510193824345682,0,19,-0.3497451420067726,-0.43583374248966145,-0.2720337009834937,-0.4978690126087639,-0.1318276380459706,0,19,within_method_across_samples
psnruv,psd_log_l2,19,0.349637698658985,0.34110894692863736,0.3633639696501392,0.3006061631182975,0.5010355153307323,19,0,0.32500847839401503,0.3092766284843669,0.3407327357120079,0.2609599060543326,0.4522299441691427,19,0,within_method_across_samples
psnruv,psd_slope_abs_delta,19,0.4209543470296591,0.3829521971516472,0.43301470851295176,0.24464351745020438,0.5774807604938725,19,0,0.44750482129570107,0.4290130643193748,0.4612081838014588,0.22756262622683626,0.6099027642095353,19,0,within_method_across_samples
psnruv,exceed_abs_t5,19,0.4239289027863748,0.024280656493491704,0.5217819815687202,-0.15804471516431523,0.5773687279037211,14,5,0.3495513713230478,0.008264986451305273,0.5079682603308143,-0.25546273571397576,0.5662178809444046,14,5,within_method_across_samples
psnruv,exceed_abs_t10,19,0.2011995342902212,0.13733136924721392,0.2961995565461889,0.010380528814857565,0.647680191297653,19,0,0.14362806353771718,0.09768140719886245,0.24878665660991406,-0.003812753680048122,0.6311114035664934,18,1,within_method_across_samples
