method_id,metric_a,metric_b,n_samples,status,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,interpretation_level
b_e2,psnruv,speed_mae,168,available,-0.5648218750084621,-0.4516858084338508,0.5648218750084621,0.4516858084338508,within_method_across_samples
b_e2,psnruv,speed_rmse,168,available,-0.511490783545746,-0.44131685909668406,0.511490783545746,0.44131685909668406,within_method_across_samples
b_e2,psnruv,wpd_mae,168,available,-0.16132481313913885,-0.10632159181214916,0.16132481313913885,0.10632159181214916,within_method_across_samples
b_e2,psnruv,wpd_w1,168,available,0.10263496988787567,0.06694894235198243,-0.10263496988787567,-0.06694894235198243,within_method_across_samples
b_e2,psnruv,wpd_bias_abs,168,available,0.029674034692551712,-0.026979009014937157,-0.029674034692551712,0.026979009014937157,within_method_across_samples
b_e2,psnruv,grad_mae,168,available,-0.5338876331950396,-0.436029884440755,0.5338876331950396,0.436029884440755,within_method_across_samples
b_e2,psnruv,grad_w1,168,available,-0.448194374972432,-0.4334104403196987,0.448194374972432,0.4334104403196987,within_method_across_samples
b_e2,psnruv,grad_kurtosis_abs_delta,168,available,0.38253008387037857,0.42279346632179426,-0.38253008387037857,-0.42279346632179426,within_method_across_samples
b_e2,psnruv,psd_log_l2,168,available,-0.34179677681496873,-0.3095347766006449,0.34179677681496873,0.3095347766006449,within_method_across_samples
b_e2,psnruv,psd_slope_abs_delta,168,available,-0.4104508394319709,-0.4503419197108741,0.4104508394319709,0.4503419197108741,within_method_across_samples
b_e2,psnruv,exceed_abs_t5,168,available,0.03203070273985356,0.12837120898366225,-0.03203070273985356,-0.12837120898366225,within_method_across_samples
b_e2,psnruv,exceed_abs_t10,168,available,-0.1156023507212913,-0.1248831845922964,0.1156023507212913,0.1248831845922964,within_method_across_samples
b_e2,psnruv,exceed_abs_t15,168,available,-0.03930977217995027,-0.05233073877279914,0.03930977217995027,0.05233073877279914,within_method_across_samples
b_e2,psnruv,exceed_abs_p90,168,available,-0.25960418140345637,-0.2631607253286779,0.25960418140345637,0.2631607253286779,within_method_across_samples
b_e2,psnruv,comp_curve_l1,168,available,-0.7025492166877371,-0.6444767982551345,0.7025492166877371,0.6444767982551345,within_method_across_samples
b_e2,psnruv,comp_abs_t5,168,available,-0.039689803729282234,-0.01740334427404723,0.039689803729282234,0.01740334427404723,within_method_across_samples
b_e2,psnruv,comp_abs_t10,168,available,-0.492226895596889,-0.44525422342401705,0.492226895596889,0.44525422342401705,within_method_across_samples
b_e2,psnruv,comp_abs_t15,168,available,-0.30162955768228167,-0.32030869489956654,0.30162955768228167,0.32030869489956654,within_method_across_samples
b_e2,psnruv,pd_distance,168,available,-0.1931962474040138,-0.2709517566726226,0.1931962474040138,0.2709517566726226,within_method_across_samples
b_e2,psnruv,mt_distance,168,available,0.24343897203223164,0.2647815105208012,-0.24343897203223164,-0.2647815105208012,within_method_across_samples
b_e2,speed_mae,speed_rmse,168,available,0.9607139591405753,0.9633277823052121,0.9607139591405753,0.9633277823052121,within_method_across_samples
b_e2,speed_mae,wpd_mae,168,available,0.8370499157348414,0.8138119365664276,0.8370499157348414,0.8138119365664276,within_method_across_samples
b_e2,speed_mae,wpd_w1,168,available,0.6433450010633158,0.6916091738754107,0.6433450010633158,0.6916091738754107,within_method_across_samples
b_e2,speed_mae,wpd_bias_abs,168,available,0.6518416205040257,0.7387794149655044,0.6518416205040257,0.7387794149655044,within_method_across_samples
b_e2,speed_mae,grad_mae,168,available,0.9901022444836054,0.9876367299213914,0.9901022444836054,0.9876367299213914,within_method_across_samples
