method_id,raw__psnruv,oriented__psnruv,raw__ssim_speed,oriented__ssim_speed,raw__speed_mae,oriented__speed_mae,raw__speed_rmse,oriented__speed_rmse,raw__wpd_mae,oriented__wpd_mae,raw__wpd_w1,oriented__wpd_w1,raw__wpd_bias_abs,oriented__wpd_bias_abs,raw__grad_mae,oriented__grad_mae,raw__grad_w1,oriented__grad_w1,raw__grad_kurtosis_abs_delta,oriented__grad_kurtosis_abs_delta,raw__psd_log_l2,oriented__psd_log_l2,raw__psd_slope_abs_delta,oriented__psd_slope_abs_delta,raw__exceed_abs_t5,oriented__exceed_abs_t5,raw__exceed_abs_t10,oriented__exceed_abs_t10,raw__exceed_abs_t15,oriented__exceed_abs_t15,raw__exceed_abs_p90,oriented__exceed_abs_p90,raw__comp_curve_l1,oriented__comp_curve_l1,raw__comp_abs_t5,oriented__comp_abs_t5,raw__comp_abs_t10,oriented__comp_abs_t10,raw__comp_abs_t15,oriented__comp_abs_t15,raw__pd_distance,oriented__pd_distance,raw__mt_distance,oriented__mt_distance
b_e2,32.68894034404409,32.68894034404409,,,0.5684218234352498,-0.5684218234352498,0.9629228498438172,-0.9629228498438172,183.41701014952932,-183.41701014952932,16.08684255251199,-16.08684255251199,12.685131755970483,-12.685131755970483,0.31200329671250043,-0.31200329671250043,0.15426182485335077,-0.15426182485335077,2.9747054279552594,-2.9747054279552594,0.8508610050202419,-0.8508610050202419,1.2028954204331481,-1.2028954204331481,0.0020346666666666716,-0.0020346666666666716,0.00263711904761905,-0.00263711904761905,0.0018069047619047628,-0.0018069047619047628,0.0027916428571428606,-0.0027916428571428606,88.00595238095238,-88.00595238095238,56.166666666666664,-56.166666666666664,167.58928571428572,-167.58928571428572,77.4702380952381,-77.4702380952381,23.98758167822223,-23.98758167822223,5.677425131911323,-5.677425131911323
bicubic,32.22024489796837,32.22024489796837,,,0.596289377222885,-0.596289377222885,1.0156229105954468,-1.0156229105954468,193.540269137353,-193.540269137353,55.510348124618694,-55.510348124618694,41.22437202840623,-41.22437202840623,0.3696363608464772,-0.3696363608464772,0.32818832171756845,-0.32818832171756845,6.6162877248802445,-6.6162877248802445,1.362546405288007,-1.362546405288007,1.6683939052516963,-1.6683939052516963,0.009455761904761913,-0.009455761904761913,0.008511809523809527,-0.008511809523809527,0.0073668333333333355,-0.0073668333333333355,0.010896261904761905,-0.010896261904761905,173.1855158730159,-173.1855158730159,79.29166666666667,-79.29166666666667,271.8154761904762,-271.8154761904762,177.57738095238096,-177.57738095238096,,,,
c_e2,32.732944248896615,32.732944248896615,,,0.5648566418942201,-0.5648566418942201,0.9566489630167713,-0.9566489630167713,182.91063460560912,-182.91063460560912,12.909754732649752,-12.909754732649752,6.703762910533212,-6.703762910533212,0.31156755758425475,-0.31156755758425475,0.15819023466135262,-0.15819023466135262,2.953721006742436,-2.953721006742436,0.858852600896507,-0.858852600896507,1.2508584906370288,-1.2508584906370288,0.002216523809523815,-0.002216523809523815,0.002413047619047621,-0.002413047619047621,0.0015110476190476182,-0.0015110476190476182,0.0016504523809523807,-0.0016504523809523807,91.8690476190476,-91.8690476190476,56.55357142857143,-56.55357142857143,175.98214285714286,-175.98214285714286,82.26190476190476,-82.26190476190476,24.26859932750987,-24.26859932750987,5.662811040878296,-5.662811040878296
candidate_b,33.5198266878528,33.5198266878528,,,0.5140811588466916,-0.5140811588466916,0.8762791858731417,-0.8762791858731417,164.59352863034056,-164.59352863034056,26.68694395259362,-26.68694395259362,19.689052212863682,-19.689052212863682,0.3124040635880573,-0.3124040635880573,0.1996129982297536,-0.1996129982297536,2.93740821275793,-2.93740821275793,0.9754215585976201,-0.9754215585976201,1.317693468147313,-1.317693468147313,0.004886714285714284,-0.004886714285714284,0.0036455952380952386,-0.0036455952380952386,0.0034733333333333343,-0.0034733333333333343,0.005087023809523816,-0.005087023809523816,112.3253968253968,-112.3253968253968,58.714285714285715,-58.714285714285715,189.20833333333334,-189.20833333333334,110.25,-110.25,22.706997671157218,-22.706997671157218,6.161181682632083,-6.161181682632083
candidate_c,33.4806685558041,33.4806685558041,,,0.5146736309803922,-0.5146736309803922,0.8796379856523429,-0.8796379856523429,165.94468049775801,-165.94468049775801,16.154361978800292,-16.154361978800292,7.985822841162222,-7.985822841162222,0.31045584063453685,-0.31045584063453685,0.19415830860779085,-0.19415830860779085,3.276204823710759,-3.276204823710759,0.9527179364237264,-0.9527179364237264,1.2718841266117675,-1.2718841266117675,0.005546261904761905,-0.005546261904761905,0.003575166666666665,-0.003575166666666665,0.0015469999999999993,-0.0015469999999999993,0.0022987857142857154,-0.0022987857142857154,112.70138888888881,-112.70138888888881,61.904761904761905,-61.904761904761905,200.0,-200.0,105.80952380952381,-105.80952380952381,22.494387345643283,-22.494387345643283,6.080286664622171,-6.080286664622171
cnn,31.192500433861134,31.192500433861134,,,0.6940701629397316,-0.6940701629397316,1.1077586003651088,-1.1077586003651088,231.67091095165674,-231.67091095165674,45.271270921128526,-45.271270921128526,35.343902938857745,-35.343902938857745,0.3490557204526642,-0.3490557204526642,0.23294292018237575,-0.23294292018237575,3.70037604414437,-3.70037604414437,0.833524743166611,-0.833524743166611,0.9150108562505733,-0.9150108562505733,0.004242333333333336,-0.004242333333333336,0.006580809523809515,-0.006580809523809515,0.0062104999999999955,-0.0062104999999999955,0.010253619047619051,-0.010253619047619051,115.52777777777774,-115.52777777777774,64.38095238095238,-64.38095238095238,187.16666666666666,-187.16666666666666,116.80952380952381,-116.80952380952381,27.406283078086055,-27.406283078086055,5.867795200574966,-5.867795200574966
f1_grad_e2,32.494940495511536,32.494940495511536,,,0.5899138082189177,-0.5899138082189177,0.9890752081417526,-0.9890752081417526,190.68965408431572,-190.68965408431572,24.732185186891712,-24.732185186891712,22.637720081699936,-22.637720081699936,0.31253494510834545,-0.31253494510834545,0.13811306553305533,-0.13811306553305533,3.2600759938201143,-3.2600759938201143,0.8146748449514062,-0.8146748449514062,1.1385358943732424,-1.1385358943732424,0.002536261904761906,-0.002536261904761906,0.005151904761904761,-0.005151904761904761,0.0026730714285714296,-0.0026730714285714296,0.004664357142857146,-0.004664357142857146,81.18154761904763,-81.18154761904763,50.726190476190474,-50.726190476190474,150.74404761904762,-150.74404761904762,71.92857142857143,-71.92857142857143,23.838249287609386,-23.838249287609386,5.656570005984533,-5.656570005984533
f2_grad_levelset_e2,32.576244269133674,32.576244269133674,,,0.5788023360297933,-0.5788023360297933,0.9776430659760248,-0.9776430659760248,186.82297844900262,-186.82297844900262,20.15290976212146,-20.15290976212146,17.42103958843388,-17.42103958843388,0.31217573416409533,-0.31217573416409533,0.14587529091820353,-0.14587529091820353,3.1482794361114297,-3.1482794361114297,0.8291560766038577,-0.8291560766038577,1.1477532572980496,-1.1477532572980496,0.0021150952380952406,-0.0021150952380952406,0.003475214285714285,-0.003475214285714285,0.002263095238095238,-0.002263095238095238,0.0038472142857142897,-0.0038472142857142897,83.078373015873,-83.078373015873,53.17261904761905,-53.17261904761905,158.20238095238096,-158.20238095238096,71.9047619047619,-71.9047619047619,23.748107956316563,-23.748107956316563,5.674229775156293,-5.674229775156293
f3_grad_crit,33.30415748036944,33.30415748036944,,,0.5325824956996195,-0.5325824956996195,0.9025554092988483,-0.9025554092988483,174.1976265817761,-174.1976265817761,32.020496006777755,-32.020496006777755,28.32954020460119,-28.32954020460119,0.3087046960864662,-0.3087046960864662,0.17549853654913208,-0.17549853654913208,2.525585424314899,-2.525585424314899,0.9028608380619149,-0.9028608380619149,1.6221370882671498,-1.6221370882671498,0.0062689999999999985,-0.0062689999999999985,0.008631500000000004,-0.008631500000000004,0.0032577619047619057,-0.0032577619047619057,0.004575738095238095,-0.004575738095238095,96.75099206349202,-96.75099206349202,57.17261904761905,-57.17261904761905,179.16666666666666,-179.16666666666666,86.14285714285714,-86.14285714285714,22.01788444732943,-22.01788444732943,5.984007384095873,-5.984007384095873
gan,29.137980689020115,29.137980689020115,,,0.9025943703961109,-0.9025943703961109,1.3774876431640923,-1.3774876431640923,310.732777807134,-310.732777807134,85.61912548348968,-85.61912548348968,78.7236402026448,-78.7236402026448,0.3806076429646057,-0.3806076429646057,0.056441212612724244,-0.056441212612724244,4.201016306272741,-4.201016306272741,0.5138878375747623,-0.5138878375747623,0.9481880822688981,-0.9481880822688981,0.008154000000000008,-0.008154000000000008,0.02429645238095237,-0.02429645238095237,0.009597547619047617,-0.009597547619047617,0.012346,-0.012346,124.65674603174602,-124.65674603174602,23.81547619047619,-23.81547619047619,72.89285714285714,-72.89285714285714,149.91071428571428,-149.91071428571428,20.864090023128004,-20.864090023128004,8.348149540878477,-8.348149540878477
