metric_a,metric_b,n_samples,pearson_median,pearson_q25,pearson_q75,pearson_min,pearson_max,pearson_n_positive,pearson_n_negative,spearman_median,spearman_q25,spearman_q75,spearman_min,spearman_max,spearman_n_positive,spearman_n_negative,interpretation_level
psnruv,speed_mae,168,0.9926140883920083,0.9909122662066612,0.994627444264934,0.9803500233934678,0.9973798856861392,168,0,0.9824561403508771,0.980701754385965,0.9894736842105263,0.9701754385964912,1.0,168,0,within_sample_across_methods
psnruv,speed_rmse,168,0.9974223058885341,0.9960006552554659,0.998155545587351,0.9885285587133117,0.9994455739635598,168,0,0.987719298245614,0.9842105263157894,0.9929824561403509,0.9771929824561404,1.0,168,0,within_sample_across_methods
psnruv,wpd_mae,168,0.987072733071689,0.9815976314240034,0.9905348012720425,0.9719234525718748,0.998045131763123,168,0,0.9824561403508771,0.9789473684210527,0.9859649122807017,0.9596491228070175,0.9982456140350877,168,0,within_sample_across_methods
psnruv,wpd_w1,168,0.5798516570741808,0.3205855650893635,0.739878728550678,-0.11060157888752745,0.8890568836570326,159,9,-0.06315789473684211,-0.11798245614035088,0.08771929824561403,-0.41754385964912283,0.5421052631578948,67,101,within_sample_across_methods
psnruv,wpd_bias_abs,168,0.6266984545724282,0.3010251142738347,0.7356928788740192,-0.3754696795008781,0.8744690161640012,154,14,0.07543859649122807,-0.04868421052631579,0.16140350877192983,-0.6017543859649123,0.5824561403508772,114,54,within_sample_across_methods
psnruv,grad_mae,168,0.7497800284180174,0.6405521420783732,0.8381977993720183,0.3934918417614101,0.9660439694970764,168,0,0.1192982456140351,-0.06315789473684211,0.19210526315789475,-0.18947368421052632,0.7456140350877193,108,60,within_sample_across_methods
psnruv,grad_w1,168,-0.5273271523652181,-0.5785912465386875,-0.4749642031375931,-0.6769655798100698,-0.25884650021977446,0,168,-0.5877192982456141,-0.6109649122807017,-0.5539473684210526,-0.7508771929824561,-0.387719298245614,0,168,within_sample_across_methods
psnruv,grad_kurtosis_abs_delta,168,-0.0008420776146969306,-0.32456301494082124,0.3015787624298519,-0.7125195603560472,0.8330705770832485,83,85,-0.2578947368421053,-0.5684210526315789,0.37587719298245614,-0.9421052631578948,0.9210526315789473,62,106,within_sample_across_methods
psnruv,psd_log_l2,168,-0.6755173923645288,-0.7467800130019298,-0.5461758351385659,-0.84461412290237,-0.1359394637202349,0,168,-0.7149122807017544,-0.7421052631578947,-0.6868421052631579,-0.8280701754385965,-0.5385964912280702,0,168,within_sample_across_methods
psnruv,psd_slope_abs_delta,168,-0.6616331165711791,-0.8220822070663668,-0.5093668234139173,-0.9007183979434686,-0.24643106789922753,0,168,-0.5807017543859649,-0.6280701754385964,-0.5381578947368422,-0.7684210526315789,-0.3929824561403509,0,168,within_sample_across_methods
