sample_idx,method_pair_count,agreement_count,disagreement_count,tie_or_undefined_count,agreement_rate,disagreement_rate,pd_mt_cross_method_pearson,pd_mt_cross_method_spearman
0,153,36,117,0,0.23529411764705882,0.7647058823529411,-0.4003394412601248,-0.7997936016511867
1,153,32,121,0,0.20915032679738563,0.7908496732026143,-0.35670066870947237,-0.7874097007223942
2,153,47,106,0,0.30718954248366015,0.6928104575163399,-0.4340004202414995,-0.5273477812177503
3,153,76,77,0,0.49673202614379086,0.5032679738562091,-0.2491211503925151,0.054695562435500514
4,153,80,73,0,0.5228758169934641,0.477124183006536,-0.18645864819280325,0.023735810113519093
5,153,45,108,0,0.29411764705882354,0.7058823529411765,-0.550072384700938,-0.5748194014447885
6,153,73,80,0,0.477124183006536,0.5228758169934641,-0.043008895628073814,-0.07533539731682147
7,153,33,120,0,0.21568627450980393,0.7843137254901961,-0.6009477989277531,-0.7461300309597523
8,153,92,61,0,0.6013071895424836,0.39869281045751637,0.4602683785827873,0.35190918472652216
9,153,51,102,0,0.3333333333333333,0.6666666666666666,-0.35903622484967657,-0.5479876160990712
10,153,58,95,0,0.3790849673202614,0.6209150326797386,-0.19461960150653904,-0.42208462332301344
11,153,50,103,0,0.32679738562091504,0.673202614379085,-0.5871336311136804,-0.49432404540763675
12,153,95,58,0,0.6209150326797386,0.3790849673202614,0.410924854901332,0.3415892672858617
13,153,63,90,0,0.4117647058823529,0.5882352941176471,-0.38662468777974673,-0.23839009287925697
14,153,48,105,0,0.3137254901960784,0.6862745098039216,-0.5331888919440392,-0.5087719298245614
15,153,42,111,0,0.27450980392156865,0.7254901960784313,-0.7025650789605847,-0.6429308565531475
16,153,100,53,0,0.6535947712418301,0.3464052287581699,0.4330968778348988,0.40144478844169246
17,153,91,62,0,0.5947712418300654,0.40522875816993464,0.2980831931821436,0.1475748194014448
18,153,99,54,0,0.6470588235294118,0.35294117647058826,0.3653310429193796,0.3973168214654283
19,153,117,36,0,0.7647058823529411,0.23529411764705882,0.5855462563591763,0.7440660474716202
20,153,102,51,0,0.6666666666666666,0.3333333333333333,0.671844248986195,0.5500515995872033
21,153,73,80,0,0.477124183006536,0.5228758169934641,-0.1207195432668711,-0.021671826625386997
22,153,101,52,0,0.6601307189542484,0.33986928104575165,0.3012906882585382,0.4117647058823529
23,153,81,72,0,0.5294117647058824,0.47058823529411764,-0.11177737483790921,0.06707946336429309
24,153,79,74,0,0.5163398692810458,0.48366013071895425,-0.1371569265721018,0.15170278637770898
25,153,61,92,0,0.39869281045751637,0.6013071895424836,-0.08517120982443477,-0.2590299277605779
26,153,25,128,0,0.16339869281045752,0.8366013071895425,-0.5979912104894711,-0.8617131062951496
27,153,41,112,0,0.2679738562091503,0.7320261437908496,-0.35736008107767514,-0.6697626418988648
28,153,30,123,0,0.19607843137254902,0.803921568627451,-0.5148311701291652,-0.7832817337461301
29,153,50,103,0,0.32679738562091504,0.673202614379085,-0.49084249495914334,-0.5768833849329206
30,153,46,107,0,0.3006535947712418,0.6993464052287581,-0.42459518292499476,-0.6388028895768834
31,153,54,99,0,0.35294117647058826,0.6470588235294118,-0.32624595125456896,-0.3498452012383901
32,153,58,95,0,0.3790849673202614,0.6209150326797386,-0.32584111394439197,-0.40144478844169246
33,153,62,91,0,0.40522875816993464,0.5947712418300654,-0.29792690083451956,-0.18472652218782248
34,153,79,74,0,0.5163398692810458,0.48366013071895425,-0.29899557359858214,0.07327141382868937
35,153,69,84,0,0.45098039215686275,0.5490196078431373,-0.292102170252494,-0.09391124871001032
36,153,72,81,0,0.47058823529411764,0.5294117647058824,-0.301798461504835,-0.11042311661506708
37,153,71,82,0,0.46405228758169936,0.5359477124183006,-0.3256839836770616,-0.13312693498452013
38,153,58,95,0,0.3790849673202614,0.6209150326797386,-0.12405745705950828,-0.38080495356037153
39,153,64,89,0,0.41830065359477125,0.5816993464052288,-0.3700686747788257,-0.26522187822497423
40,153,85,68,0,0.5555555555555556,0.4444444444444444,0.1318563867917609,0.10629514963880289
41,153,25,128,0,0.16339869281045752,0.8366013071895425,-0.6215709448824223,-0.8658410732714138
42,153,71,82,0,0.46405228758169936,0.5359477124183006,-0.3422161249473992,-0.07327141382868937
43,153,74,79,0,0.48366013071895425,0.5163398692810458,-0.17674369137242468,-0.04024767801857585
44,153,85,68,0,0.5555555555555556,0.4444444444444444,0.24635718379032273,0.17027863777089783
45,153,107,46,0,0.6993464052287581,0.3006535947712418,0.5098437352772178,0.48606811145510836
46,153,69,84,0,0.45098039215686275,0.5490196078431373,-0.042261060760458234,-0.16821465428276575
47,153,68,85,0,0.4444444444444444,0.5555555555555556,-0.26300322627309053,-0.1021671826625387
48,153,77,76,0,0.5032679738562091,0.49673202614379086,-0.029079857825780726,-0.05263157894736842
49,153,73,80,0,0.477124183006536,0.5228758169934641,-0.3176455661166382,-0.09184726522187822
50,153,51,102,0,0.3333333333333333,0.6666666666666666,-0.3834473335303324,-0.43653250773993807
51,153,60,93,0,0.39215686274509803,0.6078431372549019,-0.35205581215588166,-0.3684210526315789
52,153,29,124,0,0.1895424836601307,0.8104575163398693,-0.6203893778707112,-0.8080495356037152
53,153,47,106,0,0.30718954248366015,0.6928104575163399,-0.42855791239009094,-0.5851393188854489
54,153,35,118,0,0.22875816993464052,0.7712418300653595,-0.46629949733801745,-0.7585139318885449
55,153,46,107,0,0.3006535947712418,0.6993464052287581,-0.4719622578632053,-0.5521155830753354
56,153,38,115,0,0.24836601307189543,0.7516339869281046,-0.565509834577954,-0.5768833849329206
57,153,55,98,0,0.35947712418300654,0.6405228758169934,-0.3306140467671602,-0.4241486068111455
58,153,73,80,0,0.477124183006536,0.5228758169934641,-0.20468660367096594,-0.11661506707946337
59,153,52,101,0,0.33986928104575165,0.6601307189542484,-0.4502108126682829,-0.5128998968008256
60,153,76,77,0,0.49673202614379086,0.5032679738562091,-0.2868510322058093,0.0030959752321981426
61,153,71,82,0,0.46405228758169936,0.5359477124183006,-0.21365617913098098,-0.06707946336429309
62,153,93,60,0,0.6078431372549019,0.39215686274509803,0.29804468638420817,0.2776057791537668
63,153,82,71,0,0.5359477124183006,0.46405228758169936,0.21973083722788248,0.15376676986584106
64,153,79,74,0,0.5163398692810458,0.48366013071895425,-0.11327856760038663,0.009287925696594427
65,153,83,70,0,0.5424836601307189,0.45751633986928103,0.1922445424722878,0.14963880288957687
66,153,63,90,0,0.4117647058823529,0.5882352941176471,-0.20719297543217416,-0.27347781217750256
67,153,52,101,0,0.33986928104575165,0.6601307189542484,-0.46278004473285056,-0.49638802889576883
68,153,84,69,0,0.5490196078431373,0.45098039215686275,0.2722847880886058,0.19917440660474717
69,153,73,80,0,0.477124183006536,0.5228758169934641,-0.27059267146471516,-0.04643962848297214
70,153,78,75,0,0.5098039215686274,0.49019607843137253,0.07366114557738428,-0.007223942208462332
71,153,56,97,0,0.3660130718954248,0.6339869281045751,-0.3872701648007301,-0.5314757481940144
72,153,78,75,0,0.5098039215686274,0.49019607843137253,0.09447134737508003,-0.05675954592363261
73,153,79,74,0,0.5163398692810458,0.48366013071895425,0.08970073491731453,0.09391124871001032
74,153,78,75,0,0.5098039215686274,0.49019607843137253,0.1372746445200165,0.07120743034055728
75,153,86,67,0,0.5620915032679739,0.43790849673202614,0.3856560448233057,0.20536635706914344
76,153,65,88,0,0.42483660130718953,0.5751633986928104,-0.2523569480593478,-0.18059855521155832
77,153,79,74,0,0.5163398692810458,0.48366013071895425,0.09740542851424662,0.0629514963880289
78,153,73,80,0,0.477124183006536,0.5228758169934641,-0.21739094330034198,-0.13725490196078433
79,153,102,51,0,0.6666666666666666,0.3333333333333333,0.5122934999164378,0.500515995872033
80,153,85,68,0,0.5555555555555556,0.4444444444444444,0.2924774576754067,0.25077399380804954
81,153,81,72,0,0.5294117647058824,0.47058823529411764,-0.04713883756090996,0.03611971104231166
82,153,80,73,0,0.5228758169934641,0.477124183006536,0.2006010490584727,0.11248710010319918
83,153,67,86,0,0.43790849673202614,0.5620915032679739,-0.10270724484919251,-0.19917440660474717
84,153,58,95,0,0.3790849673202614,0.6209150326797386,-0.3640085966325553,-0.35190918472652216
85,153,84,69,0,0.5490196078431373,0.45098039215686275,-0.1965645384801609,0.058823529411764705
86,153,55,98,0,0.35947712418300654,0.6405228758169934,-0.5306805193778045,-0.39525283797729616
87,153,50,103,0,0.32679738562091504,0.673202614379085,-0.29915755393647503,-0.5314757481940144
88,153,68,85,0,0.4444444444444444,0.5555555555555556,-0.1456168262503528,-0.24458204334365324
89,153,60,93,0,0.39215686274509803,0.6078431372549019,-0.22600202304889386,-0.40144478844169246
90,153,66,87,0,0.43137254901960786,0.5686274509803921,-0.19653428408723816,-0.3849329205366357
91,153,66,87,0,0.43137254901960786,0.5686274509803921,-0.2341188191629557,-0.3415892672858617
92,153,55,98,0,0.35947712418300654,0.6405228758169934,-0.3597642853542017,-0.5232198142414861
93,153,40,113,0,0.26143790849673204,0.738562091503268,-0.7122086501190409,-0.7007223942208463
94,153,61,92,0,0.39869281045751637,0.6013071895424836,-0.2955216377524839,-0.3828689370485036
95,153,59,94,0,0.38562091503267976,0.6143790849673203,-0.23879071340626273,-0.38080495356037153
96,153,44,109,0,0.2875816993464052,0.7124183006535948,-0.5155319737282986,-0.6264189886480909
97,153,50,103,0,0.32679738562091504,0.673202614379085,-0.4930990244198078,-0.5232198142414861
98,153,56,97,0,0.3660130718954248,0.6339869281045751,-0.3849475962567934,-0.3931888544891641
99,153,70,83,0,0.45751633986928103,0.5424836601307189,-0.2368684717577658,-0.06501547987616099
100,153,73,80,0,0.477124183006536,0.5228758169934641,-0.22003215641841878,-0.1001031991744066
101,153,90,63,0,0.5882352941176471,0.4117647058823529,0.22562939797467682,0.19298245614035087
102,153,84,69,0,0.5490196078431373,0.45098039215686275,0.044276407879736114,0.10629514963880289
103,153,73,80,0,0.477124183006536,0.5228758169934641,-0.021210319791611695,0.0030959752321981426
104,153,67,86,0,0.43790849673202614,0.5620915032679739,-0.41230467441108615,-0.36429308565531476
105,153,80,73,0,0.5228758169934641,0.477124183006536,-0.0977637011604633,-0.017543859649122806
106,153,96,57,0,0.6274509803921569,0.37254901960784315,0.33019201021853656,0.2776057791537668
107,153,71,82,0,0.46405228758169936,0.5359477124183006,-0.20801058641145534,-0.09597523219814241
108,153,92,61,0,0.6013071895424836,0.39869281045751637,-0.011422758516287101,0.21362229102167182
109,153,71,82,0,0.46405228758169936,0.5359477124183006,-0.13258180462459832,-0.03199174406604747
110,153,92,61,0,0.6013071895424836,0.39869281045751637,0.2050774064310417,0.2260061919504644
111,153,74,79,0,0.48366013071895425,0.5163398692810458,-0.33252804435732547,-0.11042311661506708
112,153,82,71,0,0.5359477124183006,0.46405228758169936,0.021192408891639182,0.06914344685242518
113,153,55,98,0,0.35947712418300654,0.6405228758169934,-0.3718608352754232,-0.4262125902992776
114,153,54,99,0,0.35294117647058826,0.6470588235294118,-0.3984445315967448,-0.5397316821465429
115,153,58,95,0,0.3790849673202614,0.6209150326797386,-0.3961692622157008,-0.48813209494324045
116,153,42,111,0,0.27450980392156865,0.7254901960784313,-0.6866616032839041,-0.651186790505676
117,153,39,114,0,0.2549019607843137,0.7450980392156863,-0.724097807908634,-0.7750257997936016
118,153,43,110,0,0.28104575163398693,0.7189542483660131,-0.48314524988422536,-0.5851393188854489
119,153,58,95,0,0.3790849673202614,0.6209150326797386,-0.05351002468077969,-0.3828689370485036
120,153,25,128,0,0.16339869281045752,0.8366013071895425,-0.6744368813934177,-0.8183694530443757
121,153,70,83,0,0.45751633986928103,0.5424836601307189,-0.17590828704860245,-0.07120743034055728
122,153,70,83,0,0.45751633986928103,0.5424836601307189,-0.16362277592764485,-0.20536635706914344
123,153,60,93,0,0.39215686274509803,0.6078431372549019,-0.31239089031084233,-0.2776057791537668
124,153,66,87,0,0.43137254901960786,0.5686274509803921,-0.2521101942843204,-0.33126934984520123
125,153,76,77,0,0.49673202614379086,0.5032679738562091,-0.21952233796919224,-0.10629514963880289
126,153,93,60,0,0.6078431372549019,0.39215686274509803,-0.1496790550659003,0.26522187822497423
127,153,92,61,0,0.6013071895424836,0.39869281045751637,-0.11591214676958062,0.2301341589267286
128,153,89,64,0,0.5816993464052288,0.41830065359477125,-0.10496255270514371,0.2982456140350877
129,153,71,82,0,0.46405228758169936,0.5359477124183006,-0.1477480985534711,-0.15789473684210525
130,153,64,89,0,0.41830065359477125,0.5816993464052288,-0.3619350316887358,-0.16615067079463364
131,153,90,63,0,0.5882352941176471,0.4117647058823529,-0.16833720251000373,0.22807017543859648
132,153,84,69,0,0.5490196078431373,0.45098039215686275,-0.24677802526882556,0.12074303405572756
133,153,78,75,0,0.5098039215686274,0.49019607843137253,-0.33841469142856195,-0.0196078431372549
134,153,82,71,0,0.5359477124183006,0.46405228758169936,-0.4247017362718883,0.03611971104231166
135,153,82,71,0,0.5359477124183006,0.46405228758169936,-0.3781258124396264,0.1042311661506708
136,153,81,72,0,0.5294117647058824,0.47058823529411764,0.1434210137257684,0.16615067079463364
137,153,83,70,0,0.5424836601307189,0.45751633986928103,-0.48605005052319705,0.1434468524251806
138,153,71,82,0,0.46405228758169936,0.5359477124183006,-0.4888713355053858,-0.1434468524251806
139,153,83,70,0,0.5424836601307189,0.45751633986928103,-0.49239577099498516,0.08978328173374613
140,153,84,69,0,0.5490196078431373,0.45098039215686275,-0.5645028380607537,0.19091847265221878
141,153,60,93,0,0.39215686274509803,0.6078431372549019,-0.4752030068067015,-0.33126934984520123
142,153,57,96,0,0.37254901960784315,0.6274509803921569,-0.629615127028695,-0.39525283797729616
143,153,25,128,0,0.16339869281045752,0.8366013071895425,-0.6384750975300775,-0.826625386996904
144,153,47,106,0,0.30718954248366015,0.6928104575163399,-0.5521262557910954,-0.5954592363261094
145,153,53,100,0,0.3464052287581699,0.6535947712418301,-0.36008274622362546,-0.38699690402476783
146,153,72,81,0,0.47058823529411764,0.5294117647058824,0.0848103425101288,-0.14963880288957687
147,153,90,63,0,0.5882352941176471,0.4117647058823529,0.289500580610052,0.21981424148606812
148,153,59,94,0,0.38562091503267976,0.6143790849673203,-0.44802023882470027,-0.3684210526315789
149,153,55,98,0,0.35947712418300654,0.6405228758169934,-0.4051432096653829,-0.40763673890608876
150,153,101,52,0,0.6601307189542484,0.33986928104575165,0.3036079973135988,0.37254901960784315
151,153,52,101,0,0.33986928104575165,0.6601307189542484,-0.3924459936285716,-0.5294117647058824
152,153,61,92,0,0.39869281045751637,0.6013071895424836,-0.41788941568280424,-0.38699690402476783
153,153,67,86,0,0.43790849673202614,0.5620915032679739,-0.08271743658248984,-0.3023735810113519
154,153,91,62,0,0.5947712418300654,0.40522875816993464,0.4393878896240589,0.32920536635706915
155,153,93,60,0,0.6078431372549019,0.39215686274509803,0.3776025704744183,0.32094943240454077
156,153,85,68,0,0.5555555555555556,0.4444444444444444,-0.22246493278368096,0.13725490196078433
157,153,76,77,0,0.49673202614379086,0.5032679738562091,-0.250412777219878,0.058823529411764705
158,153,94,59,0,0.6143790849673203,0.38562091503267976,-0.048988741021142215,0.40144478844169246
159,153,51,102,0,0.3333333333333333,0.6666666666666666,-0.41058503561612947,-0.45098039215686275
160,153,19,134,0,0.12418300653594772,0.8758169934640523,-0.2616812551082086,-0.8699690402476781
161,153,38,115,0,0.24836601307189543,0.7516339869281046,-0.4992857900041838,-0.7007223942208463
162,153,58,95,0,0.3790849673202614,0.6209150326797386,-0.2849429102392461,-0.3993808049535604
163,153,77,76,0,0.5032679738562091,0.49673202614379086,-0.29348568590867774,-0.013415892672858616
164,153,48,105,0,0.3137254901960784,0.6862745098039216,-0.45108485176074015,-0.5314757481940144
165,153,35,118,0,0.22875816993464052,0.7712418300653595,-0.6283425468560601,-0.7440660474716202
166,153,62,91,0,0.40522875816993464,0.5947712418300654,-0.44389489968144424,-0.29411764705882354
167,153,46,107,0,0.3006535947712418,0.6993464052287581,-0.6146232451776213,-0.564499484004128
