metric,psnruv,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
psnruv,1.0,0.9937851123647267,0.997701198487238,0.989869250958862,0.7032178705580019,0.761534606119215,0.7531488382487962,-0.525686899301416,-0.07307530142257909,-0.6537680208013178,-0.6615235608014473,0.06437585701912554,0.7824037222056797,0.6254567225579117,0.5982219548437435,-0.09543130816078631,-0.6746175085941885,-0.6703874707088698,0.08006833141739658,-0.3985025643599667,0.6590712224967269
speed_mae,0.9937851123647267,1.0,0.9973493258215576,0.9992507754268277,0.7382442377658941,0.7990087179691248,0.753874253761729,-0.5553524207033295,-0.0674030534367428,-0.6753237919752384,-0.6558328796573981,0.10707756388892822,0.8309046043085883,0.6523146605684299,0.61298580502954,-0.07660543192800966,-0.7153898752232957,-0.6989095370710795,0.11079184716033882,-0.39341822543994437,0.7237580462717479
speed_rmse,0.997701198487238,0.9973493258215576,1.0,0.9946228263734102,0.7275167204187074,0.7876688588171536,0.761666964056435,-0.5406704569890484,-0.053751653710144426,-0.6545894870462055,-0.6421223124979076,0.09589924966300459,0.8153729838346041,0.6432151720930744,0.607200819045476,-0.07599163695729207,-0.6958492080310953,-0.680903970004705,0.10487745862531411,-0.3975373182370351,0.6975998547434588
wpd_mae,0.989869250958862,0.9992507754268277,0.9946228263734102,1.0,0.7496801239099253,0.8092001906989118,0.7578222868602797,-0.5526008250673272,-0.0568283739952035,-0.6736352964595625,-0.6458057350336762,0.13073347984680742,0.8463939732904343,0.6605613079212926,0.6181725246405111,-0.06215477591146673,-0.7152237749997149,-0.695510457182094,0.12646888702009507,-0.3839888465672411,0.7379361784694122
wpd_w1,0.7032178705580019,0.7382442377658941,0.7275167204187074,0.7496801239099253,1.0,0.9841160789719786,0.9223237655359189,-0.03712233540902047,0.4062168341721318,-0.12405989967354107,-0.11913304066178647,0.6504215984223997,0.8966728658682287,0.9746335587940201,0.9361592021481928,0.5267545393229642,-0.3078124532919356,-0.21621820348635318,0.6777999835343843,-0.023436292433035362,0.8602388739873718
wpd_bias_abs,0.761534606119215,0.7990087179691248,0.7876688588171536,0.8092001906989118,0.9841160789719786,1.0,0.8761181710081376,-0.1900538250059181,0.2915234711222361,-0.2652071817862302,-0.20289869553032272,0.5479307816782981,0.9318510004784812,0.9376328640802929,0.8944839931532166,0.3830360772673129,-0.4449279014521295,-0.36159628405251437,0.5501447969222127,-0.12674160518400546,0.8608192437691804
grad_mae,0.7531488382487962,0.753874253761729,0.761666964056435,0.7578222868602797,0.9223237655359189,0.8761181710081376,1.0,0.08779278359453471,0.5090016420571946,-0.03369984402123759,-0.17223613383513223,0.6101916580957433,0.7894482629650317,0.9127652455266192,0.8946818319593645,0.5753330687268896,-0.15895434822361038,-0.08804943528863901,0.6968554024590287,0.05283379883734642,0.7758030928005305
grad_w1,-0.525686899301416,-0.5553524207033295,-0.5406704569890484,-0.5526008250673272,-0.03712233540902047,-0.1900538250059181,0.08779278359453471,1.0,0.6519663225091081,0.9476578181926105,0.6611953914460972,0.4733493532628179,-0.377397564564139,0.10536746933715373,0.18428762798507733,0.7433072242134253,0.9541236809295055,0.9667020859610985,0.5962230012419878,0.7894064344883138,-0.5109778070179075
grad_kurtosis_abs_delta,-0.07307530142257909,-0.0674030534367428,-0.053751653710144426,-0.0568283739952035,0.4062168341721318,0.2915234711222361,0.5090016420571946,0.6519663225091081,1.0,0.650576965115548,0.415796331646183,0.7434158661587636,0.2245620123068099,0.4248328816116793,0.43115706073634796,0.8797349283562277,0.5445236333693169,0.6374127888565866,0.8364641664355249,0.841908476023927,0.05037564063237118
psd_log_l2,-0.6537680208013178,-0.6753237919752384,-0.6545894870462055,-0.6736352964595625,-0.12405989967354107,-0.2652071817862302,-0.03369984402123759,0.9476578181926105,0.650576965115548,1.0,0.8113166117822367,0.4725954755769184,-0.41651055826257344,-0.0014461870566470887,0.049042284505260644,0.7180013271010515,0.9259864840273032,0.9700863176622382,0.5580091408095087,0.7280626729640653,-0.5151191775158648
psd_slope_abs_delta,-0.6615235608014473,-0.6558328796573981,-0.6421223124979076,-0.6458057350336762,-0.11913304066178647,-0.20289869553032272,-0.17223613383513223,0.6611953914460972,0.415796331646183,0.8113166117822367,1.0,0.49471625385826856,-0.24339608660535894,-0.07166856700340471,-0.08799213651287995,0.514993960866524,0.6498084488676159,0.7282435783927633,0.3780775749487416,0.3294440944617347,-0.29843345490803275
exceed_abs_t5,0.06437585701912554,0.10707756388892822,0.09589924966300459,0.13073347984680742,0.6504215984223997,0.5479307816782981,0.6101916580957433,0.4733493532628179,0.7434158661587636,0.4725954755769184,0.49471625385826856,1.0,0.5490416395997435,0.6237690373269298,0.5733409542686045,0.8703916281696985,0.2691103309303662,0.40707098786947593,0.8898656856916948,0.3285356138512544,0.5383737928955904
exceed_abs_t10,0.7824037222056797,0.8309046043085883,0.8153729838346041,0.8463939732904343,0.8966728658682287,0.9318510004784812,0.7894482629650317,-0.377397564564139,0.2245620123068099,-0.41651055826257344,-0.24339608660535894,0.5490416395997435,1.0,0.7790876935586857,0.6946022162071308,0.25957350882087493,-0.5904706954393589,-0.49153145449391533,0.4350876532135648,-0.2475982552446037,0.8932691468936562
exceed_abs_t15,0.6254567225579117,0.6523146605684299,0.6432151720930744,0.6605613079212926,0.9746335587940201,0.9376328640802929,0.9127652455266192,0.10536746933715373,0.4248328816116793,-0.0014461870566470887,-0.07166856700340471,0.6237690373269298,0.7790876935586857,1.0,0.9833742787435328,0.5925076744792721,-0.1761066807682494,-0.09692536302151926,0.7267666991164029,0.06529537309794863,0.793825867265655
exceed_abs_p90,0.5982219548437435,0.61298580502954,0.607200819045476,0.6181725246405111,0.9361592021481928,0.8944839931532166,0.8946818319593645,0.18428762798507733,0.43115706073634796,0.049042284505260644,-0.08799213651287995,0.5733409542686045,0.6946022162071308,0.9833742787435328,1.0,0.584887756301463,-0.08708237203759245,-0.031922286236941495,0.7010357555930609,0.12994544739426855,0.6818474851947872
